Dato
395
389
373
377
402
365
389
388
373
385
355
362
359
368
361
348
376
368
370
367
363
364
388
382
386
378
374
406
390
386
393
382
387
416
456
461
475
452
463
475
462
441
432
415
411
412
411
426
400
393
398
392
395
389
390
391
381
391
384
392
384
387
362
373
351
363
333
363
339
322
338
326
348
350
338
363
330
331
358
339
371
354
378
375
401
363
378
361
367
359
355
389
391
394
382
386
402
388
393
412
