Dato
263
244
232
228
231
227
205
216
213
211
222
219
232
230
201
235
213
220
221
218
224
201
195
198
190
195
205
192
188
205
204
211
205
205
191
188
194
190
187
182
200
215
207
218
371
415
497
594
624
639
623
651
629
605
555
568
529
511
498
504
485
494
493
468
448
395
386
398
394
379
360
360
353
365
327
338
317
318
323
303
301
268
241
256
232
236
220
240
237
222
222
210
206
190
181
199
176
199
172
180
