Dato
232
237
230
221
220
209
212
239
241
245
233
233
219
209
213
207
211
227
230
222
212
210
209
214
216
217
248
250
255
244
249
254
260
259
273
288
287
291
359
346
359
349
327
340
388
403
398
493
495
495
484
454
471
471
460
460
521
522
523
527
487
456
428
414
446
456
450
450
451
448
436
450
465
463
436
428
406
385
364
373
353
337
312
289
274
261
252
241
233
227
224
213
204
210
206
217
228
227
217
218
