MAV_total,VAR_total,RMS_total,Mano_pinza
273.8778054862843,77396.0525,277.85435913042744,Mano pinza
321.30423940149626,108589.0975,329.11745888912657,Mano pinza
334.0274314214464,121572.8875,348.23801230904934,Mano pinza
325.08478802992516,115492.3775,339.41768749365605,Mano pinza
291.1471321695761,89110.16,298.14080591161274,Mano pinza
306.03990024937656,99003.405,314.2554911464726,Mano pinza
296.03241895261846,91685.5575,302.4184439017734,Mano pinza
307.73067331670825,97597.615,312.0163928809413,Mano pinza
326.426433915212,111590.5025,333.63486320397806,Mano pinza
277.01246882793015,79576.735,281.7415292015147,Mano pinza
285.5361596009975,84042.61,289.5393365873132,Mano pinza
311.6857855361596,101057.9,317.49942564795776,Mano pinza
276.9800498753117,78978.4025,280.6803321891391,Mano pinza
246.96508728179552,62865.0275,250.41616732522556,Mano pinza
252.67581047381546,66883.3875,258.29555940816147,Mano pinza
299.8703241895262,93661.655,305.66008046198954,Mano pinza
382.90773067331673,157016.335,395.7584782001918,Mano pinza
362.0349127182045,138447.895,371.62163339072447,Mano pinza
368.9650872817955,143380.4775,378.1837122345451,Mano pinza
340.3990024937656,125365.275,353.62783175468695,Mano pinza
287.26184538653365,85861.68,292.6560457213499,Mano pinza
298.9576059850374,94073.405,306.33120634380344,Mano pinza
307.0947630922693,96045.0175,309.524641572603,Mano pinza
325.5162094763092,107893.86,328.0621861857711,Mano pinza
301.2793017456359,94204.6475,306.54481432903077,Mano pinza
316.3740648379052,106209.23,325.4909661992276,Mano pinza
347.41645885286783,134662.665,366.50627263431556,Mano pinza
361.81296758104736,141881.9325,376.20222250732564,Mano pinza
358.45386533665834,140718.02,374.6559785248182,Mano pinza
327.3441396508728,116580.4225,341.01275380015346,Mano pinza
302.3366583541147,96335.1225,309.99175035278444,Mano pinza
283.74563591022445,85856.29,292.64685977924546,Mano pinza
331.19451371571074,120050.7525,346.05111481519305,Mano pinza
307.82543640897757,99871.19,315.629742995399,Mano pinza
386.3740648379052,157466.4,396.32526504214087,Mano pinza
321.3715710723192,110533.48,332.0509530350294,Mano pinza
390.91521197007484,163801.6175,404.21916662046306,Mano pinza
326.25187032418955,117077.7325,341.7393276750578,Mano pinza
356.3216957605985,134269.5775,365.97095601752204,Mano pinza
328.1321695760598,118280.1425,343.4897080716134,Mano pinza
342.8852867830424,124843.6325,352.8913455238537,Mano pinza
333.84039900249377,118961.56,344.4777173571768,Mano pinza
324.7630922693267,112965.725,335.6843978539865,Mano pinza
390.6907730673317,162988.8175,403.2150314608943,Mano pinza
320.23940149625935,109899.14,331.0967793662952,Mano pinza
336.79052369077306,121871.9125,348.66601858899764,Mano pinza
369.7655860349127,150809.645,387.85765571567214,Mano pinza
384.70324189526184,160377.805,399.9723244789909,Mano pinza
353.5785536159601,133851.0875,365.4001837223664,Mano pinza
371.4862842892768,147634.54,383.7530117990449,Mano pinza
383.4837905236908,158829.0325,398.0363678417944,Mano pinza
380.0872817955112,154934.4025,393.12597525342005,Mano pinza
317.44389027431424,110234.8025,331.6020246366752,Mano pinza
265.4788029925187,74459.3725,272.5319949644477,Mano pinza
309.1072319201995,101646.71,318.4230314105252,Mano pinza
308.17456359102243,100741.36,317.0017896847613,Mano pinza
291.40149625935163,89865.56,299.40183092142615,Mano pinza
315.0648379052369,103718.6475,321.6519819715626,Mano pinza
300.2568578553616,95506.3575,308.65545035268525,Mano pinza
286.58354114713217,86683.55,294.05336513315854,Mano pinza
304.860349127182,99223.8375,314.6051438052598,Mano pinza
341.51870324189525,121101.8825,347.5627753270155,Mano pinza
302.82543640897757,95611.3575,308.8250721477005,Mano pinza
322.71072319201994,107003.5225,326.7058015983264,Mano pinza
320.28927680798006,106671.505,326.1985457843435,Mano pinza
339.5436408977556,118880.4475,344.3602583504259,Mano pinza
397.3092269326683,168675.3925,410.1886829386844,Mano pinza
330.0224438902743,114147.4375,337.4355946675283,Mano pinza
341.5162094763092,121572.175,348.2369918514769,Mano pinza
376.8977556109726,188366.61,433.4707231525838,Mano pinza
292.9650872817955,93920.7325,306.082531696071,Mano pinza
351.1221945137157,130222.265,360.4129869982594,Mano pinza
312.95261845386534,103969.98,322.0414619919231,Mano pinza
285.8778054862843,84881.8925,290.9814718458995,Mano pinza
292.71820448877804,88989.09,297.9382017630929,Mano pinza
296.28428927680795,91845.665,302.68238046076704,Mano pinza
398.6234413965087,195601.065,441.71629106872575,Mano pinza
354.66583541147133,137692.2325,370.6060716571265,Mano pinza
379.43890274314214,151162.6075,388.31127126510404,Mano pinza
332.4339152119701,115465.15,339.377676022663,Mano pinza
364.0349127182045,139241.86,372.6856898800872,Mano pinza
348.7206982543641,128679.5125,358.2717068931061,Mano pinza
285.74064837905235,86133.055,293.1181661917612,Mano pinza
303.3291770573566,94534.7375,307.08140618561987,Mano pinza
293.03241895261846,89492.105,298.7790699970953,Mano pinza
371.40149625935163,155011.16,393.2233443016076,Mano pinza
337.99501246882795,124863.615,352.91958632805444,Mano pinza
306.5785536159601,98692.735,313.7620411296837,Mano pinza
287.43142144638404,86790.79,294.2352020318324,Mano pinza
340.01246882793015,120791.2175,347.1166842989591,Mano pinza
313.39401496259353,102603.3325,319.91790171917387,Mano pinza
284.4064837905237,87622.1725,295.6411056359482,Mano pinza
458.4214463840399,242632.7175,491.9630559087261,Mano pinza
341.93266832917703,125014.4425,353.1326744801961,Mano pinza
375.7556109725686,153124.42,390.82293125023057,Mano pinza
261.4837905236908,78693.9225,280.17437124804866,Mano pinza
339.8628428927681,127432.0775,356.53091278397386,Mano pinza
