MAV_total,VAR_total,RMS_total,Dedo_corazon
380.5586034912718,197863.21,444.2631939922095,Dedo corazon
401.4214463840399,210780.085,458.5351119356134,Dedo corazon
383.4139650872818,176775.8225,419.9225941020636,Dedo corazon
349.4713216957606,159941.015,399.4272895046075,Dedo corazon
430.571072319202,236497.3675,485.703200013898,Dedo corazon
306.8628428927681,124716.3,352.7113363404165,Dedo corazon
298.5162094763092,111929.4925,334.1412374783172,Dedo corazon
305.14463840399003,124773.6025,352.792355903639,Dedo corazon
305.16708229426433,116923.095,341.5135666550837,Dedo corazon
300.0798004987531,118705.135,344.10625135189184,Dedo corazon
409.3715710723192,205001.345,452.2058377561574,Dedo corazon
315.8678304239402,123818.8625,351.44001946533564,Dedo corazon
269.8503740648379,93596.54,305.55381223211083,Dedo corazon
349.65835411471323,171327.6375,413.40099967666487,Dedo corazon
309.5436408977556,121597.5225,348.2732932382878,Dedo corazon
302.32668329177056,117135.8075,341.8240750069604,Dedo corazon
321.5436408977556,143439.6225,378.2617053122556,Dedo corazon
308.66832917705733,125100.785,353.25460077340966,Dedo corazon
298.2942643391521,115076.225,338.8056254998199,Dedo corazon
325.61346633416457,143612.5725,378.48967807455136,Dedo corazon
289.67331670822944,112744.0825,335.35492420275034,Dedo corazon
310.8503740648379,132718.5275,363.8510115466099,Dedo corazon
292.80299251870326,116374.995,340.7121703761021,Dedo corazon
304.3216957605985,122792.6275,349.9805872778113,Dedo corazon
292.53366583541145,106438.735,325.8424492690231,Dedo corazon
300.6259351620948,116367.8075,340.70164875787464,Dedo corazon
309.09226932668327,123558.32,351.07007066070975,Dedo corazon
318.214463840399,134123.755,365.77217198074436,Dedo corazon
304.53865336658356,118123.545,343.2622504275391,Dedo corazon
352.04738154613466,165091.7925,405.80794998290344,Dedo corazon
321.1221945137157,135167.715,367.1929171484521,Dedo corazon
317.9800498753117,151526.05,388.77780228701613,Dedo corazon
303.76059850374065,131117.715,361.6500216433195,Dedo corazon
312.2568578553616,136145.5775,368.51874083164296,Dedo corazon
334.0374064837905,151702.6975,389.00435284668197,Dedo corazon
347.8628428927681,166842.3575,407.9537863172415,Dedo corazon
286.33416458852867,107737.675,327.824652053145,Dedo corazon
277.1296758104738,108758.6975,329.3743748426591,Dedo corazon
260.4937655860349,96925.73,310.9405408597031,Dedo corazon
289.07730673316706,123022.21,350.3076097466112,Dedo corazon
256.7556109725686,89970.3875,299.57640501863676,Dedo corazon
293.8952618453865,121572.41,348.23732842377865,Dedo corazon
283.3665835411471,121851.81,348.63726156225175,Dedo corazon
295.27680798004985,123533.535,351.0348577017612,Dedo corazon
338.2219451371571,161402.0625,401.2475091399602,Dedo corazon
331.6982543640898,160002.1625,399.5036352944317,Dedo corazon
295.4039900249377,121088.2775,347.5432515827322,Dedo corazon
323.7281795511222,133289.8675,364.6333416124496,Dedo corazon
305.3167082294264,136321.355,368.7565612924865,Dedo corazon
272.9775561097257,102553.815,319.8406944487152,Dedo corazon
289.66832917705733,122741.2625,349.9073799787467,Dedo corazon
301.1371571072319,126894.35,355.7778875041389,Dedo corazon
321.56109725685786,148230.985,384.52741341915134,Dedo corazon
300.73067331670825,124036.4425,351.7486669317729,Dedo corazon
319.06234413965086,141590.81,375.8160663286273,Dedo corazon
337.73316708229424,142116.4525,376.51301090605904,Dedo corazon
311.139650872818,116200.4625,340.456584288711,Dedo corazon
294.3840399002494,123002.66,350.27977417987074,Dedo corazon
253.1770573566085,90891.59,301.1061734352154,Dedo corazon
246.6508728179551,80603.1425,283.5527061361031,Dedo corazon
