MAV_total,VAR_total,RMS_total,Dedo_Indice
532.5137157107232,294383.965,541.894676481512,Dedo indice
517.7556109725685,271647.89,520.5482339230429,Dedo indice
495.82044887780546,248204.575,497.5797533788614,Dedo indice
477.9625935162095,232126.7275,481.1941997316277,Dedo indice
457.5810473815461,212233.07,460.1128236354812,Dedo indice
439.93765586034914,196849.0475,443.12317939789693,Dedo indice
493.1271820448878,250456.84,499.83223120525247,Dedo indice
472.4139650872818,225900.875,474.69730478702934,Dedo indice
455.79551122194516,210640.76,458.3835417220995,Dedo indice
463.56857855361596,218877.7075,467.25996811784154,Dedo indice
461.2194513715711,215277.5925,463.40127389593897,Dedo indice
465.2643391521197,219454.0175,467.8747168029508,Dedo indice
454.2269326683292,209002.1175,456.59710381469796,Dedo indice
489.26683291770576,243396.96,492.73723731559653,Dedo indice
504.0199501246883,257437.99,506.75043167223845,Dedo indice
507.4912718204489,260598.57,509.8516433771338,Dedo indice
487.45386533665834,240125.4225,489.4145543248968,Dedo indice
479.44638403990024,231652.385,480.7022969098068,Dedo indice
474.82543640897757,227539.3175,476.4156670183597,Dedo indice
491.91770573566083,245057.8525,494.4155495742907,Dedo indice
482.8475,235267.55639097744,484.4371863306945,Dedo indice
452.498753117207,206708.99,454.08535126605216,Dedo indice
489.50374064837905,242514.0175,491.8427028929345,Dedo indice
494.71571072319205,249221.1175,498.5976518735977,Dedo indice
474.22443890274315,227855.485,476.74654359829157,Dedo indice
466.45137157107234,219701.7975,468.1387750637673,Dedo indice
455.4139650872818,209134.0625,456.7412080949888,Dedo indice
447.9002493765586,202122.51,449.0194470625955,Dedo indice
455.7506234413965,209237.25,456.85387307828904,Dedo indice
470.79551122194516,224444.6925,473.1648550451262,Dedo indice
455.71571072319205,209704.175,457.36333690528494,Dedo indice
442.00249376558605,197428.6225,443.7750351197228,Dedo indice
436.93017456359104,193762.9825,439.63596650228016,Dedo indice
423.0349127182045,181738.8625,425.7765239877046,Dedo indice
426.6483790523691,184471.185,428.9652166635797,Dedo indice
445.38,201338.98746867166,448.14689555992686,Dedo indice
427.82543640897757,185371.185,430.01036350093295,Dedo indice
413.4862842892768,173828.155,416.4068543254026,Dedo indice
397.93,160359.61904761905,399.9483966713706,Dedo indice
424.23940149625935,184201.58,428.651635292463,Dedo indice
427.79052369077306,187463.55,432.43041041348386,Dedo indice
430.8728179551122,189461.125,434.7282523215895,Dedo indice
427.5436408977556,185061.7975,429.6513665265185,Dedo indice
402.5660847880299,164197.4175,404.7072369391517,Dedo indice
405.43142144638404,166503.05,407.5387471442932,Dedo indice
396.5885286783042,158728.575,397.91047126476155,Dedo indice
393.9052369077307,157201.8,395.99214078198224,Dedo indice
398.8952618453865,160744.2575,400.4290186818305,Dedo indice
395.139650872818,158211.2975,397.26157077040887,Dedo indice
391.428927680798,156399.5975,394.98047238576845,Dedo indice
405.9052369077307,167810.825,409.13609488732584,Dedo indice
397.6234413965087,159812.8675,399.26724342327776,Dedo indice
399.36408977556107,161633.6175,401.53523026894186,Dedo indice
390.79551122194516,154193.2925,392.1846128720071,Dedo indice
395.34164588528677,158111.58,397.1363579213598,Dedo indice
395.57605985037407,158033.2,397.03791033651817,Dedo indice
393.9925187032419,156779.5475,395.45995506479585,Dedo indice
404.47630922693264,165844.5775,406.7320985612028,Dedo indice
398.3790523690773,160252.225,399.8156994368899,Dedo indice
387.72319201995015,151944.1825,389.31384425253015,Dedo indice
409.5785536159601,169890.5475,411.6635523084985,Dedo indice
398.99501246882795,160673.9425,400.34142847277366,Dedo indice
401.5511221945137,162474.39,402.57821222416646,Dedo indice
424.3241895261845,181972.945,426.0506391641369,Dedo indice
431.860349127182,187992.155,433.03965942326397,Dedo indice
387.0,151085.0325,388.21161992576486,Dedo indice
426.7805486284289,184428.3975,428.91546522505683,Dedo indice
433.0872817955112,190349.765,435.74657463568565,Dedo indice
432.6384039900249,190276.56,435.66277654034536,Dedo indice
421.06733167082297,180372.11,424.1724934969281,Dedo indice
433.30423940149626,189901.6625,435.2333767868989,Dedo indice
407.5511221945137,167799.08,409.12177701624205,Dedo indice
420.76807980049875,178444.57,421.89995386622076,Dedo indice
429.02493765586036,185880.6375,430.60085318435245,Dedo indice
404.573566084788,165776.19,406.64823009868616,Dedo indice
402.33915211970077,163307.41,403.60891912964155,Dedo indice
404.2344139650873,164646.1,405.2598070644869,Dedo indice
414.4937655860349,173934.555,416.53427589157496,Dedo indice
431.70324189526184,188833.7225,434.00785184296683,Dedo indice
428.6783042394015,185112.395,429.71009771682174,Dedo indice
436.05486284289276,191701.735,437.29129400260626,Dedo indice
434.71571072319205,190814.9625,436.2787121934979,Dedo indice
442.18204488778053,197492.7325,443.84708168489686,Dedo indice
443.9725685785536,200388.3225,447.08903028088963,Dedo indice
424.0947630922693,182003.29,426.0861608393928,Dedo indice
501.6109725685786,258520.74,507.81497602503975,Dedo indice
406.77556109725685,167224.9075,408.4212136759655,Dedo indice
433.1346633416459,191681.5275,437.2682457065021,Dedo indice
415.81795511221947,174461.3175,417.1645381265337,Dedo indice
420.7730673316708,178536.69,422.0088403654992,Dedo indice
395.6982543640898,158110.1175,397.1345212017895,Dedo indice
441.3067331670823,198271.865,444.72173484819024,Dedo indice
421.03990024937656,179759.0025,423.45097199768657,Dedo indice
390.1720698254364,154871.5125,393.04617954111995,Dedo indice
403.8977556109726,165068.2175,405.7789743935119,Dedo indice
373.83291770573567,141531.5275,375.73738308475714,Dedo indice
390.1022443890274,153903.6475,391.81608935864193,Dedo indice
392.9650872817955,155903.7325,394.353832410891,Dedo indice
395.3990024937656,159029.6325,398.2876471538023,Dedo indice
334.4912718204489,116616.8325,341.0660016131175,Dedo indice
292.66084788029923,88955.0625,297.8812337600909,Dedo indice
251.43890274314214,68732.3475,261.84145038010524,Dedo indice
251.57356608478804,68163.0825,260.7548652482316,Dedo indice
268.5137157107232,78787.48,280.34086839732373,Dedo indice
229.62344139650872,55173.2625,234.596831429387,Dedo indice
237.32169576059852,60079.43,244.8052409264095,Dedo indice
236.8154613466334,59663.2675,243.95590031142535,Dedo indice
228.52618453865335,56167.6025,236.7013596619914,Dedo indice
234.70074812967582,58835.9725,242.25864148995512,Dedo indice
236.60099750623442,59138.0475,242.8797461138314,Dedo indice
237.30922693266834,60352.2425,245.36042499680642,Dedo indice
272.2992518703242,79888.6,282.29306856280317,Dedo indice
306.47381546134665,98965.48,314.1952948275492,Dedo indice
292.03990024937656,94569.85,307.1384296414135,Dedo indice
282.5436408977556,87724.375,295.8134732776189,Dedo indice
271.3615960099751,81649.355,285.38700154067817,Dedo indice
318.286783042394,111283.3575,333.1753935883742,Dedo indice
305.09725685785537,104951.83,323.5585028061457,Dedo indice
283.0224438902743,90890.465,301.10430997626764,Dedo indice
268.6009975062344,79664.3575,281.8966003108816,Dedo indice
265.4139650872818,80017.4675,282.52065887872135,Dedo indice
276.4339152119701,87548.21,295.5163029120103,Dedo indice
263.9052369077307,76788.2,276.76110317280217,Dedo indice
289.06982543640896,94526.3075,307.0677141077869,Dedo indice
311.0648379052369,108974.5225,329.7010245450185,Dedo indice
311.8778054862843,114694.9975,338.2439579095895,Dedo indice
322.211970074813,119879.8925,345.80477172766996,Dedo indice
332.8952618453865,128555.5025,358.0990298953211,Dedo indice
293.8753117206983,96180.39,309.7426974980469,Dedo indice
290.8778054862843,97782.84,312.3123316788872,Dedo indice
304.46882793017454,106006.4,325.1800192013349,Dedo indice
369.19451371571074,164647.3325,405.26132389901096,Dedo indice
342.9775561097257,138097.425,371.15096981419157,Dedo indice
369.07481296758107,160304.3975,399.88077712016167,Dedo indice
377.74064837905235,169499.575,411.18959470421606,Dedo indice
424.3825,213289.31077694235,461.25490512296994,Dedo indice
346.8703241895262,134768.7825,366.6506521856053,Dedo indice
371.04738154613466,161648.185,401.55332437822256,Dedo indice
382.26683291770576,166402.3625,407.41550536885876,Dedo indice
336.25935162094765,129045.79,358.7812426115325,Dedo indice
397.4488778054863,183614.2725,427.9677342348774,Dedo indice
398.2917705735661,179583.7975,423.24456004299105,Dedo indice
412.02493765586036,196521.35,442.7541889360832,Dedo indice
442.1770573566085,218832.5625,467.21177787651465,Dedo indice
386.1645885286783,170645.035,412.5766429213962,Dedo indice
374.8279301745636,161346.99,401.1790478438869,Dedo indice
481.8379052369077,256967.7475,506.28739879100647,Dedo indice
481.99750623441395,264330.6175,513.4894730203757,Dedo indice
405.6907730673317,179716.72,423.4011674859068,Dedo indice
208.15960099750623,54289.95,232.71133103272484,Dedo indice
332.857855361596,122925.99,350.1705889941483,Dedo indice
316.74064837905235,107085.3225,326.8306546332214,Dedo indice
331.25935162094765,123119.7725,350.44648756747307,Dedo indice
339.1197007481297,132235.0825,363.1877189581099,Dedo indice
280.17456359102243,87941.465,296.17926936400784,Dedo indice
300.09725685785537,101000.7125,317.40957830381,Dedo indice
256.1296758104738,71650.0,267.34120837566473,Dedo indice
267.1471321695761,76275.41,275.8354527748043,Dedo indice
326.6109725685786,115342.9775,339.1980824711716,Dedo indice
325.66084788029923,120547.235,346.76594188856745,Dedo indice
305.84788029925187,106401.2975,325.78514024734926,Dedo indice
541.2643391521196,352196.8875,592.7213434848148,Dedo indice
686.4438902743142,484919.635,695.4928893254369,Dedo indice
688.0448877805486,491405.23,700.1284029009453,Dedo indice
669.8703241895262,459954.5,677.3532913456302,Dedo indice
626.1521197007481,414026.3075,642.645954583582,Dedo indice
670.4463840399003,476136.3575,689.1654264669743,Dedo indice
522.5511221945137,293165.4925,540.7720466923106,Dedo indice
299.73815461346635,96901.3325,310.9014044544839,Dedo indice
377.0299251870324,181895.8375,425.9603642596333,Dedo indice
462.45885286783044,260641.505,509.8936420318836,Dedo indice
688.3865336658354,514682.5875,716.518729535775,Dedo indice
659.793017456359,448210.2725,668.6497896112226,Dedo indice
619.3990024937656,441509.2825,663.6326256637677,Dedo indice
312.0274314214464,110546.3075,332.0702198672643,Dedo indice
307.2568578553616,113577.615,336.5923039113775,Dedo indice
451.07730673316706,251030.57,500.40439506812015,Dedo indice
656.3266832917706,460131.1625,677.4833601217783,Dedo indice
694.1820448877805,498757.4875,705.3465128870315,Dedo indice
701.7306733167082,508698.68,712.3412838928786,Dedo indice
688.8329177057357,488774.44,698.2517820401138,Dedo indice
699.6059850374065,505422.305,710.0435903867991,Dedo indice
745.0375,576864.4035087719,758.5659117703616,Dedo indice
610.9351620947631,390568.8975,624.1753841865593,Dedo indice
353.4064837905237,139473.44,372.99547709746037,Dedo indice
418.4114713216958,216038.4375,464.2194397903881,Dedo indice
294.34912718204487,98215.66,313.00276862526675,Dedo indice
519.3615960099751,312408.565,558.2378447147958,Dedo indice
498.9650872817955,289061.2975,536.9734131072412,Dedo indice
277.5062344139651,87129.38,294.8085815416903,Dedo indice
279.51870324189525,85025.0525,291.22675005933894,Dedo indice
272.6932668329177,80823.375,283.9398183574784,Dedo indice
296.9850374064838,98993.6225,314.2399650123653,Dedo indice
309.8827930174564,108813.4875,329.4573298161327,Dedo indice
285.33416458852867,90168.9025,299.90672282230514,Dedo indice
281.5162094763092,89574.32,298.91628032509624,Dedo indice
327.3216957605985,123092.275,350.40735112251605,Dedo indice
353.0872817955112,141273.48,375.3946950309189,Dedo indice
349.3815461346633,141212.66,375.3138802764688,Dedo indice
