MAV_total,VAR_total,RMS_total,Dedo_pulgar
308.7805486284289,100079.8325,315.95926455455515,Dedo pulgar
373.0498753117207,151209.5425,388.3715506401485,Dedo pulgar
346.6334164588529,128633.12,358.20711767372757,Dedo pulgar
302.8279301745636,96341.34,310.0017536753551,Dedo pulgar
373.8977556109726,155181.4075,393.43922204882426,Dedo pulgar
328.65835411471323,120221.46,346.2970630258783,Dedo pulgar
268.2942643391521,75554.96,274.52967715876866,Dedo pulgar
435.73815461346635,211478.5275,459.29418636200387,Dedo pulgar
393.5810473815461,184753.4,429.29321952387863,Dedo pulgar
328.0498753117207,115206.495,338.9973407085685,Dedo pulgar
354.4638403990025,134549.18,366.3518061717272,Dedo pulgar
301.45885286783044,94945.2975,307.74750394526137,Dedo pulgar
443.7007481296758,240577.195,489.8747307938267,Dedo pulgar
286.18952618453864,86002.48,292.8959029673552,Dedo pulgar
448.8004987531172,231131.4275,480.161472736255,Dedo pulgar
353.3990024937656,131519.5975,362.2038355040782,Dedo pulgar
436.43,192200.0551378446,437.85791645235787,Dedo pulgar
453.8503740648379,208450.07,455.9936889793843,Dedo pulgar
485.79052369077306,239365.395,488.6394108291526,Dedo pulgar
498.91770573566083,252653.16,502.0190257792916,Dedo pulgar
499.46633416458855,253926.835,503.2828240636732,Dedo pulgar
476.41645885286783,230952.7925,479.9758852005638,Dedo pulgar
475.06733167082297,228503.76,477.4242612048873,Dedo pulgar
483.1496259351621,237813.2225,487.05253522574486,Dedo pulgar
469.2369077306733,223569.565,472.2415006251761,Dedo pulgar
451.91022443890273,207324.85,454.761289495863,Dedo pulgar
468.01745635910225,221379.0775,469.9223446220262,Dedo pulgar
498.1321695760598,252125.0575,501.4940844199754,Dedo pulgar
471.27431421446386,224476.6075,473.1984947792487,Dedo pulgar
458.5885286783042,212346.715,460.235996060527,Dedo pulgar
480.3142144638404,235745.96,484.9309897685497,Dedo pulgar
515.4538653366584,272323.0675,521.1947405778238,Dedo pulgar
461.2992518703242,216378.3125,464.584454874163,Dedo pulgar
471.59850374064837,225369.9675,474.1391648355182,Dedo pulgar
465.9476309226933,221133.9775,469.662135153567,Dedo pulgar
486.3017456359102,241132.3225,490.43959364275315,Dedo pulgar
451.142144638404,205264.47,452.49595415724804,Dedo pulgar
488.49625935162095,244735.0725,494.089830494925,Dedo pulgar
477.68827930174564,230580.9525,479.58934272548254,Dedo pulgar
483.3216957605985,236130.6,485.3264320392103,Dedo pulgar
487.0975,239877.75187969924,489.1605641300206,Dedo pulgar
466.9476309226933,220098.77,468.5615170517585,Dedo pulgar
486.4339152119701,239086.905,488.35507400275816,Dedo pulgar
472.57605985037407,225717.7875,474.50490013210253,Dedo pulgar
463.1720698254364,217036.115,465.29010069577697,Dedo pulgar
476.6009975062344,230305.7975,479.3031074674252,Dedo pulgar
