MAV_total,VAR_total,RMS_total,Dedo_anular
503.75311720698255,268591.0275,517.6110744940671,Dedo anular
517.0548628428928,291904.8675,539.6081218690397,Dedo anular
519.3341645885287,291178.5925,538.9364167938862,Dedo anular
539.0847880299252,309611.3925,555.7331142413049,Dedo anular
662.5336658354115,473981.36,687.604073283463,Dedo anular
536.2768079800499,299391.8025,546.4843909263873,Dedo anular
500.6558603491272,269227.0725,518.2235842681907,Dedo anular
481.6384039900249,248251.7225,497.6270098153391,Dedo anular
499.2269326683292,267084.355,516.1572524211324,Dedo anular
582.1995012468828,360802.95,599.9193212590758,Dedo anular
599.0847880299252,388494.6325,622.5157170346081,Dedo anular
523.5436408977556,290342.8675,538.1624480107079,Dedo anular
551.5985037406484,326365.7525,570.5715317275785,Dedo anular
511.2718204488778,274767.28,523.5284851972885,Dedo anular
456.15960099750623,224505.31,473.2287463627288,Dedo anular
434.5137157107232,196920.59,443.2036960692863,Dedo anular
458.7431421446384,221374.115,469.91707763218614,Dedo anular
484.6159600997506,246326.7725,495.69394919831376,Dedo anular
501.06982543640896,268632.9675,517.6514849301353,Dedo anular
507.97506234413964,271751.04,520.6470556994237,Dedo anular
474.74563591022445,235730.7975,484.91539483669305,Dedo anular
490.4862842892768,251041.6075,500.4153960246963,Dedo anular
473.9201995012469,233667.01,482.7880479588018,Dedo anular
447.3615960099751,216087.405,464.2720470433638,Dedo anular
425.59102244389027,190388.04,435.7903817867661,Dedo anular
467.1471321695761,236639.92,485.84956057531014,Dedo anular
475.58354114713217,239417.3525,488.6924408517446,Dedo anular
496.8827930174564,264223.055,513.3849867676342,Dedo anular
501.51122194513715,275934.17,524.6389757374521,Dedo anular
519.206982543641,287827.775,535.8264644453463,Dedo anular
493.03241895261846,259889.005,509.15705115724575,Dedo anular
514.5336658354115,284580.15,532.7949641423625,Dedo anular
502.9052369077307,266939.6725,516.0174294839003,Dedo anular
469.51870324189525,234274.8125,483.41554178047767,Dedo anular
503.76059850374065,274192.685,522.9807957451253,Dedo anular
517.1975,287632.1679197995,535.6426864057793,Dedo anular
484.16708229426433,253156.5825,502.51892434681827,Dedo anular
516.0274314214464,285090.9525,533.2729155824113,Dedo anular
468.6159600997506,235171.5975,484.3398957997799,Dedo anular
519.2593516209477,282209.8275,530.5714488588127,Dedo anular
517.1072319201995,279546.515,528.0619201582301,Dedo anular
345.3915211970075,145571.225,381.0619431126363,Dedo anular
336.54613466334166,135527.4875,367.6812664737092,Dedo anular
305.46134663341644,118721.145,344.12945572017566,Dedo anular
343.40149625935163,149549.865,386.2342847201253,Dedo anular
331.29675810473816,135494.97,367.6371544155095,Dedo anular
332.6109725685786,141385.3975,375.54336029458256,Dedo anular
331.96009975062344,140841.835,374.82076847315034,Dedo anular
331.70324189526184,139599.5825,373.1641111700543,Dedo anular
294.2917705735661,114037.9275,337.2736924826746,Dedo anular
306.92518703241893,122904.6825,350.1402390934509,Dedo anular
311.3965087281795,125269.585,353.49284578326353,Dedo anular
314.5860349127182,131094.2075,361.61760089465776,Dedo anular
300.34164588528677,114797.7175,338.3953884182572,Dedo anular
326.72568578553614,137864.6625,370.83805137704945,Dedo anular
335.3740648379052,142780.4625,377.3915758151728,Dedo anular
331.211970074813,141566.125,375.7833049369366,Dedo anular
331.03241895261846,139917.655,373.58898962239545,Dedo anular
315.2294264339152,127910.7125,357.19985045781067,Dedo anular
345.93266832917703,149633.1825,386.3418595220464,Dedo anular
350.74064837905235,154864.0575,393.03671945874567,Dedo anular
367.61346633416457,162955.5575,403.17388871137643,Dedo anular
351.3665835411471,157600.72,396.4942631969972,Dedo anular
347.43142144638404,148609.84,385.01849552360704,Dedo anular
349.92518703241893,154808.735,392.96651041054304,Dedo anular
