MAV_total,VAR_total,RMS_total,Mano_cerrada
758.8079800498754,641081.39,799.6766116948592,Mano cerrada
769.2618453865337,627963.05,791.4524984840268,Mano cerrada
614.1770573566084,400217.0675,631.8378114279998,Mano cerrada
532.0448877805486,310214.935,556.2745110741844,Mano cerrada
521.6359102244389,297980.745,545.1950576379228,Mano cerrada
442.9127182044888,211774.375,459.61533846426505,Mano cerrada
494.90274314214463,289660.21,537.5294088109583,Mano cerrada
426.857855361596,197279.105,443.6069624759143,Mano cerrada
368.0,158020.51,397.0219690272496,Mano cerrada
331.72568578553614,120402.705,346.5580021840579,Mano cerrada
706.6384039900249,543489.255,736.297440033239,Mano cerrada
439.40897755610973,219210.6725,467.6152397739277,Mano cerrada
536.4912718204489,333145.8825,576.4677742624407,Mano cerrada
334.3665835411471,123723.4325,351.30456197129774,Mano cerrada
359.91770573566083,145290.5725,380.69443372647856,Mano cerrada
544.4114713216958,316998.6675,562.3238809904569,Mano cerrada
359.99501246882795,150469.87,387.4204865729984,Mano cerrada
407.4413965087282,186982.95,431.8757441141083,Mano cerrada
578.1321695760598,378326.3125,614.3149480206354,Mano cerrada
364.6783042394015,150318.1,387.22505328976564,Mano cerrada
338.55361596009976,136911.7,369.55415613170214,Mano cerrada
313.98753117206985,115195.9625,338.9818443118559,Mano cerrada
378.4912718204489,167688.6025,408.9870736758256,Mano cerrada
297.6184538653367,98244.8275,313.0492420214024,Mano cerrada
326.3815461346633,123765.7625,351.3646534595478,Mano cerrada
295.8952618453865,97578.73,311.9862040558797,Mano cerrada
299.38653366583543,101257.46,317.8127556139349,Mano cerrada
284.18952618453864,86354.03,293.4939237731687,Mano cerrada
378.99501246882795,175972.0375,418.9668298192329,Mano cerrada
330.498753117207,119899.555,345.83312972582615,Mano cerrada
382.7556109725686,185106.2625,429.70297982771535,Mano cerrada
369.34912718204487,164160.2475,404.6614267806971,Mano cerrada
471.1695760598504,244838.3275,494.19404903816695,Mano cerrada
485.66832917705733,279113.0325,527.652338216119,Mano cerrada
406.2269326683292,178826.8125,422.35158381273675,Mano cerrada
299.25187032418955,95019.54,307.867802053328,Mano cerrada
383.214463840399,163136.0975,403.3971669635453,Mano cerrada
316.7780548628429,110149.97,331.4744059433718,Mano cerrada
321.77556109725685,115650.175,339.6494819274219,Mano cerrada
371.75311720698255,156823.0175,395.5147755215478,Mano cerrada
348.5137157107232,131424.595,362.07299383940585,Mano cerrada
396.9650872817955,173453.3225,415.95765478419327,Mano cerrada
318.640897755611,114151.4825,337.44157340396964,Mano cerrada
367.53366583541145,150102.4225,386.94715691472527,Mano cerrada
445.1047381546135,216770.5525,465.0053521800687,Mano cerrada
362.09226932668327,143605.5075,378.48036808721196,Mano cerrada
430.1197007481297,209087.33,456.6901742012522,Mano cerrada
436.82543640897757,216887.8325,465.13112676672347,Mano cerrada
363.01246882793015,145716.315,381.25179693783633,Mano cerrada
486.640897755611,263088.9475,512.2820173855982,Mano cerrada
443.03241895261846,220176.485,468.64423229018075,Mano cerrada
461.8952618453865,234378.08,483.52207396351105,Mano cerrada
451.4788029925187,230928.3275,479.950462427155,Mano cerrada
511.03990024937656,285767.3125,533.9051187341004,Mano cerrada
544.7007481296758,333800.8425,577.0341596876082,Mano cerrada
425.91770573566083,215920.1225,464.0923058284602,Mano cerrada
520.997506234414,303143.645,549.8978776195393,Mano cerrada
562.8204488778055,352812.8025,593.2393868202051,Mano cerrada
489.05985037406487,268200.3575,517.2345006651279,Mano cerrada
431.3890274314214,215893.3825,464.0635678573237,Mano cerrada
403.8852867830424,192540.75,438.24718881441856,Mano cerrada
407.8678304239402,194937.4825,440.9663866041415,Mano cerrada
367.2643391521197,151288.6175,388.47308677966316,Mano cerrada
400.0947630922693,182980.08,427.2280077120016,Mano cerrada
380.7630922693267,161722.265,401.64532560587253,Mano cerrada
386.8354114713217,173499.9475,416.01355663216754,Mano cerrada
374.7805486284289,158574.9275,397.71783817549914,Mano cerrada
376.26184538653365,175513.5725,418.4207007223919,Mano cerrada
458.1920199501247,249965.9075,499.3421183138816,Mano cerrada
456.9551122194514,246821.1525,496.1911309203239,Mano cerrada
532.7655860349128,313715.1825,559.4040135484056,Mano cerrada
396.45137157107234,183265.1075,427.5606241011858,Mano cerrada
359.84039900249377,152085.8,389.4952293235893,Mano cerrada
408.65835411471323,190818.78,436.2830763314878,Mano cerrada
373.96009975062344,176481.84,419.57327805861024,Mano cerrada
463.0448877805486,250586.1625,499.9612578506668,Mano cerrada
463.0872817955112,238187.77,487.43592967297724,Mano cerrada
303.3366583541147,111243.535,333.11577522049015,Mano cerrada
308.63591022443893,120882.9875,347.24851859415526,Mano cerrada
326.43890274314214,121633.855,348.3253201797197,Mano cerrada
305.29675810473816,114629.02,338.1466576720271,Mano cerrada
