MAV_total,VAR_total,RMS_total,Mano_abierta
35.069825436408976,1278.8975,35.717057961517966,Mano abierta
36.069825436408976,1346.59,36.65012851545682,Mano abierta
37.82294264339152,1842.5775,42.87169863255826,Mano abierta
307.3092269326683,126498.0875,355.2219460037531,Mano abierta
231.95261845386534,55013.5425,234.2570204304401,Mano abierta
243.89027431421445,75282.445,274.03413697827216,Mano abierta
304.94513715710724,113147.1675,335.95387330336166,Mano abierta
143.73815461346632,20826.5475,144.1340035264704,Mano abierta
148.18952618453866,22428.71,149.5753256886404,Mano abierta
139.78802992518703,19633.3025,139.94406613317082,Mano abierta
143.81795511221947,20792.5575,144.01633843304325,Mano abierta
141.27431421446383,20099.9025,141.59723886736933,Mano abierta
140.83291770573567,19920.56,140.9641188140353,Mano abierta
145.4713216957606,21369.67,146.0012981187807,Mano abierta
145.61097256857855,21319.4,145.8294703205257,Mano abierta
141.41645885286783,20159.165,141.80582769435043,Mano abierta
138.90274314214463,19389.685,139.07311627637796,Mano abierta
140.79052369077306,19979.1625,141.17131136360425,Mano abierta
146.87531172069825,21682.5125,147.06611233220497,Mano abierta
156.3790523690773,24681.775,156.90833132406559,Mano abierta
144.66583541147133,21024.7075,144.818081771511,Mano abierta
149.8503740648379,22596.665,150.1343205748234,Mano abierta
145.13466334164588,21360.1725,145.96885022808027,Mano abierta
139.00997506234415,19421.9975,139.18894924174995,Mano abierta
141.785536159601,20195.575,141.93382954769737,Mano abierta
139.44638403990024,19538.82,139.60692949525202,Mano abierta
138.99501246882792,19408.5725,139.14083537849496,Mano abierta
151.13715710723193,23008.765,151.49715024932263,Mano abierta
149.98254364089775,22589.5125,150.11055776034607,Mano abierta
152.5586034912718,23417.72,152.83756637607326,Mano abierta
152.21945137157107,23302.84,152.4622188594641,Mano abierta
149.81047381546134,22538.71,149.94166779334014,Mano abierta
150.89526184538653,22876.9625,151.06261191375083,Mano abierta
152.86533665835412,23534.3525,153.21769917880206,Mano abierta
161.91022443890273,26409.97,162.30868653798473,Mano abierta
161.21197007481297,26106.99,161.37498346020996,Mano abierta
156.60349127182045,24678.945,156.89933555072614,Mano abierta
163.03740648379053,26743.245,163.32958585620702,Mano abierta
163.01745635910225,26856.54,163.67518469452855,Mano abierta
157.8428927680798,25020.0275,157.97985129901488,Mano abierta
