Dato
375
390
389
386
386
395
397
388
381
384
368
371
366
362
355
372
341
339
336
326
326
311
317
314
304
310
306
305
301
311
304
307
304
300
294
306
303
295
308
308
306
309
307
318
323
322
322
317
317
304
312
316
335
353
360
361
369
357
349
364
348
351
365
368
366
367
356
356
351
352
358
341
345
366
359
359
354
363
343
334
349
339
344
343
341
344
349
345
351
354
395
433
485
515
553
581
607
652
678
688
694
