MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_indice
475.1287128712871,248793.74,496.3168701984291,2608,37.72320240912746,115.2918341339084,47988,Dedo indice
474.0693069306931,253900.17,501.3843903939303,2725,39.85210157570113,139.29438290363694,47881,Dedo indice
455.019801980198,230431.27,477.6502614646282,2324,35.506900737743926,117.43221252818348,45957,Dedo indice
522.7326732673267,306894.88,551.2316362761513,3122,43.846322536787504,149.72865405352414,52796,Dedo indice
502.86138613861385,298202.21,543.3688552643472,2929,44.5195462690266,181.28359964709335,50789,Dedo indice
490.63366336633663,260505.82,507.864700934654,2453,33.87521217645729,107.74629938241345,49554,Dedo indice
518.4571428571429,298748.0,543.9694669302505,3200,44.185578921356054,133.64462585034016,54438,Dedo indice
391.6732673267327,163395.91,402.2165196916597,1981,27.74148518014131,61.85707283599648,39559,Dedo indice
443.2970297029703,213458.37,459.7226563832581,2308,34.061121531740554,100.93677090481322,44773,Dedo indice
458.1980198019802,231306.88,478.5569066174755,2724,38.13607216271755,117.87471816488575,46278,Dedo indice
405.0693069306931,173971.68,415.02914128867127,1991,29.31671877956331,74.24762278208017,40912,Dedo indice
419.26732673267327,188138.46,431.5966901753268,2186,27.94387231576898,78.26232722282131,42346,Dedo indice
542.059405940594,317098.74,560.3205765585014,2855,42.68758601748288,116.9267718851093,54748,Dedo indice
474.1287128712871,249881.87,497.4010374729911,2417,34.321858924015174,114.68875600431326,47887,Dedo indice
447.2772277227723,215027.33,461.4090880494808,2582,36.55789928319186,95.57023821194001,45175,Dedo indice
421.6237623762376,189176.44,432.78563509039213,2092,25.79922479455536,79.80550926379765,42584,Dedo indice
389.2277227722772,162401.86,400.9911729603025,2332,35.51872745468227,72.57033624154496,39312,Dedo indice
485.4950495049505,263761.79,511.02865587823237,2515,35.99736101438548,134.63738849132437,49035,Dedo indice
410.53465346534654,189679.14,433.36027588240165,2296,32.04434427477023,109.89099107930599,41464,Dedo indice
494.7722772277228,271865.92,518.8199863322748,3012,43.005115974730266,132.33251641995884,49972,Dedo indice
493.45544554455444,266188.03,513.37365042481,2755,40.44836214236616,121.1549848054112,49839,Dedo indice
481.6039603960396,259081.8,506.4747117708508,2787,38.87222658917289,139.6523870208803,48642,Dedo indice
467.8217821782178,234680.06,482.0337073789601,2235,28.66513561802909,93.08107048328594,47250,Dedo indice
476.3267326732673,242916.57,490.4196727758222,2361,30.739713726708647,103.53063425154397,48109,Dedo indice
483.7920792079208,265270.91,512.488502648142,3039,50.6597473345456,138.57229683364375,48863,Dedo indice
410.64356435643566,183830.75,426.62705442148933,2397,32.26530644515871,91.50593079109893,41475,Dedo indice
463.0495049504951,233936.52,481.26948462548836,2591,33.66466990778314,114.0568571708656,46768,Dedo indice
502.1287128712871,288697.85,534.639556566426,3609,49.99609984788814,147.21772375257325,50715,Dedo indice
449.980198019802,233408.52,480.72605978296565,2841,45.55732652384246,122.8616802274287,45448,Dedo indice
527.4752475247525,326493.25,568.5601494691274,3844,65.65576897729552,169.5621997843348,53275,Dedo indice
522.5544554455446,310031.62,554.0415146900095,3036,47.40907086201964,160.73149691206746,52778,Dedo indice
482.8019801980198,271961.15,518.9108452774278,3301,51.81418724635175,147.8362905597491,48763,Dedo indice
442.25742574257424,218705.34,465.3385225769079,3150,44.29672674137447,111.8662876188609,44668,Dedo indice
468.6732673267327,249691.82,497.21184998185254,2859,43.68191845603853,132.33918243309478,47336,Dedo indice
453.63366336633663,224324.69,471.2787428532572,2796,38.90089973252547,106.59582393882948,45817,Dedo indice
448.8910891089109,230010.96,477.21444211420953,3187,47.192478214223925,126.30663660425446,45338,Dedo indice
437.9306930693069,215224.29,461.6203596416037,2730,40.786027019066225,119.53592785021078,44231,Dedo indice
400.3762376237624,174895.5,416.1296208949065,2361,35.96818038210996,88.36819919615722,40438,Dedo indice
390.3762376237624,162599.86,401.2355422891143,2123,31.043034645472403,72.00901872365456,39428,Dedo indice
451.63366336633663,227011.51,474.0926821699832,2705,45.93919894817497,119.2043917263013,45615,Dedo indice
439.71287128712873,214418.41,460.75530973125484,2873,44.43433357213766,115.19478482501715,44411,Dedo indice
417.66336633663366,191696.9,435.6591682624034,2858,42.816585571481525,89.58592294873051,42184,Dedo indice
458.73267326732673,229991.38,477.1941299133534,2273,32.66205749795931,103.39182433094795,46332,Dedo indice
455.51485148514854,221350.69,468.14431429838066,2844,37.185212114495194,89.46495441623367,46007,Dedo indice
488.980198019802,268036.97,515.1535097559381,3453,54.49119194879113,127.262817370846,49387,Dedo indice
439.4059405940594,211029.32,457.0994648783558,2580,36.442008726194004,92.93147730614649,44380,Dedo indice
411.25742574257424,179084.95,421.0841147361989,2329,34.65010822493921,68.47505146554258,41537,Dedo indice
445.5247524752475,216547.2,463.036897360061,2817,43.197569376065594,100.81501813547696,44998,Dedo indice
444.7722772277228,217164.66,463.69657627751053,2411,36.33524459804833,96.89402999705912,44922,Dedo indice
536.2673267326733,320338.45,563.1756228550894,2811,39.97261562620089,149.10969512792866,54163,Dedo indice
531.3267326732673,313256.36,556.9154441036701,3112,45.05196999022351,144.67150279384373,53664,Dedo indice
473.990099009901,257077.47,504.51179224558416,2903,40.68673002343639,125.88628565826879,47873,Dedo indice
495.4190476190476,265330.04807692306,512.643243628642,2857,36.70136761232999,107.70467120181407,52019,Dedo indice
502.8514851485148,282608.14,528.9707360563157,3174,50.972737811500764,110.79737280658755,50788,Dedo indice
523.3267326732673,299869.0,544.8853090330111,3280,47.13597352341415,123.2122340946966,52856,Dedo indice
503.74257425742576,287311.9,533.3546922290759,3063,47.73541662120485,118.06744436819916,50878,Dedo indice
522.9702970297029,300795.88,545.7267658547609,3081,42.527520501435305,127.18772669346137,52820,Dedo indice
464.2178217821782,228649.6,475.800107791347,2410,33.544000953970894,76.37604156455247,46886,Dedo indice
537.980198019802,321161.5,563.8986461841497,3015,44.27832426820148,141.538868738359,54336,Dedo indice
474.64356435643566,242022.37,489.5161988237887,2435,34.60043352329563,90.12410547985496,47939,Dedo indice
518.7524752475248,297154.12,542.4131266848176,3148,46.574885936521625,126.83501617488487,52394,Dedo indice
473.81188118811883,246035.21,493.5577147829645,2972,47.84433090764255,97.16733653563378,47855,Dedo indice
485.4770642201835,256537.67592592593,504.1667573988343,2904,39.34063020828702,101.96717448026261,52917,Dedo indice
524.9207920792079,304393.75,548.9808288957362,3203,47.72263613841968,132.1539064797569,53017,Dedo indice
481.1089108910891,248706.46,496.2298054349217,2623,38.76093394127649,83.06146456229784,48592,Dedo indice
506.8811881188119,276975.89,523.6731370382154,2760,36.956731457205464,111.4533869228507,51195,Dedo indice
468.5742574257426,233522.86,480.8437921770931,2282,32.952086428631496,78.32663464366242,47326,Dedo indice
504.4752475247525,274194.2,521.0368566047838,2670,40.95729483254479,103.61023429075586,50952,Dedo indice
459.6930693069307,222854.63,469.7319964776207,2585,33.42379391990084,70.54798549161848,46429,Dedo indice
518.1089108910891,293637.17,539.1937233380306,2578,35.65529413705628,116.16861092049798,52329,Dedo indice
541.3267326732673,320879.96,563.6514265865645,2974,46.57767705671892,128.49936280756788,54674,Dedo indice
489.13861386138615,252775.25,500.2724505231877,2175,32.45874304405517,67.8884423095775,49403,Dedo indice
517.8613861386139,290061.0,535.900278886745,3001,41.51493707089052,110.78913831977259,52304,Dedo indice
492.0990099009901,266289.2,513.4712000368927,2537,35.828340737466476,114.68189393196742,49702,Dedo indice
435.54455445544556,198506.94,443.3300404354246,2511,34.06537831875642,57.606313106558204,43990,Dedo indice
549.4851485148515,335624.8,576.4562274606961,3178,45.23052066912341,145.95059307910992,55498,Dedo indice
534.1980198019802,307221.74,551.5251042283202,2953,44.34782971014478,109.9023625134791,53954,Dedo indice
491.6732673267327,260220.41,507.58641658049686,2655,36.666196966688545,93.37613959415745,49659,Dedo indice
501.0693069306931,266832.06,513.9943174937264,2516,34.86688973797347,87.91785119105967,50608,Dedo indice
521.0891089108911,295983.42,541.343597994018,3162,52.35799843385918,115.40888148220768,52630,Dedo indice
529.6831683168317,311272.9,555.1495204888588,2785,41.86800687876126,132.89383393784928,53498,Dedo indice
498.18811881188117,272352.99,519.2845325470173,2901,49.15516249591695,106.038035486717,50317,Dedo indice
497.3069306930693,271720.74,518.681439463149,2693,40.29528508398967,114.20154886775809,50228,Dedo indice
563.8514851485148,346777.63,585.9557902425846,2930,44.055192656484884,132.9771591020488,56949,Dedo indice
