MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_pinza
459.4901960784314,214123.22772277228,460.4606176342955,2081,26.966242189481687,24.33294886582084,46868,Mano pinza
459.4059405940594,214243.36,460.56719228996474,2165,27.546506130542216,26.98853053622194,46400,Mano pinza
464.589552238806,218875.24060150376,466.0920974266589,3135,30.757968586675997,27.817999554466475,62255,Mano pinza
480.08910891089107,233575.79,480.8982828164825,2030,24.941531628991832,22.07763944711303,48489,Mano pinza
494.9504950495049,249147.74,496.6698407323212,2192,27.546324618721822,33.94412312518381,49990,Mano pinza
480.009900990099,234402.73,481.74880476352934,2316,29.454710998412462,30.96088618762866,48481,Mano pinza
476.0792079207921,230359.14,477.5754981525367,2572,31.198397394738084,31.165964121164595,48084,Mano pinza
465.76237623762376,221960.86,468.7891079395641,2310,29.026195065836653,41.44613273208509,47042,Mano pinza
500.81188118811883,254667.58,502.1415326497911,2647,31.840069095402416,30.9795118125674,50582,Mano pinza
469.990099009901,224480.93,471.4428348534459,2366,31.462676300658213,30.326830702872268,47469,Mano pinza
473.8545454545455,227660.71559633026,474.96428573869923,2564,29.743860672522356,25.101157024793388,52124,Mano pinza
488.26732673267327,242421.55,489.9197246832009,2565,32.44518454254807,30.787373786883645,49315,Mano pinza
478.2277227722772,231971.03,479.24345288038404,1776,22.619902740728133,25.238113910400934,48301,Mano pinza
496.56435643564356,250342.83,497.85960683591503,2298,30.03298186993759,29.06499362807568,50153,Mano pinza
489.8514851485148,243511.01,491.01935796971395,2150,27.07249526733729,27.419468679541225,49475,Mano pinza
518.0990099009902,273254.16,520.1429354199927,2197,28.146935890075138,38.05038721693952,52328,Mano pinza
489.5247524752475,243767.4,491.2777843401212,2729,34.824847451209315,32.20370551906676,49442,Mano pinza
486.81188118811883,240933.64,488.41392119373666,2497,30.339578111766816,32.16155278894226,49168,Mano pinza
462.63366336633663,217091.54,463.6185056831545,1814,23.72635665246563,24.11057739437309,46726,Mano pinza
472.94059405940595,228094.23,475.22191793637705,2507,32.09470361290161,38.433879031467505,47767,Mano pinza
