MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_pulgar
259.05882352941177,67976.0,259.4408769401055,1729,20.102460319351188,11.545559400230681,26424,Dedo pulgar
324.51485148514854,108278.38,327.4237572805052,1697,20.57887266105702,36.60935202431135,32776,Dedo pulgar
302.1485148514852,93171.77,303.72566112813513,1598,20.296797776989354,25.400450936182732,30517,Dedo pulgar
300.44554455445547,91964.63,301.75170108702105,1654,20.553345226507535,22.397412018429566,30345,Dedo pulgar
302.980198019802,93884.77,304.8855815249094,1755,21.714281015037084,27.523380060778347,30601,Dedo pulgar
292.8910891089109,87218.08,293.86142083210814,1720,20.999047597450698,19.49397117929615,29582,Dedo pulgar
306.7524752475247,96254.6,308.70954659423126,1873,23.023683458560665,29.755122046858155,30982,Dedo pulgar
308.48514851485146,97038.99,309.96484949231274,1660,19.823723161908816,24.924419174590724,31157,Dedo pulgar
336.1485148514852,114839.65,337.19819655860596,1710,21.223100621728204,21.892559552985002,33951,Dedo pulgar
360.7722772277228,132835.9,362.65781815549894,2259,27.430457524438047,28.382903636898345,36438,Dedo pulgar
341.38613861386136,118736.52,342.8715661746962,1996,23.854140101877494,26.326046466032743,34480,Dedo pulgar
337.4950495049505,115960.15,338.83923872977033,2009,24.96297257940248,25.242231153808458,34087,Dedo pulgar
328.1089108910891,109592.19,329.4041876052598,1947,24.64812366083877,24.89991177335555,33139,Dedo pulgar
332.0792079207921,112199.88,333.3001501634974,2079,25.77071981920567,23.56357219880403,33540,Dedo pulgar
325.86138613861385,107985.86,326.98118152166944,1999,25.058531481313903,20.98323693755514,32912,Dedo pulgar
317.8910891089109,102593.97,318.7133321949552,1953,24.61036367061649,17.951573375159303,32107,Dedo pulgar
322.3069306930693,105427.13,323.0840401965145,1719,22.400223213173568,18.55210273502598,32553,Dedo pulgar
315.16831683168317,100842.82,315.98160743566035,1896,23.56777460856243,18.549750024507404,31832,Dedo pulgar
316.8514851485148,101760.76,317.4164893681049,1677,20.902392207591934,14.998529555925888,32002,Dedo pulgar
304.05940594059405,93622.52,304.45946258317485,1566,19.398969044771427,12.694833839819626,30710,Dedo pulgar
316.54455445544556,101549.01,317.0860675864295,1430,18.046606329168927,15.343789824527011,31971,Dedo pulgar
324.51485148514854,106936.24,325.3881764086314,1957,23.925091431382242,18.92559552985001,32776,Dedo pulgar
303.25742574257424,93158.57,303.704145379664,1705,20.547749268472202,13.418684442701695,30629,Dedo pulgar
323.6930693069307,106206.87,324.27660543382274,1757,21.493487385717565,15.83021272424272,32693,Dedo pulgar
339.980198019802,117154.24,340.57935496694887,1713,22.231284263397832,16.294873051661607,34338,Dedo pulgar
339.9504950495049,117210.61,340.6612817901252,1708,21.35743430283703,17.61337123811391,34335,Dedo pulgar
338.8217821782178,116228.77,339.2314697946078,1721,21.54599730808486,13.404176061170473,34221,Dedo pulgar
327.56435643564356,108702.18,328.06389742255885,1934,24.560537453402766,14.935006371924322,33084,Dedo pulgar
319.7029702970297,103506.56,320.1276972932168,1683,21.4506410160629,13.488089402999703,32290,Dedo pulgar
