MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_cerrada
585.2686567164179,404875.3834586466,633.9194943943074,4069,47.917300311817776,200.02450434395186,78426,Mano cerrada
586.0990099009902,399412.96,628.854813321504,3280,54.843595797504015,171.18086462111563,59196,Mano cerrada
562.1881188118812,452161.05,669.092077311331,4093,74.92149224354785,265.95882756592505,56781,Mano cerrada
598.4851485148515,455600.59,671.6321114042322,4461,69.02006954502437,243.6355259288306,60447,Mano cerrada
570.8712871287129,427895.3,650.8907073167408,3830,64.01296743629372,223.53416331732188,57658,Mano cerrada
508.7029702970297,306973.75,551.3024632092569,3412,49.75781345678285,160.14273110479365,51379,Mano cerrada
639.29,490667.9090909091,696.9657308648683,4064,60.91093016972746,225.47640000000004,63929,Mano cerrada
459.029702970297,222393.68,469.2459508362727,2488,33.5729057425776,74.2146848348201,46362,Mano cerrada
498.1089108910891,266156.63,513.3433703103451,2841,37.04227314839088,108.014900499951,50309,Mano cerrada
555.8613861386139,335302.66,576.1795134184904,3264,40.99121857178681,125.77041466522893,56142,Mano cerrada
458.0693069306931,216580.09,463.07205991429385,2116,27.96533568545173,52.13900597980589,46265,Mano cerrada
554.9509803921569,338019.9108910891,578.5378036015264,3034,41.465720066026336,138.27758554402152,56605,Mano cerrada
535.7818181818182,318404.49541284406,561.7026874520978,3140,38.88538793037062,137.8211570247934,58936,Mano cerrada
478.66336633663366,280519.73,527.0126250202105,2711,46.0096728960335,175.32202725223019,48345,Mano cerrada
520.0990099009902,338686.38,579.07948461757,3216,49.002857059563375,188.2599745123027,52530,Mano cerrada
679.4653465346535,567065.46,749.3003072834346,4003,58.28936438150617,279.6935594549554,68626,Mano cerrada
781.4059405940594,663038.12,810.2304524878177,2943,37.323852962951186,164.0150965591608,78922,Mano cerrada
686.0693069306931,502482.25,705.3418874686387,3364,52.08896236248137,147.88295265170083,69293,Mano cerrada
682.7326732673267,508209.68,709.3503372735499,3009,37.24258315423354,158.73718262915398,68956,Mano cerrada
609.4158415841584,395379.29,625.6713542782317,2835,40.50049382414985,103.09283403587885,61551,Mano cerrada
746.0693069306931,615010.87,780.3343215989839,3807,51.01440972901676,201.85903342809536,75353,Mano cerrada
636.3465346534654,437642.29,658.2622562625036,3175,41.376200888916806,129.27928634447602,64271,Mano cerrada
602.2574257425742,385613.12,617.895758455123,2536,33.40329325081586,113.3118321733163,60828,Mano cerrada
634.0891089108911,421624.63,646.1038064528573,2769,36.248172367720834,106.14547593373203,64043,Mano cerrada
563.5544554455446,324417.73,566.7500977214972,2324,29.727428412158357,44.797372806587596,56919,Mano cerrada
553.08,316018.3434343434,559.3372506815543,2561,33.551257333919224,66.3528,55308,Mano cerrada
650.3465346534654,440573.35,660.4628964777373,2995,37.42258676254222,98.72169395157337,65685,Mano cerrada
651.059405940594,457690.55,673.1708255681017,2853,42.78609587237424,132.02058621703753,65757,Mano cerrada
605.8118811881188,381115.09,614.2814283920088,2831,42.37912221837541,77.6861092049799,61187,Mano cerrada
604.5346534653465,389530.58,621.0264419363788,2930,38.62589804781243,120.90598960886184,61058,Mano cerrada
694.0891089108911,526022.85,721.674928877467,3045,40.22250613773338,169.52279188314873,70103,Mano cerrada
396.16831683168317,161533.93,399.91822183843516,2144,27.8905001747907,46.96206254288795,40013,Mano cerrada
510.5247524752475,294942.91,540.391231579785,3285,47.68217696372514,134.854622095873,51563,Mano cerrada
470.0693069306931,237091.71,484.50414583028356,2614,34.96426747409418,94.9467699245172,47477,Mano cerrada
462.15841584158414,230587.56,477.8122171433932,2601,36.71089756461969,92.81560631310656,46678,Mano cerrada
446.03960396039605,213856.5,460.1511804949446,2485,33.88790344651023,91.4933830016665,45050,Mano cerrada
558.0272727272727,345428.8532110092,585.0543486797537,3619,47.336488243912385,145.76347107438016,61383,Mano cerrada
502.7524752475247,272338.6,519.2708139476181,2395,30.260700586734604,102.00843054602493,50778,Mano cerrada
512.0990099009902,286334.22,532.4464552635995,3009,41.14498754404964,123.8145279874522,51722,Mano cerrada
558.1089108910891,351003.85,589.5155336006301,2952,39.27492838949551,162.84011371434175,56369,Mano cerrada
504.51485148514854,276393.42,523.1222146737305,2607,33.395059514844405,110.89010881286148,50956,Mano cerrada
487.34653465346537,259161.96,506.5530574382115,2835,37.46611802682525,117.6745417115969,49222,Mano cerrada
488.96039603960395,264170.55,511.4244812286561,2773,39.517717545425114,118.02823252622291,49385,Mano cerrada
533.8712871287129,315822.17,559.1915752421367,3079,49.71207096872951,149.42927164003524,53921,Mano cerrada
452.8712871287129,216541.1,463.03037558336416,2403,31.79260920402728,78.3715322027252,45740,Mano cerrada
621.2178217821782,451191.93,668.3746577843275,2886,42.240028409081354,214.67111067542393,62743,Mano cerrada
629.6039603960396,409452.26,636.708942318013,2585,33.41002843458832,80.99480443093815,63590,Mano cerrada
658.4356435643564,450578.4,667.9200758494778,2470,35.00657081177761,97.69101068522693,66502,Mano cerrada
574.2970297029703,343608.46,583.2721457772554,2637,34.240765178365976,85.00264679933343,58004,Mano cerrada
569.7920792079208,334119.05,575.1616647465819,1946,25.36335939894398,61.00794039800021,57549,Mano cerrada
626.7326732673267,413625.22,639.9452482768187,2853,38.52726307434775,106.91794922066464,63300,Mano cerrada
605.1485148514852,383681.8,616.3464693636442,2618,36.782876450870454,91.46867954122146,61120,Mano cerrada
676.3963963963964,522213.63636363635,719.380990163772,3278,38.61652966847699,197.1917863809755,75080,Mano cerrada
621.8514851485148,415760.29,641.594772021366,2720,36.31253227193058,142.9559847073816,62807,Mano cerrada
502.8712871287129,278863.12,525.4541835497182,2680,36.401648314327744,123.16557200274488,50790,Mano cerrada
469.2475247524753,238575.1,486.0174588397311,2674,34.47665877082639,95.63042838937358,47394,Mano cerrada
564.6435643564356,350500.63,589.0927997630537,2760,38.622273366543304,141.7688461915499,57029,Mano cerrada
508.1287128712871,288911.19,534.8370622613179,3010,44.36530175711645,134.054504460347,51321,Mano cerrada
448.36633663366337,223829.49,470.75827813820075,2554,37.324254848556585,115.60415645524954,45285,Mano cerrada
499.7029702970297,277289.44,523.9694647591595,2972,44.46729134993495,131.7782570336241,50470,Mano cerrada
471.0792079207921,245592.53,493.1134968666739,2561,34.474773385767165,129.34947554161363,47579,Mano cerrada
532.2376237623762,303646.12,548.3062308348112,2702,33.36345305869882,113.37810018625622,53756,Mano cerrada
535.9207920792079,330152.88,571.7377367324641,2757,40.702702612971535,170.64425056367017,54128,Mano cerrada
544.3168316831683,351394.08,589.8431407527507,2900,44.201357445218804,183.61474365258312,54976,Mano cerrada
498.6039603960396,273346.71,520.2310130419879,2697,36.62772174187196,133.33104597588473,50359,Mano cerrada
561.5049504950495,335184.44,576.0779306467293,3068,41.05240553244109,105.35143613371238,56712,Mano cerrada
449.81188118811883,206790.27,452.4851838283309,2044,26.863357943488747,41.06499362807567,45431,Mano cerrada
441.44,201271.05050505052,446.38362425160716,2030,27.904961363292884,49.42240000000002,44144,Mano cerrada
443.5,203535.21782178216,448.9318149895415,2267,29.299917210034085,54.1078431372549,45237,Mano cerrada
504.9504950495049,269213.3,516.2826956059812,2247,28.84597025582603,93.84315263209487,51000,Mano cerrada
641.9009900990098,457710.66,673.1856142900922,3959,56.19279313221581,174.41701793941766,64832,Mano cerrada
625.7128712871287,462199.91,676.4788786557395,3547,54.7199232455602,195.21144985785696,63197,Mano cerrada
660.5742574257425,486340.74,693.9203737811096,3357,45.755109004350544,184.63170277423777,66718,Mano cerrada
569.6633663366337,358530.14,595.8022630316734,2671,32.923699670602026,129.1375355357318,57536,Mano cerrada
528.0,291814.68,537.5178376040876,2202,31.020315923600776,77.38613861386139,53328,Mano cerrada
496.05940594059405,254884.66,502.3555011194269,2076,26.382949039104783,68.08097245368101,50102,Mano cerrada
668.4,495146.752293578,700.4608612776435,3528,47.381527775198705,165.33454545454535,73524,Mano cerrada
550.1980198019802,336411.78,577.1316750075581,3180,44.50235948800917,137.06264091755713,55570,Mano cerrada
467.91089108910893,229182.49,476.3542341951455,2543,32.97195778233377,70.12469365748456,47259,Mano cerrada
522.2871287128713,307583.43,551.8496620502276,3023,42.87341833817313,136.61288109008927,52751,Mano cerrada
577.1485148514852,364596.48,600.821615674225,3315,44.38254161266567,137.73355553377118,58292,Mano cerrada
548.6930693069307,320411.3,563.2396567102578,3078,39.045102125618776,105.36574845603374,55418,Mano cerrada
501.84158415841586,261544.36,508.87602800798953,2482,32.9444987820425,69.46475835702381,50686,Mano cerrada
490.6237623762376,250116.51,497.63451338396044,2374,31.60885951754666,65.87961964513285,49553,Mano cerrada
454.71287128712873,211554.74,457.6681533751954,2217,27.645433619315867,39.54886775806293,45926,Mano cerrada
480.5049504950495,254896.75,502.36741514749957,2666,38.55852694281772,114.49171649838253,48531,Mano cerrada
