Dato
322
328
335
340
319
321
320
326
322
326
324
327
327
322
325
322
333
325
328
315
317
328
312
349
315
326
321
334
338
326
322
351
339
346
327
325
320
331
329
322
316
324
328
325
326
334
353
327
324
325
324
327
323
319
325
305
323
327
314
318
325
335
314
320
315
333
334
324
334
331
331
342
335
346
337
349
348
360
356
343
353
336
335
330
332
334
345
337
347
354
352
334
341
349
354
345
351
330
338
344
329
