MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_corazon
419.64,243687.37373737374,491.17257659604735,3383,50.808314757378525,207.50159999999997,41964,Dedo corazon
521.4851485148515,387021.26,619.0229126103764,3895,64.80424368820302,290.1984119204001,52670,Dedo corazon
497.8712871287129,345354.93,584.7525752465103,3655,71.41771488923459,252.73247720811685,50285,Dedo corazon
384.3211009174312,197584.86111111112,442.46147398762616,3101,45.50203495652898,151.62073899503403,41891,Dedo corazon
630.940594059406,518344.65,716.3885291882299,4461,74.05396680799753,302.8216841486128,63725,Dedo corazon
480.1782178217822,285425.9,531.6012612758731,3459,54.48586972784779,179.43593765317132,48498,Dedo corazon
453.0990099009901,295242.35,540.665477366404,3886,68.17536211858358,238.83423193804524,45763,Dedo corazon
482.46078431372547,317451.49504950497,560.6596342614617,3567,62.35978330829434,219.65051903114178,49211,Dedo corazon
476.7821782178218,315452.47,558.864185842877,3430,55.4842319943243,224.60719537300258,48155,Dedo corazon
524.8019801980198,352485.39,590.7583563891113,4205,60.78593587335807,233.55886677776692,53005,Dedo corazon
439.56435643564356,254998.3,502.46747591902465,3928,67.14908785679818,182.47661993922165,44396,Dedo corazon
400.25742574257424,217240.84,463.7779000707768,3416,55.28616463456296,180.69404960298,40426,Dedo corazon
504.35643564356434,363620.5,600.0169139530176,4134,70.88342542513024,285.8519752965396,50940,Dedo corazon
434.2970297029703,243835.66,491.3465635827267,3379,50.119357537781745,188.10881286148424,43864,Dedo corazon
447.58415841584156,280366.56,526.8687250780279,3175,56.98482254074325,209.70081364572093,45206,Dedo corazon
531.9108910891089,367143.73,602.9167799658228,4529,73.6300889582513,229.63140868542297,53723,Dedo corazon
447.5247524752475,268677.52,515.7686947989897,3602,61.92172478217964,206.7179688265857,45200,Dedo corazon
399.029702970297,195539.78,440.0042529047389,3607,55.986694847972586,145.88510930300944,40302,Dedo corazon
469.73267326732673,283134.61,529.4632159363887,3586,61.46234619667557,201.82354671110681,47443,Dedo corazon
410.1188118811881,219710.9,466.4070588600214,2829,42.47858283888482,180.47113028134493,41422,Dedo corazon
468.980198019802,299993.65,544.9985466417173,3467,54.44621198944881,237.9151063621214,47367,Dedo corazon
428.6732673267327,218296.46,464.90333286705,3015,39.11610921346856,144.8467797274777,43296,Dedo corazon
408.3960396039604,226607.98,473.67112708467187,3396,57.345095692657104,177.47142437015984,41248,Dedo corazon
428.7029702970297,252690.67,500.18874655295656,3312,53.71982874135025,191.8457014018234,43299,Dedo corazon
539.0891089108911,400796.0,629.9426345091093,4016,69.18843834052045,279.75472992843834,54448,Dedo corazon
483.9504950495049,324524.73,566.8435532502651,3260,51.686942258175804,236.9204979903932,48879,Dedo corazon
433.3454545454546,251324.0366972477,499.03834795261247,3436,50.293268376957734,188.1080991735538,47668,Dedo corazon
541.4950495049505,414748.13,640.813321390315,4369,69.97821089453488,294.4985785707285,54691,Dedo corazon
501.8910891089109,343015.03,582.7682571864724,3684,59.514199986221776,243.97000294088812,50691,Dedo corazon
532.7227722772277,387458.53,619.3725106353147,4757,80.85944595407516,270.0788158023724,53805,Dedo corazon
431.2772277227723,246268.13,493.791283522875,3069,48.79661873531813,186.4205470051955,43559,Dedo corazon
447.980198019802,272355.72,519.2871351312983,3464,57.02210097848027,202.50642093912367,45246,Dedo corazon
453.980198019802,284102.36,530.3672928702662,3891,63.9194023751787,215.43672189001074,45852,Dedo corazon
510.35643564356434,341002.72,581.0563272571296,4280,64.8106472734226,240.26781688069795,51546,Dedo corazon
465.3267326732673,291788.6,537.4938176020223,3860,57.88073945623017,203.09263797666898,46998,Dedo corazon
409.3960396039604,220651.41,467.40426032959675,3315,51.5046599833452,165.0555827860014,41349,Dedo corazon
478.4752475247525,335828.38,576.6310315397997,3342,59.050148179322974,247.7053230075482,48326,Dedo corazon
517.940594059406,375584.8,609.8082802109705,3949,69.44602220429907,272.2356631702776,52312,Dedo corazon
522.2970297029703,388146.54,619.9221765274211,3694,72.28388478768971,290.4534849524556,52752,Dedo corazon
435.7920792079208,257696.67,505.11901352234025,3338,52.85943624368311,194.34133908440347,44015,Dedo corazon
534.7128712871287,374198.9,608.6821505482476,4326,64.6406992536436,247.67003234976963,54006,Dedo corazon
441.0,258755.41,506.15558403274065,3554,50.636745551032405,186.63366336633663,44541,Dedo corazon
443.6078431372549,259846.8514851485,507.2468169770347,3854,57.14528990578175,201.13687043444824,45248,Dedo corazon
502.83168316831683,333078.68,574.2655059178887,4019,59.81563340799794,232.62817370845988,50786,Dedo corazon
469.019801980198,310135.33,554.1341743371518,3404,70.1479864286923,226.46544456425832,47371,Dedo corazon
406.48514851485146,218335.31,464.944700214365,3004,46.12591462507817,166.27585530830308,41055,Dedo corazon
603.1287128712871,477983.96,687.9327332992336,4899,78.7439521487206,290.25193608469755,60916,Dedo corazon
422.4059405940594,209907.67,455.8830729887037,3077,39.502531564445334,136.83560435251445,42663,Dedo corazon
423.6831683168317,239809.18,487.2728513709422,3090,47.53693301002916,184.73639839231444,42792,Dedo corazon
435.74257425742576,269510.66,516.5677473708191,3983,67.72702562493055,219.10342123321254,44010,Dedo corazon
491.1980198019802,328376.27,570.1973516265926,3586,58.97117940146695,238.27467895304375,49611,Dedo corazon
483.44554455445547,313090.38,556.7678827370745,3947,61.207434188993744,216.28095284776,48828,Dedo corazon
426.54455445544556,257751.07,505.1723262490937,3309,53.45250228006169,206.69169689246152,43081,Dedo corazon
407.9504950495049,213888.03,460.18510051138475,3740,64.31702729448867,162.99872561513578,41203,Dedo corazon
556.059405940594,400201.92,629.4755950412019,4652,72.83886325307391,257.48005097539465,56162,Dedo corazon
457.6831683168317,285539.38,531.706928134045,3235,53.45979797941627,210.65091657680617,46226,Dedo corazon
549.980198019802,407532.48,635.2145345869338,3885,59.483022788019106,280.60856778747177,55548,Dedo corazon
477.2772277227723,318402.91,561.4716430422769,3732,54.476049783368104,229.52181158709925,48205,Dedo corazon
484.1078431372549,332161.71287128713,573.5025941442602,3429,66.10784767901974,239.1978085351788,49379,Dedo corazon
674.2475247524752,573034.99,753.2339452239415,4484,67.3677964609204,302.49230467601217,68099,Dedo corazon
455.4752475247525,262036.29,509.35436710322676,3250,47.49694727032465,176.33153612390936,46003,Dedo corazon
433.019801980198,249707.75,497.2277104502563,3286,52.28250185291442,191.4357415939613,43735,Dedo corazon
467.8217821782178,319379.44,562.3319903106462,3688,63.60188676446635,250.83854524066268,47250,Dedo corazon
560.1287128712871,431078.25,653.307085921201,3835,54.778554197788026,291.45534751494944,56573,Dedo corazon
457.1782178217822,286800.71,532.8800043254588,3101,49.82057807773812,209.4726007254192,46175,Dedo corazon
458.4059405940594,289767.13,535.6287413076817,3990,70.34386966893419,221.4896578766787,46299,Dedo corazon
570.4950495049505,429763.9,652.3103646893771,3795,57.05672615914796,266.2513479070679,57620,Dedo corazon
358.55445544554453,139322.26,371.4065584816298,2418,29.71598896217321,75.6641505734732,36214,Dedo corazon
449.58415841584156,296734.94,542.0304145498015,3181,66.53728278191107,225.51279286344473,45408,Dedo corazon
533.990099009901,385740.25,617.9976048529318,4027,62.32102373998681,266.2638956965003,53933,Dedo corazon
514.8712871287129,346872.3,586.0357675023591,4116,58.851847889424846,227.05695520047058,52002,Dedo corazon
463.5049504950495,306180.32,550.5895310330267,3158,54.684367053116745,226.452896774826,46814,Dedo corazon
581.6435643564356,449972.0,667.4704725178248,5231,80.22586864596731,293.08009018723646,58746,Dedo corazon
496.43564356435644,339122.1,579.4518577462192,3408,60.52156640405138,228.6581707675718,50140,Dedo corazon
518.4554455445544,347254.4,586.3584548923657,4651,67.98610152082556,237.5961180276444,52364,Dedo corazon
461.44554455445547,278467.9,525.0817003850048,3463,63.43650368675752,179.43397706107245,46606,Dedo corazon
419.019801980198,229767.69,476.9620135568845,3223,54.130859959915654,173.37633565336728,42321,Dedo corazon
442.0495049504951,258439.77,505.84677561099426,3605,70.79738695742944,169.79433388883436,44647,Dedo corazon
553.980198019802,424610.54,648.3875964633537,4223,75.1896934426521,283.45809234388776,55952,Dedo corazon
545.1089108910891,419683.6,644.6148593010272,3913,81.11627456928727,290.0739143221253,55056,Dedo corazon
544.2772277227723,375302.08,609.5787215953179,3977,62.02829999282586,224.49210861680223,54972,Dedo corazon
