Dato
431
435
423
454
443
458
469
464
439
428
439
423
426
423
444
463
449
440
421
418
418
421
433
426
441
452
442
436
418
424
408
405
414
416
440
454
439
433
430
420
418
409
419
441
461
451
427
425
412
402
407
413
427
438
423
418
425
432
394
391
401
432
425
441
422
419
416
412
416
393
412
422
403
420
397
405
411
399
390
398
405
384
418
408
399
401
408
404
405
402
441
439
440
449
439
444
434
438
431
419
429
428
427
403
411
410
435
449
474
456
433
