MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_abierta
266.34653465346537,72001.23,266.9987762793183,1849,23.570108188126756,15.314969120674446,26901,Mano_abierta
250.43564356435644,63558.32,250.85659190655187,1746,20.643643089338664,11.950985197529654,25294,Mano_abierta
249.6846846846847,63088.48181818182,250.04023099716795,1545,17.709011573464256,10.36750263777291,27715,Mano_abierta
251.52475247524754,64186.28,252.09278505587525,1965,24.367396249907376,13.371042054700519,25404,Mano_abierta
260.980198019802,69039.01,261.44876256265695,1689,20.41396580775034,12.29722576218018,26359,Mano_abierta
263.15841584158414,70229.51,263.6933224729661,1819,22.597123710773456,13.79315753357514,26579,Mano_abierta
253.93069306930693,65337.95,254.34433275376983,1529,19.333649422703413,12.003725124987746,25647,Mano_abierta
267.2277227722772,72402.68,267.7420807086145,1666,21.29835674412465,13.849230467601217,26990,Mano_abierta
250.54455445544554,63569.09,250.8778449152235,1335,17.52683656567836,10.215076953239878,25305,Mano_abierta
253.79207920792078,65290.65,254.25225253828543,1854,23.199137915017445,12.985589648073717,25633,Mano_abierta
268.26732673267327,72975.45,268.7990342097218,1654,20.621833090198358,13.17164983825115,27095,Mano_abierta
263.7227722772277,70551.24,264.29663802494184,1809,23.623505243718597,14.211743946671897,26636,Mano_abierta
268.61386138613864,73167.56,269.15261230920885,1655,21.730393461693232,13.494363297715905,27130,Mano_abierta
261.9504950495049,69527.71,262.3724772755008,1576,19.67993902429578,12.586609155965105,26457,Mano_abierta
277.0,77833.06603773584,277.6790489136829,2010,24.0223952115128,15.77570093457944,29639,Mano_abierta
266.28712871287127,71962.35,266.92667810683236,1505,18.490267710338863,14.960494069208895,26895,Mano_abierta
250.73267326732673,63743.6,251.22196410251385,1654,21.050890717496966,12.413880992059598,25324,Mano_abierta
250.990099009901,63779.68,251.29305207228072,1325,16.679628293220446,10.24781884129007,25350,Mano_abierta
258.43564356435644,67842.92,259.1740880581855,2051,25.554060342732228,15.362023331045977,26102,Mano_abierta
249.7128712871287,63209.87,250.1680029559542,1644,21.04518947408172,12.128614841682191,25221,Mano_abierta
253.77227722772278,65357.07,254.38154472569292,1798,24.06865181101758,13.833937849230468,25631,Mano_abierta
254.52475247524754,65642.57,254.9365481141463,1715,21.111371343425326,11.507695323987845,25707,Mano_abierta
254.86138613861385,65898.09,255.43224867539013,1680,21.655946065688287,13.98157043427115,25741,Mano_abierta
250.21782178217822,63485.66,250.71316102053936,1730,21.77291895911065,12.68228605038722,25272,Mano_abierta
262.3960396039604,69989.22,263.24182309379063,2194,26.017301935442884,17.128516812077248,26502,Mano_abierta
256.4059405940594,66729.89,257.0392927546331,1802,21.785775175558936,15.237917851191058,25897,Mano_abierta
254.54285714285714,65648.56730769231,254.99675067957799,1710,19.946081165135016,12.244897959183671,26727,Mano_abierta
252.78217821782178,64805.23,253.30533760544,1784,21.240998093310022,13.086952259582395,25531,Mano_abierta
265.64356435643566,71764.64,266.5597475424618,2253,28.1551061088393,17.843740809724537,26830,Mano_abierta
264.03960396039605,70805.2,264.7718988409487,2143,26.40208325113759,16.35525928830507,26668,Mano_abierta
251.92079207920793,64370.72,252.45472096717435,1917,23.94890394151682,13.30614645622978,25444,Mano_abierta
264.990099009901,71206.92,265.52194069435956,1734,21.145212224047317,13.21772375257327,26764,Mano_abierta
252.01980198019803,64409.46,252.5306765014053,1755,21.953815158190615,12.891677286540537,25454,Mano_abierta
258.05940594059405,67527.5,258.57090109114966,1782,22.351733713517618,13.426330751887068,26064,Mano_abierta
