MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
664.6435643564356,671779.49,815.5539270463922,4441,93.1414515669581,419.62611508675633,67129,Dedo anular
732.2376237623762,732514.76,851.6232374787934,5545,94.77019573684545,386.84148612881086,73956,Dedo anular
806.5643564356436,906358.15,947.3037036403337,4678,79.70922154932892,451.5727869816684,81463,Dedo anular
841.8613861386139,942104.82,965.803835934063,5924,94.46671371440841,432.1746887560041,85028,Dedo anular
600.8514851485148,559075.7,744.0028877831745,4663,99.13178097865487,361.76845407313004,60686,Dedo anular
787.7623762376238,868256.98,927.1787186069489,4408,76.43271550847844,446.940692089011,79564,Dedo anular
734.7920792079208,744691.42,858.6723691977996,5404,81.17610485851117,393.87177727673776,74214,Dedo anular
704.6930693069307,727628.98,848.778376652744,4893,89.38819832617726,417.28203117341445,71174,Dedo anular
772.1980198019802,819215.92,900.6136082067208,4557,72.11317494050584,415.54612292912464,77992,Dedo anular
686.1782178217821,685866.04,824.0602448417912,4776,87.13736282445092,390.17351240074487,69304,Dedo anular
834.4851485148515,941928.21,965.7133053441958,4366,75.26672571594968,450.1611606705227,84283,Dedo anular
786.9702970297029,840384.92,912.1755736850898,5306,93.39057768319029,416.7771787079697,79484,Dedo anular
773.4851485148515,831160.72,907.1556679757857,5418,97.83475864946976,433.63611410646024,78122,Dedo anular
715.2178217821782,745728.23,859.2699122966064,5024,95.2075627248172,432.31134202529165,72237,Dedo anular
648.7128712871287,602305.72,772.2320227947705,4407,74.48590470686383,356.13390844034893,65520,Dedo anular
834.4455445544554,903619.61,945.8714929566906,5083,84.3556162919814,405.31477306146473,84279,Dedo anular
840.4455445544554,947913.15,968.7764815926988,5612,94.88529917748059,444.4654445642586,84885,Dedo anular
653.1683168316831,646615.8,800.1335284603043,5017,101.89842982107233,384.5072051759632,65970,Dedo anular
767.4653465346535,838974.18,911.4096252237492,4568,81.08242719603305,443.39241250857776,77514,Dedo anular
691.2970297029703,724559.71,846.9863348869027,4733,85.62902545282178,433.14871091069523,69821,Dedo anular
710.039603960396,725463.94,847.5146775796106,4516,74.04296050267034,405.06087638466806,71714,Dedo anular
624.7920792079208,599839.92,770.6496680665535,4926,89.75020891340588,387.6647387511026,63104,Dedo anular
727.0693069306931,750713.48,862.1372705476355,4438,73.53883327875144,410.14724046662093,73434,Dedo anular
817.9702970297029,914654.07,951.6291762598029,5210,88.07428682651936,448.36368983433005,82615,Dedo anular
620.7326732673267,588921.0,763.6033649807346,3906,66.3112358503444,360.07038525634727,62694,Dedo anular
693.5841584158416,724230.12,846.7936730706455,4986,97.07110795700233,439.631408685423,70052,Dedo anular
609.6039603960396,503206.66,705.8501369565527,5073,71.2729261360862,296.4803450642094,61570,Dedo anular
803.8811881188119,886261.84,936.7427449930049,4990,73.8660950639737,430.23507499264764,81192,Dedo anular
810.1386138613861,888765.94,938.0651774944654,5323,91.44686982067785,431.30771492990897,81824,Dedo anular
714.7889908256881,748532.6851851852,861.1999842336487,5309,85.69913997580484,436.55853884353155,77912,Dedo anular
622.7326732673267,566584.96,748.9827821257255,4051,66.79124194084132,346.4374080972452,62896,Dedo anular
723.6831683168317,733681.62,852.3012645447351,5572,89.79019991068067,395.7298304087836,73092,Dedo anular
645.6435643564356,616205.86,781.0920636398683,4871,85.97144874898875,378.603470248015,65210,Dedo anular
689.7920792079208,696629.91,830.5014052717887,4508,78.64273647324335,402.56817959023635,69669,Dedo anular
793.059405940594,862849.87,924.2871858790417,5721,95.42520631363602,433.35535731790986,80099,Dedo anular
744.059405940594,822134.18,902.2162920407513,5069,93.8132719821668,462.23017351240094,75150,Dedo anular
732.0990099009902,762331.44,868.7828289972103,4658,71.86529064854605,408.79874522105666,73942,Dedo anular
