MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_Indice
343.04,131125.65656565657,360.29765472453465,1790,23.75463803729344,91.48800000000003,34304,Dedo indice
282.12,90754.14141414141,299.74422429798375,1182,20.268401042215462,75.7928,28212,Dedo indice
573.7692307692307,366761.25,581.8495047293983,533,57.6114861232839,67.97633136094676,7459,Dedo indice
462.4,218249.797979798,464.8303991780228,1245,16.793156374252607,39.19999999999999,46240,Dedo indice
494.66,248480.56565656565,495.9795963545275,1351,17.068193586997786,28.313599999999994,49466,Dedo indice
500.9,257271.0707070707,504.67649043719086,1148,15.066854383384111,53.16600000000001,50090,Dedo indice
672.11,462580.63636363635,676.7235994111628,1919,25.070607362713684,64.89239999999998,67211,Dedo indice
563.8,322604.9494949495,565.1361782791826,1356,17.668667696853042,31.752000000000017,56380,Dedo indice
500.14,254155.51515151514,501.6113635076462,1308,16.60534172299305,30.991199999999996,50014,Dedo indice
497.83,252045.52525252526,499.5248442269914,1226,15.493889313552168,33.8628,49783,Dedo indice
509.87,266660.8787878788,513.8037271176612,1368,18.866891528802405,42.5624,50987,Dedo indice
485.07,239346.55555555556,486.7782760148608,1215,15.246460095856529,35.671400000000006,48507,Dedo indice
481.54,234627.898989899,481.9560353393243,1198,15.68760689528553,15.112400000000003,48154,Dedo indice
520.61,274777.8686868687,521.5650390890862,1319,16.012305873731595,25.2866,52061,Dedo indice
496.14,251688.94949494948,499.17137337792116,1440,18.280087969197965,47.1,49614,Dedo indice
482.49,236822.77777777778,484.2050701923721,1360,17.28840330651992,33.57939999999999,48249,Dedo indice
472.18,226144.84848484848,473.1631853811114,1302,15.774932166208666,24.021999999999988,47218,Dedo indice
467.63,227310.7373737374,474.3813128697209,1508,20.16647883709173,68.896,46763,Dedo indice
489.59,245337.94949494948,492.8332070792308,1381,19.32471072084766,39.449000000000005,48959,Dedo indice
458.36,214355.87878787878,460.66508441599956,1292,16.442123778375905,35.32240000000001,45836,Dedo indice
468.68,223983.05050505052,470.89618813492217,1315,17.07529374756571,38.1808,46868,Dedo indice
469.41,225571.72727272726,472.5632338639984,1531,20.568437132184012,38.4366,46941,Dedo indice
433.78,191393.77777777778,435.2928209837603,1366,18.059385763126446,26.287199999999995,43378,Dedo indice
471.02,225545.49494949495,472.53575526091146,1398,18.214213564070665,29.803199999999997,47102,Dedo indice
406.32,167956.94949494948,407.7712348854441,1209,15.198019541367815,27.558400000000006,40632,Dedo indice
449.68,208880.46464646465,454.7435101241138,1730,21.826219058367357,52.44239999999999,44968,Dedo indice
433.0,191243.85858585857,435.122304645487,1270,15.66118537252935,32.04,43300,Dedo indice
448.25,207163.38383838383,452.87056649775775,1438,20.168983087599603,45.465,44825,Dedo indice
545.49,308999.16161616164,553.0905622047803,1617,21.95978877931942,74.85900000000001,54549,Dedo indice
483.34,242573.85858585857,490.0490995808481,1522,20.795784343579026,65.3688,48334,Dedo indice
495.74,251054.42424242425,498.5417535171954,1604,21.457969252574774,42.88719999999999,49574,Dedo indice
442.57,198809.8282828283,443.64595118179545,1344,18.0,24.0182,44257,Dedo indice
484.52,240594.32323232322,488.04546919318904,1550,21.00216439062672,47.60319999999998,48452,Dedo indice
488.21,242013.94949494948,489.4832070663916,1349,17.853217461773486,29.455199999999994,48821,Dedo indice
474.54,229230.72727272726,476.38054116430914,1534,19.661273014880205,32.4972,47454,Dedo indice
453.51,208782.0303030303,454.63634918470825,1351,17.770989865735697,26.371600000000008,45351,Dedo indice
451.48,207738.44444444444,453.4986879804615,1450,19.225929460922394,29.24160000000001,45148,Dedo indice
465.6,221115.19191919192,467.87182005331334,1522,19.588700102793236,35.028,46560,Dedo indice
453.22,211878.0202020202,457.99480346396945,1753,22.650841177770992,46.50160000000002,45322,Dedo indice
472.81,228138.41414141413,475.24417934362964,1494,19.342213216723987,39.9244,47281,Dedo indice
461.71,219676.31313131313,466.3470274377226,1623,22.599052451754957,44.6436,46171,Dedo indice
