MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_pinza
333.83,118438.85858585859,342.4244004156246,1458,20.868515747291408,56.119800000000005,33383,Mano pinza
349.89,138091.0202020202,369.7433028467182,1223,16.567279422848745,99.20779999999996,34989,Mano pinza
380.69,164790.87878787878,403.9096062239669,1679,23.427299969018705,111.79280000000003,38069,Mano pinza
383.5,185397.11111111112,428.41935063673304,1390,21.679017458819438,184.76,38350,Mano pinza
330.9,130448.72727272728,359.3664425068095,1609,22.667780721285503,117.22200000000001,33090,Mano pinza
322.3,132033.69696969696,361.54302648509207,1239,16.910638573681865,147.09799999999996,32230,Mano pinza
450.16,234898.58585858587,482.23396811091607,1477,21.055722128282238,161.7904,45016,Mano pinza
410.74,208252.202020202,454.0591150940591,1508,21.933784650417927,186.32080000000008,41074,Mano pinza
310.83,113962.47474747474,335.89112819483637,1465,22.002525107612332,98.3884,31083,Mano pinza
389.52,178973.91919191918,420.9325124054924,1241,16.566669715260982,151.984,38952,Mano pinza
430.2,214511.77777777778,460.8325726334891,1643,24.129072116683666,159.18400000000003,43020,Mano pinza
428.71,209155.9898989899,455.0433276073829,1376,20.359397105637743,145.4062,42871,Mano pinza
332.6,135064.0,365.6683743503121,1423,18.96061841040662,125.82799999999999,33260,Mano pinza
456.23,233097.08080808082,480.38121320467974,1573,22.62138971697523,138.28699999999998,45623,Mano pinza
297.05,111702.83838383839,332.5444481569343,1426,21.886299390488585,124.07000000000004,29705,Mano pinza
400.51,188593.80808080808,432.0970608555443,1576,24.292826392608458,148.99120000000002,40051,Mano pinza
445.75,231039.64646464647,478.25646885327126,1351,19.04460473984613,168.775,44575,Mano pinza
276.77,85797.76767676767,291.4443171516645,1734,24.829112921827242,65.29639999999998,27677,Mano pinza
486.84,261792.0202020202,509.0914456166004,1525,20.071840669923322,143.66240000000002,48684,Mano pinza
426.24,215797.69696969696,462.2117696467713,1681,25.179156042049918,167.5144,42624,Mano pinza
443.48,210848.101010101,456.88031255461203,2294,32.60290623471311,92.948,44348,Mano pinza
497.73,269210.6767676768,516.2543655989749,1904,26.52424086633496,122.0002,49773,Mano pinza
503.51,267388.0505050505,514.5038095097061,1756,27.036077654672745,99.01,50351,Mano pinza
445.18,213734.32323232322,459.99671737959176,1909,26.276886183007825,108.61080000000001,44518,Mano pinza
503.29,273842.0909090909,520.676166153205,1654,22.83095541698869,120.42040000000004,50329,Mano pinza
405.85,184810.0707070707,427.74054051492476,1644,23.50757453686068,122.478,40585,Mano pinza
421.06,191244.54545454544,435.1230860342853,1611,21.90728858004324,100.35319999999996,42106,Mano pinza
464.56,232387.49494949495,479.6494761802623,1668,25.323363269374926,111.13039999999997,46456,Mano pinza
394.0,171889.59595959596,412.51751477967576,1813,25.67571662568397,107.76,39400,Mano pinza
389.87,177364.75757575757,419.03592924712314,1745,22.880674214831444,135.5596,38987,Mano pinza
444.29,222399.0606060606,469.2281641163497,1421,19.71898536533723,147.28419999999997,44429,Mano pinza
323.09,118326.71717171717,342.26225325034017,1589,21.777339719362537,87.43519999999997,32309,Mano pinza
425.1,207396.84848484848,453.12567793052733,1607,23.681173530844703,140.736,42510,Mano pinza
279.11,93019.28282828283,303.46184274138983,1550,22.138681354615773,86.53380000000001,27911,Mano pinza
435.78,208273.37373737374,454.08219520258666,1720,24.32731349364705,120.60880000000003,43578,Mano pinza
352.99,139943.72727272726,372.2153811974997,1838,24.605575454240924,108.1302,35299,Mano pinza
265.99,77069.38383838384,276.2221750692728,1321,16.820802416632624,53.826400000000014,26599,Mano pinza
478.84,247249.19191919192,494.7491283468825,1674,23.086573998536444,112.8352,47884,Mano pinza
361.76,145143.71717171717,379.0676456781824,1535,22.665106898205238,89.112,36176,Mano pinza
320.65,118135.44444444444,341.9855113890061,1472,19.770910168449223,94.24799999999999,32065,Mano pinza
392.36,180690.08080808082,422.94583577569364,1793,25.52301397610091,140.6336,39236,Mano pinza
347.6,126812.9494949495,354.3230446922695,2041,29.478463290677112,56.49199999999999,34760,Mano pinza
461.32,238412.72727272726,485.8277472520482,1478,19.684378259796457,142.69439999999997,46132,Mano pinza
384.06,175963.75757575757,417.3776707012487,1269,21.99426004091692,159.06720000000004,38406,Mano pinza
330.41,125965.24242424243,353.13678652895965,1613,20.404742962202082,100.35400000000003,33041,Mano pinza
434.72,209164.38383838383,455.05245851440026,1831,27.258026340878022,122.88319999999997,43472,Mano pinza
413.84,190096.32323232322,433.8148913995461,2570,35.407012944564606,117.73920000000004,41384,Mano pinza
282.68,99882.56565656565,314.45785091169216,1905,27.112001144522807,107.47999999999998,28268,Mano pinza
392.68,170866.72727272726,411.2882930500211,1724,25.03331114069145,105.34080000000002,39268,Mano pinza
433.26,209958.48484848486,455.91545268832465,1751,24.951468044501063,132.7,43326,Mano pinza
439.34,219799.71717171717,466.47799519377116,1704,25.1657134075935,146.7936,43934,Mano pinza
329.9,129267.67676767676,357.7359361316668,1523,23.12744663551919,111.14400000000002,32990,Mano pinza
341.97,148971.0,384.0329282756884,1260,17.302419986052165,153.70039999999997,34197,Mano pinza
483.64,256708.80808080808,504.1247067938647,1676,23.892435724481604,119.58240000000002,48364,Mano pinza
261.22,76215.61616161616,274.68793202468873,1450,20.253444650281597,51.4816,26122,Mano pinza
459.7,233186.70707070708,480.47355806537365,1501,20.431951606849662,128.01800000000006,45970,Mano pinza
442.85,222082.45454545456,468.8940498662784,1963,31.98247626245954,142.447,44285,Mano pinza
436.49,210094.87878787878,456.06351531338265,1345,21.164817385214903,118.85700000000001,43649,Mano pinza
294.28,107766.42424242424,326.63245399072025,1399,20.311463648776165,114.04880000000001,29428,Mano pinza
491.97,261654.57575757575,508.9577880335461,1616,24.026500520731837,122.69479999999996,49197,Mano pinza
407.02,191241.15151515152,435.1192250406778,1477,20.188255411641112,144.7232,40702,Mano pinza
307.04,106423.9797979798,324.59165115572523,1409,17.978943913434524,82.008,30704,Mano pinza
518.75,279178.75757575757,525.725184863727,1569,22.12339134139349,77.15,51875,Mano pinza
689.72,487367.8787878788,694.6180245285894,1434,18.199789098567138,70.97760000000001,68972,Mano pinza
486.14,243636.34343434343,491.12114595077253,1276,17.010988724167017,57.66239999999998,48614,Mano pinza
521.35,285115.38383838383,531.2854505818882,1164,15.469748909181794,90.281,52135,Mano pinza
470.43,236401.46464646465,483.7741725226761,1602,23.103194059644128,97.90679999999999,47043,Mano pinza
395.04,174045.0303030303,415.095868444869,1945,28.479480474208234,115.47039999999997,39504,Mano pinza
311.68,106735.59595959596,325.066516270132,1717,22.858148426654104,73.20480000000002,31168,Mano pinza
424.12,204830.50505050505,450.3134463904004,1748,24.711261899111197,139.508,42412,Mano pinza
458.81,250321.44444444444,497.8134489947012,1400,21.034363419044666,184.94799999999995,45881,Mano pinza
434.17,193908.69696969696,438.1433669473954,1386,18.78587477093071,48.184,43417,Mano pinza
