MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
495.38,260018.15037593985,509.2819503968308,8130,33.20499101899335,91.7234,198152,Dedo anular
621.8453865336659,414964.46,643.3736363189157,8100,31.13759785211441,144.2512049054421,249360,Dedo anular
430.01745635910225,193141.7175,438.9305951191724,7629,29.05645367211904,62.731649678795534,172437,Dedo anular
450.48877805486285,217483.34,465.76924279214927,8940,34.172137773338086,91.48291366347225,180646,Dedo anular
646.4962593516209,458029.2125,675.9341647027977,7145,29.036313471238046,163.47497838943787,259245,Dedo anular
692.3890274314215,506633.72,710.8940105700281,6729,22.795887787054927,116.8826562023868,277648,Dedo anular
582.8179551122195,377110.76,613.3272651403886,6886,27.16606338798465,155.27427068239626,233710,Dedo anular
527.7306733167082,291376.13,539.1191948302471,7165,26.41405875665457,93.09656034477399,211620,Dedo anular
692.0,503398.46,708.6205629562191,6521,22.60934541290393,118.9426433915212,277492,Dedo anular
533.7331670822942,309217.5875,555.3795740947769,7687,27.847576196143173,134.77752004029827,214027,Dedo anular
621.2269326683291,401805.545,633.0904644358505,6775,23.48419681402794,98.70127673335365,249112,Dedo anular
617.9775561097257,420241.6025,647.4516340653295,6507,26.339656413856275,158.59753359742786,247809,Dedo anular
513.8304239401497,284709.22,532.9157737815021,7304,30.5551141382257,103.01421011063364,206046,Dedo anular
657.0673316708229,462569.675,679.2761843781524,6963,27.41345472573641,144.23108065248348,263484,Dedo anular
611.5361596009975,412166.115,641.2006466985847,7928,28.968258490975945,165.81863296870046,245226,Dedo anular
540.1047381546134,300667.83,547.6477288483156,7595,29.11232556839113,71.4288717109968,216582,Dedo anular
597.3865336658354,379191.69,615.0171337556113,7410,26.3156797366133,125.12929645959912,239552,Dedo anular
615.6284289276808,413094.8125,641.9226206271422,7693,28.296156982883737,152.76904994371927,246867,Dedo anular
515.8977556109726,272775.0375,521.62707032779,7631,29.547546429441482,58.34581874490831,206875,Dedo anular
