MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_corazon
520.5561097256858,290215.2425,538.044155916325,8493,33.31197232227476,112.00278605232553,208743,Dedo corazon
392.14463840399003,165714.37,406.57240094106555,7073,27.893682080356477,70.51259631469954,157250,Dedo corazon
480.8877805486284,250445.185,499.8206012325411,7669,28.0492869784599,108.41435065702328,192836,Dedo corazon
449.788029925187,214182.4875,462.2211230391155,7854,26.813336234045924,76.29627925199468,180365,Dedo corazon
428.05486284289276,191301.14,436.8341559453642,6871,26.23418571253928,58.25473722178345,171650,Dedo corazon
425.0947630922693,188113.6475,433.1795657225777,6870,23.701160309149422,64.6183294880007,170463,Dedo corazon
452.80299251870326,210084.245,457.7776142841094,7016,23.872997298202836,50.02950230409015,181574,Dedo corazon
413.60598503740647,177879.685,421.23164026826413,7873,27.778633875696624,58.7936766562397,165856,Dedo corazon
400.3466334164589,163889.9575,404.32815183225836,6834,22.08630797575729,41.426794609486265,160539,Dedo corazon
365.9975,137659.29573934837,370.5605854647793,6273,20.336825370873733,44.06184999999999,146399,Dedo corazon
386.3690773067332,153935.105,391.8561304007739,6859,22.160719753654213,46.37440065671234,154934,Dedo corazon
383.28179551122196,152444.4,389.9541503837294,6626,24.968480129955847,53.18323891020578,153696,Dedo corazon
412.1695760598504,173028.22,415.44762387038764,6338,20.964016790682077,40.64594125658423,165280,Dedo corazon
423.09226932668327,187302.105,432.2441641669198,7202,26.499245272271434,60.89870087872586,169660,Dedo corazon
449.43142144638404,221015.615,469.5364244287515,8536,34.2190736286066,102.14646675082867,180222,Dedo corazon
388.7356608478803,156131.7825,394.6421498445335,6633,22.448440925819327,49.696083979577246,155883,Dedo corazon
403.8079800498753,170074.9075,411.8868540614381,7169,24.95851558085937,58.39917662203594,161927,Dedo corazon
420.8902743142145,183968.8125,428.3807154932208,7378,26.1282414257064,58.32836860467286,168777,Dedo corazon
443.2917705735661,206118.83,453.4366746913093,7621,26.36773596651787,75.3236733602403,177760,Dedo corazon
410.5586034912718,178745.955,422.2560887527592,8041,29.70492383427367,70.22823241148998,164634,Dedo corazon
403.6209476309227,170986.175,412.9888322474317,6578,23.230045200128217,64.10905404817133,161852,Dedo corazon
384.6384039900249,154851.98,393.0213931344535,6914,26.003365166839462,53.04837656482236,154240,Dedo corazon
387.3067331670823,157281.3,396.0922585796561,6982,25.101294787321233,58.639361695511845,155310,Dedo corazon
389.79052369077306,161008.975,400.7586011043334,7840,28.891175123210203,67.62709187131921,156306,Dedo corazon
393.5925,162157.1403508772,402.1837235642437,6969,24.905082973054654,64.49655,157437,Dedo corazon
409.33416458852867,174286.0475,416.95493635717816,7092,26.13446000972662,56.684361415662835,164143,Dedo corazon
413.3142144638404,176733.9925,419.87290857070184,6615,22.408313189528567,53.595500027984905,165739,Dedo corazon
455.211970074813,221223.12,469.7567896225756,7715,28.782937654103343,95.55425650337997,182540,Dedo corazon
438.1920199501247,197864.5175,444.2646618577277,6714,24.163091689599657,55.693310364985294,175715,Dedo corazon
418.00997506234415,181820.01,425.8715692743641,7226,26.727420376833976,60.202212672806766,167622,Dedo corazon
407.06982543640896,170013.1075,411.81201374333614,6658,23.571805191796408,46.02361925609915,163235,Dedo corazon
400.8354114713217,165049.1175,405.75549742520195,6336,21.1155156224043,45.584666762022636,160735,Dedo corazon
422.23192019950125,186653.8775,431.49554630817516,7457,27.111943862438192,68.04493753148301,169315,Dedo corazon
402.359102244389,167373.04,408.6020691000205,6680,23.418689117881897,49.32071317964441,161346,Dedo corazon
416.3790523690773,182020.89,426.10676193716824,7194,26.893214757629853,62.375457864068004,166968,Dedo corazon
430.8678304239402,190953.46,436.43701359178704,6614,22.384704599346403,53.76961586059789,172778,Dedo corazon
444.5785536159601,205739.22,453.0189340562559,6725,25.42828149914972,61.33271559256473,178276,Dedo corazon
434.788029925187,197713.885,444.0955222896373,6993,25.370110366334632,63.12087611395451,174350,Dedo corazon
429.3615960099751,191658.445,437.24191675271254,7185,25.626207288633253,58.486514387348336,172174,Dedo corazon
439.03990024937656,201552.4125,448.3857580587559,7672,28.792967891483503,62.64126466875206,176055,Dedo corazon
417.0074812967581,180760.77,424.62924417951814,6316,22.55748212899658,57.15210726301453,167220,Dedo corazon
429.54862842892766,195485.7375,441.5860526502868,7408,29.080577710905263,71.50431900299128,172249,Dedo corazon
409.61346633416457,175677.8275,418.61644518526873,7189,26.30537017416786,62.685331558883334,164255,Dedo corazon
428.8802992518703,191703.1375,437.29289362276126,7702,27.820496041587756,64.83332815094435,171981,Dedo corazon
445.3291770573566,212434.6725,460.3313048494952,7637,29.497245634126585,82.91021822003596,178577,Dedo corazon
436.75311720698255,201031.0,447.805399487851,7721,29.86088578726358,69.26742992891836,175138,Dedo corazon
415.79052369077306,183916.89,428.3202591391486,8076,30.554214111968253,72.83882562919385,166732,Dedo corazon
429.4912718204489,193565.375,439.411729849326,7217,26.238854776838107,66.24506066504561,172226,Dedo corazon
416.5935162094763,179732.415,423.4196552933957,7517,26.64915570895258,57.39199383088415,167054,Dedo corazon
410.1321695760598,175835.1225,418.8038095847425,6883,26.326270149795242,58.735181995136834,164463,Dedo corazon
415.6209476309227,181659.69,425.68377149793747,7224,26.222414076510958,69.72051168836015,166664,Dedo corazon
394.7281795511222,161969.56,401.95229304643453,7429,27.257521897634053,52.784721488050444,158286,Dedo corazon
402.40149625935163,167085.8425,408.25135587779727,6664,22.589267363064256,52.5404070870206,161363,Dedo corazon
406.65087281795513,172527.2875,414.8458085696185,7137,25.467282933206675,63.18792793577155,163067,Dedo corazon
399.25187032418955,165091.285,405.8073262459818,7309,25.014645710063533,51.97394294811601,160100,Dedo corazon
417.8703241895262,180674.93,424.5284078566554,6520,22.42086082201127,55.24784049850437,167566,Dedo corazon
420.46633416458855,185881.1875,430.6014902337441,7574,27.029613389761977,69.1490102673491,168607,Dedo corazon
399.4039900249377,163689.7725,404.0811410825227,6385,22.02924192976236,44.97774267572964,160161,Dedo corazon
375.211970074813,144001.075,379.0012797799144,6153,20.926836836942176,39.75044931312616,150460,Dedo corazon
398.8428927680798,164882.99,405.5512427225633,6706,24.10082986123092,52.1160440544524,159936,Dedo corazon
410.46134663341644,172647.6275,414.99046349046375,6551,22.90180123920387,46.027387889378794,164595,Dedo corazon
415.09226932668327,176393.005,419.4676652550393,6046,20.607522898203946,44.62278219662813,166452,Dedo corazon
439.2793017456359,199356.5425,445.9365358601632,7289,25.026835597014657,58.951747812513595,176151,Dedo corazon
399.99750623441395,163166.5375,403.43480068530283,6565,21.963663173523674,40.974658117797766,160399,Dedo corazon
440.0798004987531,202595.84,449.5448959406993,7197,24.34250397966487,67.00343903333935,176472,Dedo corazon
409.48129675810475,174692.8,417.44120197607697,7193,26.28169515080791,57.720636065696105,164202,Dedo corazon
428.94513715710724,191641.6075,437.22271013107735,7439,25.6164497930529,65.39157094794187,172007,Dedo corazon
439.498753117207,196823.5675,443.0944996959993,6517,22.28446768491453,42.16060845392753,176239,Dedo corazon
431.57605985037407,195662.63,441.78580020959583,7262,27.193657348727477,63.66867121473125,173062,Dedo corazon
431.76059850374065,196452.46,442.6765790235125,7545,27.555988459861133,69.00289177306112,173136,Dedo corazon
448.498753117207,209552.9,457.1983422865028,8083,28.947841024850195,66.81633820685195,179848,Dedo corazon
451.79551122194516,214543.82,462.6108494242083,7605,29.806165469580282,68.31792090845207,181170,Dedo corazon
445.09725685785537,206981.865,454.38496976476864,7697,27.725394496742513,69.45120988053557,178484,Dedo corazon
460.3441396508728,224952.14,473.69944278494046,8282,31.34804619111054,83.91373187977689,184598,Dedo corazon
441.5935162094763,207127.2625,454.54453649873284,8237,31.301078256187918,79.17736829994838,177079,Dedo corazon
455.0573566084788,217034.75,465.288637524576,8175,28.704311522835727,75.71429282156205,182478,Dedo corazon
489.7281795511222,257456.9375,506.76907980793044,9208,36.69952315766514,96.55708608777307,196381,Dedo corazon
492.9650872817955,261458.7675,510.69242271982205,9082,36.470741697969345,100.351987860772,197679,Dedo corazon
450.785536159601,217612.7125,465.9077563278849,8362,32.62276812289233,81.32606140509077,180765,Dedo corazon
454.1097256857855,220163.22,468.63011484394957,8552,34.146961797501106,85.25286534287723,182098,Dedo corazon
450.7281795511222,215518.825,463.6608367881337,7942,29.658304064797772,81.12983128214377,180742,Dedo corazon
490.43890274314214,261264.67,510.50282776602444,9474,39.43069870037811,108.75502018022274,196666,Dedo corazon
493.2269326683292,260903.965,510.1503030194366,8390,34.3415928576413,104.25483672365222,197784,Dedo corazon
488.61346633416457,250780.12,500.1547092321358,8117,33.28269069651671,79.294606376826,195934,Dedo corazon
478.82044887780546,241697.1775,491.01368758570135,8629,30.96074127019571,83.32199426620481,192007,Dedo corazon
491.6209476309227,258270.5,507.5691420045273,9762,35.983329473521486,99.74733987972712,197140,Dedo corazon
462.8653366583541,223823.7025,472.50982916058643,7988,28.91349166046882,74.44219874254514,185609,Dedo corazon
434.7930174563591,198958.35,445.4909589584459,7622,27.351051168099556,64.95044185048602,174352,Dedo corazon
428.0423940149626,192047.8775,437.6859091999872,7909,27.51949309126169,71.30367348461763,171645,Dedo corazon
462.3690773067332,224464.27,473.18549082593347,9120,33.534608988327264,76.21011063364034,185410,Dedo corazon
452.3790523690773,213445.52,461.4252235278547,8594,31.188218929589425,69.31070080409948,181404,Dedo corazon
463.07730673316706,225159.75,473.9179827397245,8426,31.395939227868308,78.64964770119587,185694,Dedo corazon
483.0523690773067,255754.7,505.0909895560139,9677,38.196171274095,114.13167828558278,193704,Dedo corazon
535.5486284289277,305846.3325,552.3437547772189,7959,29.110350392944433,111.77440438803241,214755,Dedo corazon
884.857855361596,806678.525,897.0322501757457,4971,20.290699840074517,138.50648938750382,354828,Dedo corazon
781.3042394014963,651707.6525,806.276904285395,7152,27.041079860094346,178.23496122536554,313303,Dedo corazon
868.147132169576,791984.9725,888.8250376935399,5910,21.270754570536514,163.17740561314918,348127,Dedo corazon
547.8279301745636,319577.9075,564.6069031744294,9663,35.3586976570122,106.68046840504722,219679,Dedo corazon
517.5187032418953,280734.7525,529.1830173346566,8936,32.26739840768078,89.8487322840032,207525,Dedo corazon
274.8275,121341.24561403508,347.9050049941794,5807,32.93918600902796,160.22746249999997,109931,Dedo corazon
402.2568578553616,219060.0575,467.45456791792253,10168,43.66972635590931,198.99884950964235,161305,Dedo corazon
333.28927680798006,144347.4325,379.45680102008845,8294,35.31479859775502,151.92191590848316,133649,Dedo corazon
371.95261845386534,187280.7475,432.2195197083973,9358,39.58888732965351,183.1764105944615,149153,Dedo corazon
354.713216957606,166756.29,407.8485489771211,8610,39.47404210364072,160.05920361191784,142240,Dedo corazon
371.2294264339152,197011.2825,443.3057438649322,9521,44.52670546986381,194.42865405065888,148863,Dedo corazon
354.5810473815461,164756.6975,405.39589652302317,8581,36.72529782043979,155.74006380557336,142187,Dedo corazon
378.6334164588529,183172.28,427.4523263146669,9672,39.254426501988284,162.68239625375463,151832,Dedo corazon
363.00498753117205,174269.8675,416.9355817170629,8927,40.40052598667498,160.96414823290897,145565,Dedo corazon
400.98254364089775,220626.425,469.1228351018154,9782,46.55244354488817,194.75008239998508,160794,Dedo corazon
361.1296758104738,176575.9275,419.6851063936845,9333,43.406825500144556,171.89033650288246,144813,Dedo corazon
311.8952618453865,123174.395,350.52421732694637,6688,31.47093897550564,124.80791786120734,125070,Dedo corazon
640.0623441396509,433403.4875,657.5124947847037,4745,22.66666053921486,109.40826238642794,256665,Dedo corazon
667.4314214463841,478357.56,690.7710535184956,6069,27.20261935917201,126.71199805971355,267640,Dedo corazon
406.3516209476309,196845.2875,443.1189473451337,8122,36.944688386830386,139.70421825734914,162947,Dedo corazon
424.6708229426434,222264.9925,470.8616736481354,8168,37.371379423296645,162.82450979782467,170293,Dedo corazon
310.00249376558605,132686.0175,363.80644534671245,8250,40.06232644268178,142.766686774336,124311,Dedo corazon
340.3216957605985,149853.1575,386.62573485590406,8075,34.95557895386658,148.17741183201596,136469,Dedo corazon
349.70324189526184,145194.7725,380.5689041068218,7034,30.548404213641014,113.19731842463668,140231,Dedo corazon
306.5062344139651,114315.1375,337.68337587766985,6865,32.846651275282234,115.4097051635251,122909,Dedo corazon
313.28927680798006,123836.5625,351.4651378759274,7321,32.31419966516268,129.60926859907588,125629,Dedo corazon
380.5586034912718,197863.21,444.2631939922095,9348,43.331224307651404,187.5700524250471,152604,Dedo corazon
401.4214463840399,210780.085,458.5351119356134,7562,36.37691575711168,191.32271565475338,160970,Dedo corazon
383.4139650872818,176775.8225,419.9225941020636,7396,34.08078637590395,137.00100123755448,153749,Dedo corazon
349.4713216957606,159941.015,399.4272895046075,7632,42.79041948847896,143.70587247591743,140138,Dedo corazon
430.571072319202,236497.3675,485.703200013898,9127,43.86784129633005,188.68214749908273,172659,Dedo corazon
306.8628428927681,124716.3,352.7113363404165,8034,42.176000284522004,130.1219892911114,123052,Dedo corazon
298.5162094763092,111929.4925,334.1412374783172,6690,31.273551125511794,117.1211746195608,119705,Dedo corazon
305.14463840399003,124773.6025,352.792355903639,7146,33.223560916915574,140.5055689952177,122363,Dedo corazon
305.16708229426433,116923.095,341.5135666550837,6064,29.610977694091762,121.87007543485424,122372,Dedo corazon
300.0798004987531,118705.135,344.10625135189184,6860,32.94859632822011,129.0036007238761,120332,Dedo corazon
409.3715710723192,205001.345,452.2058377561574,6056,27.167995877502634,169.42260309326437,164158,Dedo corazon
315.8678304239402,123818.8625,351.44001946533564,6483,31.291252771341707,115.91500052860367,126663,Dedo corazon
269.8503740648379,93596.54,305.55381223211083,5802,28.78558667111025,103.59378362074862,108210,Dedo corazon
