MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_pinza
371.25436408977555,169075.0075,410.6742919453784,5755,20.62140877825761,161.56851014608117,148873,Mano pinza
385.06733167082297,177336.065,420.5874824860342,5899,21.286087005365737,159.53129644716142,154412,Mano pinza
379.1695760598504,171396.7875,413.48441819465893,5843,20.93400343938063,149.69763869627678,152047,Mano pinza
402.30423940149626,190171.675,435.5426861071672,6265,22.24179624041188,155.30422074489587,161324,Mano pinza
468.07730673316706,239312.0425,488.5849510208944,7684,27.873374392060963,125.16516688329052,187699,Mano pinza
443.6907730673317,214113.49,462.14666627287505,6845,23.585429824364024,119.91243835548286,177920,Mano pinza
423.5960099750623,199870.375,446.5108566845347,6721,23.505159008183714,129.42426974956624,169862,Mano pinza
365.573566084788,155392.4375,393.70664864468876,6529,23.050976118160374,130.13580761313676,146595,Mano pinza
365.4214463840399,151657.43,388.94630981691995,6461,22.052947648783825,116.83888781786183,146534,Mano pinza
380.1197007481297,164490.735,405.0685542791929,6818,23.872787855631774,119.75404381813546,152428,Mano pinza
390.4214463840399,173708.2925,416.26326373841187,7329,26.816459497853177,133.38644660170024,156559,Mano pinza
386.8977556109726,173681.855,416.23158597958695,7159,25.528954150140972,138.8234277150018,155146,Mano pinza
354.77556109725685,152139.0275,389.56338178649145,5956,21.229460662014002,144.64060546887146,142265,Mano pinza
408.1845386533666,191656.04,437.2391734086646,6315,24.208211416789965,139.14213220067037,163682,Mano pinza
431.6907730673317,208520.62,456.0708480640539,6113,21.13202545900416,133.7555612216342,173108,Mano pinza
541.4763092269327,310337.525,556.3844138364227,5506,18.5927405188154,105.10021703845125,217132,Mano pinza
397.8653366583541,182981.415,427.22956621047314,6870,24.382165613415065,143.60880840293285,159544,Mano pinza
449.00498753117205,219051.8075,467.4457654540233,5679,18.996118024480687,110.77794292324053,180051,Mano pinza
363.8503740648379,156275.54,394.8237903627503,7255,26.683937115800585,140.76876387584653,145904,Mano pinza
380.6084788029925,164706.83,405.33454056564324,6587,24.545620790682804,128.61646382796127,152624,Mano pinza
373.573566084788,166326.7625,407.3229462522838,6019,21.89514786431003,149.66338517795288,149803,Mano pinza
487.28179551122196,259805.84,509.07557900291886,5345,19.879197669926217,131.60614672794324,195400,Mano pinza
415.01745635910225,193060.56,438.8383668498589,6373,24.264634759254054,134.85662402596998,166422,Mano pinza
368.8877805486284,157106.695,395.8723376679322,6297,22.418128824681155,134.05407926567622,147924,Mano pinza
383.71571072319205,173567.445,416.0944706179151,6323,22.79906796340587,149.85211534754137,153870,Mano pinza
384.1645885286783,175891.965,418.8714978019189,5956,21.220273325289664,154.5836406490009,154050,Mano pinza
369.7930174563591,167568.9675,408.84115469893817,5401,21.02278525790529,167.1441098003122,148287,Mano pinza
350.0498753117207,149802.245,386.56005137198053,5935,20.537100574326455,147.46143369755166,140370,Mano pinza
378.06234413965086,172723.0425,415.08109053617255,6070,22.430225143765277,160.63386421726233,151603,Mano pinza
323.5162094763092,133665.24,365.14642299280285,5367,20.848441188731595,151.1528659647639,129730,Mano pinza
356.573566084788,158422.57,397.5267302294058,5423,18.762795633913406,163.11835125403448,142986,Mano pinza
418.139650872818,200523.175,447.23944057627847,4615,16.094486633627056,148.86319114930876,167674,Mano pinza
400.1346633416459,191383.725,436.92843676381125,5734,22.407476430870123,168.51808135521546,160454,Mano pinza
397.52618453865335,187007.47,431.9040601881193,5492,20.06875681251831,162.73696059104108,159408,Mano pinza
374.47630922693264,165832.8125,406.71767153536877,6217,25.017044189911804,145.97187828433903,150165,Mano pinza
398.7506234413965,189117.4525,434.3337862810547,5190,19.028531209738706,163.01938420780965,159899,Mano pinza
359.9775561097257,156393.5175,394.9727949215991,5828,21.483598395054774,148.3611544704324,144351,Mano pinza
381.0798004987531,171145.4375,413.1811235980603,5697,21.655080235362785,149.55368436763453,152813,Mano pinza
356.2992518703242,153631.09,391.46898992744366,6614,23.798844509765594,145.84896860094156,142876,Mano pinza
323.1097256857855,126846.8525,355.7112961160197,5932,22.22003600357119,123.60405718869906,129567,Mano pinza
419.2793017456359,203576.5625,450.63165698196815,5790,20.08880285133985,158.45469866480929,168131,Mano pinza
358.46633416458855,152279.5525,389.74325265810404,5611,19.866995243367832,136.7141124744249,143745,Mano pinza
372.2269326683292,164089.8925,404.57470357533145,6200,21.414130848577535,145.03519256721043,149263,Mano pinza
406.895,192397.38847117795,438.08263489894233,5429,19.280478264432737,153.651875,162758,Mano pinza
364.85536159600997,158253.2525,397.3142408535559,6043,22.3798458439731,138.95969552428156,146307,Mano pinza
359.3665835411471,150158.14,387.0189669744947,5704,19.785474469923635,130.76548031417715,144106,Mano pinza
477.3366583541147,241739.65,491.05682764833836,5748,20.24512286947155,99.82679212193953,191412,Mano pinza
391.4339152119701,166130.4925,407.08254936193526,5637,20.817840906299576,95.59209208897954,156965,Mano pinza
428.6708229426434,209148.9775,456.7574947141602,6355,24.205732792047424,147.4142449362877,171897,Mano pinza
382.1645885286783,168189.34,409.5972597710708,7117,25.69061112546761,133.04249351683137,153248,Mano pinza
387.2942643391521,180209.1825,423.9808757979468,7300,25.58524965678467,154.08584523728084,155305,Mano pinza
367.43142144638404,160436.295,400.04525305117426,5673,20.075544824487327,142.79102741898373,147340,Mano pinza
369.6558603491272,156925.43,395.6438989332355,6141,21.346603945358616,126.31345576209104,148232,Mano pinza
431.99002493765585,215417.355,463.5516741566859,7004,24.696659693164985,153.79947885896232,173228,Mano pinza
389.9476309226933,180688.2225,424.54402413522166,7128,24.99289899151357,151.6580120770393,156369,Mano pinza
358.9650872817955,159215.2475,398.5200145475914,6774,24.760755238885586,148.9957276385097,143945,Mano pinza
375.5361596009975,171183.485,413.2270483840687,6404,24.056496004198117,161.510488118855,150590,Mano pinza
345.56857855361596,145365.9725,380.7932035113009,5683,20.53283955033984,143.62724112412235,138573,Mano pinza
404.3516209476309,190805.2025,436.26755443462565,6597,23.682324632518657,152.89980783701594,162145,Mano pinza
340.65835411471323,140837.03,374.81437467277937,6856,25.371834777958018,131.80779970273818,136604,Mano pinza
375.28428927680795,168691.5025,410.208270804489,7090,24.482749028652808,144.19140428231168,150489,Mano pinza
335.2069825436409,132397.405,363.4105624603262,6333,21.883269865356045,119.95676643801967,134418,Mano pinza
353.57605985037407,145332.685,380.7496019060571,6834,23.973422784408573,127.14748042611676,141784,Mano pinza
364.9501246882793,152680.2125,390.2556390885326,6490,22.803618133971636,120.17595661718521,146345,Mano pinza
455.80548628428926,235761.645,484.9471215742929,9249,31.849058070844105,146.09330787743858,182778,Mano pinza
301.44389027431424,102651.9175,319.9936369379835,6523,22.16861520257862,85.41186932917086,120879,Mano pinza
389.1321695760598,178731.37,422.23886114419776,7728,26.90734100575529,143.4097922276603,156042,Mano pinza
385.53366583541145,182720.1625,426.92446784751377,5988,21.527888888602153,169.4627272218456,154599,Mano pinza
399.498753117207,188458.5125,433.57645363549454,5630,20.607644212767262,158.15063339158337,160199,Mano pinza
390.9501246882793,177813.5625,421.15334161930525,6998,25.59492137124082,144.4560046268369,156771,Mano pinza
414.857855361596,195685.74,441.8118894234403,7493,27.806519019826986,129.86552322435804,166358,Mano pinza
432.65087281795513,216640.0075,464.86531178905807,8250,29.572199782904214,150.25484916138583,173493,Mano pinza
452.3740648379052,234687.055,483.84067677155167,7976,29.71203459879515,157.18362447994724,181402,Mano pinza
430.9127182044888,216104.605,464.2905241043234,6202,22.4501670372405,154.89417354369684,172796,Mano pinza
540.6009975062344,311290.5225,557.2380433062074,6155,21.87721417365566,109.71461620263557,216781,Mano pinza
380.7082294264339,172199.55,414.45159510886106,7164,27.27480522386915,147.5248163879578,152664,Mano pinza
483.20199501246884,270524.025,519.4703085800568,6228,23.825931251474724,174.48029552055024,193764,Mano pinza
388.6384039900249,172312.455,414.58744328509977,6884,24.52162311104222,117.55091075304257,155844,Mano pinza
431.3965087281795,207506.41,454.9603693244724,7577,29.04931152368331,129.775772538728,172990,Mano pinza
456.0199501246883,229312.84,478.2687398640769,7333,26.76868506296116,120.35535848657656,182864,Mano pinza
370.7581047381546,158082.395,397.0997035551538,6748,24.293826376262757,127.96328381042404,148674,Mano pinza
420.95261845386534,209926.005,457.60517780409475,7457,27.47039315335694,163.93543572490222,168802,Mano pinza
413.00498753117205,198193.4775,444.63381498310935,7691,28.98616049082734,150.43425103077715,165615,Mano pinza
427.26932668329175,215415.6725,463.54986388653697,8047,28.77798637848034,162.78409960137066,171335,Mano pinza
369.4563591022444,165997.2,406.91920806870473,5255,19.359041815131242,162.5655810598193,148152,Mano pinza
394.6259351620948,192536.7775,438.2426678339575,5856,23.136443114705422,180.33014720057713,158245,Mano pinza
404.6783042394015,196281.955,442.48443341598056,6819,23.425573632250718,163.3935236721165,162276,Mano pinza
440.286783042394,228542.3775,477.4646022314533,7792,27.359093552235972,165.57648273331634,176555,Mano pinza
515.708229426434,282619.2075,530.956138910159,5565,21.664660163501296,106.77922400980094,206799,Mano pinza
406.71820448877804,200798.25,447.5460939773846,6242,25.084158347451087,169.9417167803683,163094,Mano pinza
481.7556109725686,256655.3,505.97950733738867,7426,26.801958883633862,134.46433790834632,193184,Mano pinza
513.5586034912718,281210.4475,529.631168421564,4778,17.70070620060115,109.81940410818342,205937,Mano pinza
495.81296758104736,267715.3225,516.7665848735726,5341,18.941290874700172,129.17685835287094,198821,Mano pinza
558.3391521197008,332899.585,576.2546411711768,4888,17.58138219822321,113.43160801238797,223894,Mano pinza
469.3765586034913,247971.295,497.3458683031402,4893,16.55181258956251,151.45092381266284,188220,Mano pinza
354.6783042394015,149908.84,386.6975594618688,5924,21.19386703742382,140.99005603198987,142226,Mano pinza
388.3815461346633,176590.5825,419.70252201117836,5663,20.813997693859775,148.92764348480418,155741,Mano pinza
419.38653366583543,196589.815,442.83130657710734,5653,20.348280025594303,126.12508628677683,168174,Mano pinza
386.6234413965087,180217.61,423.9907894355543,6458,23.688604855499616,163.75768807407914,155036,Mano pinza
232.97256857855362,60514.14,245.6892995638994,2716,11.221185320633467,66.25364270122698,93422,Mano pinza
348.19451371571074,129380.49,359.24621833296123,4429,15.24442521054828,69.5065951082394,139626,Mano pinza
320.6558603491272,110919.9275,332.630905362077,4036,13.912943613772033,75.30474312970688,128583,Mano pinza
