MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_Indice
532.5137157107232,294383.965,541.894676481512,5726,18.89894176931608,78.95773036237337,213538,Dedo indice
517.7556109725685,271647.89,520.5482339230429,5304,17.17090562550502,43.940659573012596,207620,Dedo indice
495.82044887780546,248204.575,497.5797533788614,5227,16.35366931303186,34.1375364581066,198824,Dedo indice
477.9625935162095,232126.7275,481.1941997316277,5601,18.21297614339842,41.961007705175966,191663,Dedo indice
457.5810473815461,212233.07,460.1128236354812,5577,18.1327741948109,36.93491955895796,183490,Dedo indice
439.93765586034914,196849.0475,443.12317939789693,5648,17.888404065203805,41.185340887183536,176415,Dedo indice
493.1271820448878,250456.84,499.83223120525247,6280,21.163648078722154,66.06381801108202,197744,Dedo indice
472.4139650872818,225900.875,474.69730478702934,5811,19.11053374450855,36.8389624442634,189438,Dedo indice
455.79551122194516,210640.76,458.3835417220995,6092,19.79406476699518,34.87413635487342,182774,Dedo indice
463.56857855361596,218877.7075,467.25996811784154,6099,19.753037741066564,43.7783347118488,185891,Dedo indice
461.2194513715711,215277.5925,463.40127389593897,5119,16.293940591520517,35.515898532969324,184949,Dedo indice
465.2643391521197,219454.0175,467.8747168029508,5610,18.301775870117083,38.171603410426556,186571,Dedo indice
454.2269326683292,209002.1175,456.59710381469796,5519,17.273607035011533,36.54344189401807,182145,Dedo indice
489.26683291770576,243396.96,492.73723731559653,5594,18.36967609948526,44.371266347846095,196196,Dedo indice
504.0199501246883,257437.99,506.75043167223845,6044,20.199752473730957,41.55964204202711,202112,Dedo indice
507.4912718204489,260598.57,509.8516433771338,6237,20.212310605173275,37.87054806873091,203504,Dedo indice
487.45386533665834,240125.4225,489.4145543248968,5862,18.718172987767797,31.978345905809036,195469,Dedo indice
479.44638403990024,231652.385,480.7022969098068,5343,16.606850995899254,26.58999633086859,192258,Dedo indice
474.82543640897757,227539.3175,476.4156670183597,5466,17.846007956963373,29.92269948569972,190405,Dedo indice
491.91770573566083,245057.8525,494.4155495742907,5630,17.812214909999263,39.357379618285954,197259,Dedo indice
482.8475,235267.55639097744,484.4371863306945,5525,17.689397586334547,29.875799999999995,193139,Dedo indice
452.498753117207,206708.99,454.08535126605216,5486,17.545797217567518,28.267734653391464,181452,Dedo indice
489.50374064837905,242514.0175,491.8427028929345,5923,18.545147613324623,36.066840380345894,196291,Dedo indice
494.71571072319205,249221.1175,498.5976518735977,6842,23.15588478119547,46.40563180577235,198381,Dedo indice
474.22443890274315,227855.485,476.74654359829157,5829,19.232069571421583,35.67543734180757,190164,Dedo indice
466.45137157107234,219701.7975,468.1387750637673,5655,18.487495774171254,30.038320657209848,187047,Dedo indice
455.4139650872818,209134.0625,456.7412080949888,5555,17.968235862209735,26.365681805461406,182621,Dedo indice
447.9002493765586,202122.51,449.0194470625955,5261,16.812421003531885,24.71049309394842,179608,Dedo indice
455.7506234413965,209237.25,456.85387307828904,5389,16.825798643749426,25.006909161012683,182756,Dedo indice
470.79551122194516,224444.6925,473.1648550451262,5335,17.105627728908402,38.4279699753111,188789,Dedo indice
455.71571072319205,209704.175,457.36333690528494,5338,17.208573444652522,29.068973451657644,182742,Dedo indice
442.00249376558605,197428.6225,443.7750351197228,5577,17.434663747832936,30.58137698148644,177243,Dedo indice
436.93017456359104,193762.9825,439.63596650228016,5916,19.330287116336375,34.848850442472376,175209,Dedo indice
423.0349127182045,181738.8625,425.7765239877046,6089,19.34043691336884,38.973936729249196,169637,Dedo indice
426.6483790523691,184471.185,428.9652166635797,6119,20.027169046073386,34.4449101684691,171086,Dedo indice
445.38,201338.98746867166,448.14689555992686,6935,21.767454034356994,38.9796,178152,Dedo indice
427.82543640897757,185371.185,430.01036350093295,6002,19.470618891036825,34.99913557751506,171558,Dedo indice
413.4862842892768,173828.155,416.4068543254026,5972,18.87591057406238,38.85909913495563,165808,Dedo indice
397.93,160359.61904761905,399.9483966713706,5541,17.407759051295773,30.590300000000003,159172,Dedo indice
424.23940149625935,184201.58,428.651635292463,5711,19.495448186692194,44.73438598018668,170120,Dedo indice
427.79052369077306,187463.55,432.43041041348386,6303,21.504708786682045,45.243860423753574,171544,Dedo indice
430.8728179551122,189461.125,434.7282523215895,5572,17.91368192192772,43.330961872127666,172780,Dedo indice
427.5436408977556,185061.7975,429.6513665265185,5111,16.305137227266748,31.789839615425276,171445,Dedo indice
