MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_cerrada
758.8079800498754,641081.39,799.6766116948592,7750,37.15696435394044,194.09594467696095,304282,Mano cerrada
769.2618453865337,627963.05,791.4524984840268,7454,28.033105429117196,154.13091958383345,308474,Mano cerrada
614.1770573566084,400217.0675,631.8378114279998,8552,35.7996508362861,121.47186895603885,246285,Mano cerrada
532.0448877805486,310214.935,556.2745110741844,7756,26.127858695270074,140.19165303698358,213350,Mano cerrada
521.6359102244389,297980.745,545.1950576379228,8786,33.58504131306079,126.27785896853877,209176,Mano cerrada
442.9127182044888,211774.375,459.61533846426505,8238,31.79300237473649,95.48808776064827,177608,Mano cerrada
494.90274314214463,289660.21,537.5294088109583,10136,38.17112783243377,168.07837015938955,198456,Mano cerrada
426.857855361596,197279.105,443.6069624759143,8056,27.83819318849555,97.67736519051496,171170,Mano cerrada
368.0,158020.51,397.0219690272496,8024,29.660495612851786,117.1571072319202,147568,Mano cerrada
331.72568578553614,120402.705,346.5580021840579,6607,22.651876301975516,78.39876617682727,133022,Mano cerrada
706.6384039900249,543489.255,736.297440033239,7097,26.31990691472901,172.02557198027375,283362,Mano cerrada
439.40897755610973,219210.6725,467.6152397739277,7026,25.16932657025213,126.82076604001219,176203,Mano cerrada
536.4912718204489,333145.8825,576.4677742624407,7039,24.846176768267586,170.32258505855066,215133,Mano cerrada
334.3665835411471,123723.4325,351.30456197129774,6914,24.014058382539172,87.11345078699759,134081,Mano cerrada
359.91770573566083,145290.5725,380.69443372647856,8419,30.10477536870189,99.3947550077425,144327,Mano cerrada
544.4114713216958,316998.6675,562.3238809904569,6910,23.28948260481542,108.19746145857302,218309,Mano cerrada
359.99501246882795,150469.87,387.4204865729984,7312,30.3386716914238,109.65993992574673,144358,Mano cerrada
407.4413965087282,186982.95,431.8757441141083,9115,33.39666899557499,113.97123152219204,163384,Mano cerrada
578.1321695760598,378326.3125,614.3149480206354,7604,29.55960080921256,172.23084433554519,231831,Mano cerrada
364.6783042394015,150318.1,387.22505328976564,7673,28.621102354731203,103.65500214550904,146236,Mano cerrada
338.55361596009976,136911.7,369.55415613170214,7967,32.85403323794508,115.81516284102712,135760,Mano cerrada
313.98753117206985,115195.9625,338.9818443118559,6912,26.18978808619879,102.75290576551143,125909,Mano cerrada
378.4912718204489,167688.6025,408.9870736758256,8972,35.48767391644598,117.49596084601465,151775,Mano cerrada
297.6184538653367,98244.8275,313.0492420214024,6788,23.475625657264175,75.93231385376957,119345,Mano cerrada
326.3815461346633,123765.7625,351.3646534595478,7285,26.767937910866426,98.56485967127068,130879,Mano cerrada
295.8952618453865,97578.73,311.9862040558797,6470,22.45551157288562,72.96598901748123,118654,Mano cerrada
299.38653366583543,101257.46,317.8127556139349,6791,24.009945855832328,85.22011679031849,120054,Mano cerrada
284.18952618453864,86354.03,293.4939237731687,5887,18.782638259839857,56.9357777625761,113960,Mano cerrada
378.99501246882795,175972.0375,418.9668298192329,9492,37.19536261417544,127.96365694243195,151977,Mano cerrada
330.498753117207,119899.555,345.83312972582615,6513,25.37720433775163,75.78146902071504,132530,Mano cerrada
382.7556109725686,185106.2625,429.70297982771535,9192,37.631702060895414,150.18073270688615,153485,Mano cerrada
369.34912718204487,164160.2475,404.6614267806971,9276,35.58644404826085,126.61614044688777,148109,Mano cerrada
471.1695760598504,244838.3275,494.19404903816695,7410,25.439634431335683,129.01373747675697,188939,Mano cerrada
485.66832917705733,279113.0325,527.652338216119,7184,25.489998038446373,168.65345364767634,194753,Mano cerrada
406.2269326683292,178826.8125,422.35158381273675,5761,19.328929096046682,86.52097934714337,162897,Mano cerrada
299.25187032418955,95019.54,307.867802053328,5635,18.91765048836668,57.90503790399314,120000,Mano cerrada
383.214463840399,163136.0975,403.3971669635453,7308,28.68675652631367,93.7982226478691,153669,Mano cerrada
316.7780548628429,110149.97,331.4744059433718,6608,22.87859261405736,76.28461265788148,127028,Mano cerrada
321.77556109725685,115650.175,339.6494819274219,6864,27.061873549331356,85.20103730698192,129032,Mano cerrada
371.75311720698255,156823.0175,395.5147755215478,7223,30.626499963267104,110.12330769087258,149073,Mano cerrada
348.5137157107232,131424.595,362.07299383940585,6386,21.020466217474816,79.61041287056672,139754,Mano cerrada
396.9650872817955,173453.3225,415.95765478419327,7154,27.61892467131912,94.26517248027064,159183,Mano cerrada
318.640897755611,114151.4825,337.44157340396964,6664,24.5144855136713,84.78914932121067,127775,Mano cerrada
367.53366583541145,150102.4225,386.94715691472527,7285,25.988122286921772,102.66839136572534,147381,Mano cerrada
445.1047381546135,216770.5525,465.0053521800687,7699,29.31172973401604,106.63381446632793,178487,Mano cerrada
362.09226932668327,143605.5075,378.48036808721196,6323,21.02813591358017,91.4787967736519,145199,Mano cerrada
430.1197007481297,209087.33,456.6901742012522,7368,25.99201800553393,123.45236658976,172478,Mano cerrada
436.82543640897757,216887.8325,465.13112676672347,8068,31.974286544034097,128.74587844602956,175167,Mano cerrada
363.01246882793015,145716.315,381.25179693783633,7305,24.91891851585859,96.70887618858092,145568,Mano cerrada
