MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_pulgar
239.32169576059852,59251.58,243.11277310926673,6395,19.948746827808506,34.75875150030162,95968,Dedo pulgar
290.8354114713217,88050.0825,296.3621201071654,6017,19.454369689095557,47.13522925852452,116625,Dedo pulgar
279.45137157107234,81743.66,285.5517649635797,6545,21.4035627875361,47.67215378013819,112060,Dedo pulgar
243.4563591022444,62983.235,250.65149027296815,5518,17.796347939956668,50.155198039813186,97626,Dedo pulgar
217.50374064837905,50276.6925,223.94489102112564,4980,16.015773474921527,41.75498908588877,87219,Dedo pulgar
230.48379052369077,55948.965,236.2402196843474,5371,17.59822434224544,41.31983010055908,92424,Dedo pulgar
224.2942643391521,52600.59,229.0620362671494,4946,16.377270834910192,35.928881039297025,89942,Dedo pulgar
203.2718204488778,42665.17,206.29777765970158,4551,14.442904832477433,28.113183375725274,81512,Dedo pulgar
223.9077306733167,52345.0425,228.50493700227565,5077,16.249384603731922,36.624175222790896,89787,Dedo pulgar
216.28179551122196,49066.5975,221.23344436981193,5169,17.19396696518869,37.51767712887358,86729,Dedo pulgar
215.68827930174564,48705.3175,220.41746268243267,4935,15.82047723679662,36.36385345862277,86491,Dedo pulgar
224.37655860349128,52889.5575,229.69036405919576,5205,17.129287784376793,39.469493348921965,89975,Dedo pulgar
222.50374064837905,51514.15,226.68411013023422,5217,16.631521277381694,34.45586781176734,89224,Dedo pulgar
263.77556109725685,72516.415,268.9527394540728,5574,17.851330482627898,42.05268623951344,105774,Dedo pulgar
280.4912718204489,83912.5625,289.3152333345092,5995,19.5457795956058,57.66571103413536,112477,Dedo pulgar
247.6059850374065,65028.49,254.68868092148537,5745,19.05774120928291,46.11492465842874,99290,Dedo pulgar
238.26683291770573,58647.9275,241.8711915807838,5669,18.193336692316777,32.01383075975896,95545,Dedo pulgar
283.8229426433915,87595.5725,295.5962274383935,6448,20.669421859355428,67.22327597465188,113813,Dedo pulgar
332.0498753117207,116950.805,341.55403248568433,6749,21.706623413142818,63.906343866020734,133152,Dedo pulgar
287.640897755611,90780.24,300.9216764568415,5888,19.372790196561773,70.50678789311011,115344,Dedo pulgar
278.6334164588529,84998.95,291.18204364905625,6141,19.932699265277645,70.34374164339775,111732,Dedo pulgar
354.1695760598504,134565.52,366.3740508512538,6799,22.054988097933766,76.8680169899441,142022,Dedo pulgar
294.6309226932668,93792.1375,305.87291788463693,6563,21.637294193128678,69.06444611662863,118147,Dedo pulgar
319.96758104738154,110786.6925,332.43107023690317,5916,20.040708570307586,72.2477472155024,128307,Dedo pulgar
320.9052369077307,110021.9375,331.2817057710154,6253,20.96848826215185,68.9771581022506,128683,Dedo pulgar
305.5211970074813,100621.275,316.81279823766914,5584,18.002083212784015,71.84301092654897,122514,Dedo pulgar
381.8952618453865,159888.71,399.3619724478114,6118,20.440278863068382,92.54684983302343,153140,Dedo pulgar
325.5785536159601,111862.0525,334.04055856002316,6106,19.65464321731636,63.32990466477199,130557,Dedo pulgar
306.81296758104736,99075.62,314.3700822731529,5852,19.357685812100577,59.21626109290364,123032,Dedo pulgar
301.0074812967581,99124.08,314.44695543215016,6632,23.5819846493038,72.03400476365196,120704,Dedo pulgar
255.38902743142145,67170.6025,258.8495600983171,4880,15.37465446766203,33.66212896685966,102411,Dedo pulgar
296.4189526184539,94822.89,307.5490594037797,6060,20.602791073056096,66.30630406527324,118864,Dedo pulgar
288.785536159601,92354.7275,303.52004292773296,5622,20.569880894161734,65.95202766151952,115803,Dedo pulgar
243.74064837905237,62165.735,249.0194936735404,4443,14.15070669613359,43.10454536974272,97740,Dedo pulgar
255.22942643391522,68565.0125,261.52251801980924,4762,15.422548427545948,48.13400414176529,102347,Dedo pulgar
354.20448877805484,133680.01,365.1665967630681,5606,17.97748591989436,71.71270079166175,142036,Dedo pulgar
374.79551122194516,155847.1625,394.2822798573077,5594,17.98958031750602,96.43997238823141,150293,Dedo pulgar
277.93017456359104,81280.17,284.7410688840423,5517,17.54672334084059,53.15286596476389,111450,Dedo pulgar
308.7805486284289,100079.8325,315.95926455455515,6080,19.36517492820553,57.305825212529776,123821,Dedo pulgar
373.0498753117207,151209.5425,388.3715506401485,6518,20.575713839378697,85.78639436321913,149593,Dedo pulgar
346.6334164588529,128633.12,358.20711767372757,4976,17.52697920350224,74.70998314687097,139000,Dedo pulgar
302.8279301745636,96341.34,310.0017536753551,5040,16.690865765441888,56.90416104377461,121434,Dedo pulgar
373.8977556109726,155181.4075,393.43922204882426,6379,22.05702835832606,106.7780299873757,149933,Dedo pulgar
328.65835411471323,120221.46,346.2970630258783,5054,16.29463101760822,83.0455780747632,131792,Dedo pulgar
268.2942643391521,75554.96,274.52967715876866,4969,16.350611609355777,47.31218089439743,107586,Dedo pulgar
435.73815461346635,211478.5275,459.29418636200387,5933,19.388720948015113,117.32318828863005,174731,Dedo pulgar
393.5810473815461,184753.4,429.29321952387863,5638,17.497857011645742,145.7377752625916,157826,Dedo pulgar
328.0498753117207,115206.495,338.9973407085685,5165,16.64414311402062,68.82802967643237,131548,Dedo pulgar
354.4638403990025,134549.18,366.3518061717272,5784,18.537124911916628,75.72236491066597,142140,Dedo pulgar
301.45885286783044,94945.2975,307.74750394526137,5358,16.62828914831589,51.43567515127394,120885,Dedo pulgar
443.7007481296758,240577.195,489.8747307938267,6566,21.197169622381193,167.98039813185238,177924,Dedo pulgar
286.18952618453864,86002.48,292.8959029673552,6020,19.949937343260004,47.265315514207,114762,Dedo pulgar
448.8004987531172,231131.4275,480.161472736255,5909,19.119819559818026,145.2304525469369,179969,Dedo pulgar
353.3990024937656,131519.5975,362.2038355040782,5738,18.43990238585877,57.62083569132033,141713,Dedo pulgar
436.43,192200.0551378446,437.85791645235787,4302,13.501508316371272,29.082649999999997,174572,Dedo pulgar
453.8503740648379,208450.07,455.9936889793843,4470,14.240259829090197,30.858576750144596,181994,Dedo pulgar
485.79052369077306,239365.395,488.6394108291526,4846,17.04009976496617,41.51217965062407,194802,Dedo pulgar
498.91770573566083,252653.16,502.0190257792916,5065,17.0580626098042,44.208195222666525,200066,Dedo pulgar
499.46633416458855,253926.835,503.2828240636732,5729,18.57330072981106,49.15838831848061,200286,Dedo pulgar
476.41645885286783,230952.7925,479.9758852005638,5338,17.368074159215233,45.69137007854429,191043,Dedo pulgar
475.06733167082297,228503.76,477.4242612048873,4926,15.99124760611254,35.8468044352958,190502,Dedo pulgar
483.1496259351621,237813.2225,487.05253522574486,5098,17.77216925420192,46.36937581233947,193743,Dedo pulgar
469.2369077306733,223569.565,472.2415006251761,5226,19.525368114327577,38.9963992761239,188164,Dedo pulgar
451.91022443890273,207324.85,454.761289495863,4433,13.994552511602505,42.10636749771456,181216,Dedo pulgar
468.01745635910225,221379.0775,469.9223446220262,4704,15.24024278021843,33.455737215564575,187675,Dedo pulgar
498.1321695760598,252125.0575,501.4940844199754,5331,17.565804849194926,45.01314046554437,199751,Dedo pulgar
471.27431421446386,224476.6075,473.1984947792487,4987,15.895360958468354,34.97576507608784,188981,Dedo pulgar
458.5885286783042,212346.715,460.235996060527,4475,13.824344469087857,30.698241926356182,183894,Dedo pulgar
480.3142144638404,235745.96,484.9309897685497,4972,16.109003693587013,50.33864217262331,192606,Dedo pulgar
515.4538653366584,272323.0675,521.1947405778238,6414,21.683864969142377,59.148612259874014,206697,Dedo pulgar
461.2992518703242,216378.3125,464.584454874163,4936,16.509239837133627,48.31790847071846,184981,Dedo pulgar
471.59850374064837,225369.9675,474.1391648355182,5051,16.181857124570097,37.65202952717955,189111,Dedo pulgar
465.9476309226933,221133.9775,469.662135153567,4876,16.167096214224742,44.07482540531465,186845,Dedo pulgar
486.3017456359102,241132.3225,490.43959364275315,5120,16.54932022773141,47.24794000037313,195007,Dedo pulgar
451.142144638404,205264.47,452.49595415724804,4741,15.29664996004027,26.501452105397348,180908,Dedo pulgar
488.49625935162095,244735.0725,494.089830494925,5577,19.454626699065702,54.50905156062463,195887,Dedo pulgar
477.68827930174564,230580.9525,479.58934272548254,5058,16.24238283011455,29.851891468336635,191553,Dedo pulgar
483.3216957605985,236130.6,485.3264320392103,4806,15.39431713328006,35.24791512490594,193812,Dedo pulgar
487.0975,239877.75187969924,489.1605641300206,4693,15.2661435157872,32.19505000000001,194839,Dedo pulgar
466.9476309226933,220098.77,468.5615170517585,4731,14.649317390240407,31.38680729597453,187246,Dedo pulgar
486.4339152119701,239086.905,488.35507400275816,5077,15.801344879471493,35.1610126802694,195060,Dedo pulgar
472.57605985037407,225717.7875,474.50490013210253,4294,13.618002790424152,35.05570238991051,189503,Dedo pulgar
463.1720698254364,217036.115,465.29010069577697,4852,15.030136393260042,36.406216379251376,185732,Dedo pulgar
476.6009975062344,230305.7975,479.3031074674252,5081,16.628213975048553,37.43168263878956,191117,Dedo pulgar
489.19700748129674,241987.205,491.3081982176872,5075,16.270141363860365,36.701624989894334,196168,Dedo pulgar
480.1321695760598,233337.0875,482.4470950283014,5503,18.62129157711677,36.692246938762814,192533,Dedo pulgar
465.5660847880299,218587.32,466.94990573276743,4810,15.474979806125758,29.361645760909447,186692,Dedo pulgar
506.1172069825436,262024.8225,511.24494522191867,6057,21.01267474644768,58.47800697756854,202953,Dedo pulgar
499.7506234413965,252634.39,502.0003775420583,5785,18.86180002014654,37.39843657688696,200400,Dedo pulgar
485.50374064837905,239926.6125,489.2119088601315,5416,17.51727718568157,49.091162368393235,194687,Dedo pulgar
485.8229426433915,239213.8875,488.4847429957776,5250,17.045233937966355,39.24473106510531,194815,Dedo pulgar
459.857855361596,214294.4375,462.3419053108682,4742,15.0308017084918,38.05348225446359,184403,Dedo pulgar
487.785536159601,241868.76,491.1879436732696,4882,16.13644942358758,44.290483268138885,195602,Dedo pulgar
487.8778054862843,240222.2575,489.51322709529194,5154,16.77840874457408,32.312137362329835,195639,Dedo pulgar
514.1371571072319,269982.3825,518.9500069618323,5629,19.44125767536658,53.439903980696634,206169,Dedo pulgar
518.4214463840399,274780.4275,523.5410103575311,5502,19.080749461171592,55.41117281608945,207887,Dedo pulgar
480.7581047381546,234100.02,483.2351698980879,5273,16.382689034465617,39.22504213282256,192784,Dedo pulgar
534.7306733167082,294984.6925,542.447296818259,6098,20.98463723775086,75.44415768558655,214427,Dedo pulgar
532.5261845386534,291015.6375,538.7855906742537,6869,24.050831586454553,69.49662004589526,213543,Dedo pulgar
321.0074812967581,110930.635,332.64696000414614,3454,11.307961796893373,72.61121510438369,128724,Dedo pulgar
328.3092269326683,110432.6,331.8993928625716,3858,12.866429186064018,39.67786269985883,131652,Dedo pulgar
350.2568578553616,126002.2475,354.52507306454567,3566,11.88759858003289,45.70072325420862,140453,Dedo pulgar
352.39401496259353,126571.45,355.32493646494254,3809,12.325278901509693,36.17328250446204,141310,Dedo pulgar
333.55361596009976,113778.7775,336.8902490429923,3943,12.779182289958932,40.08608155421919,133755,Dedo pulgar
298.5885286783042,90284.535,300.0989612339,3051,9.691362133363917,23.94546053818073,119734,Dedo pulgar
325.2793017456359,108086.5875,328.35505917798884,3614,12.096280420029952,35.83161796257486,130437,Dedo pulgar
