MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_abierta
158.13,25284.737373737375,158.21469590401517,255,3.8072233313728123,4.111800000000001,15813,Mano_abierta
158.27,25329.868686868685,158.35583348901295,250,3.2690776507860266,4.191600000000002,15827,Mano_abierta
174.78,31060.40404040404,175.35620890062603,365,5.328596381218922,12.758000000000003,17478,Mano_abierta
167.51,28536.272727272728,168.0800702046498,280,4.297050903194709,11.7798,16751,Mano_abierta
167.51,28536.272727272728,168.0800702046498,280,4.297050903194709,11.7798,16751,Mano_abierta
167.78,28912.88888888889,169.18557858162734,321,4.67207478838715,17.237999999999996,16778,Mano_abierta
229.94,56002.444444444445,235.46214133061815,382,5.02518907629606,43.11080000000002,22994,Mano_abierta
355.61,130717.92929292929,359.73705675117765,672,11.031634951219592,42.29300000000001,35561,Mano_abierta
372.04,144495.37373737374,378.2200682142607,731,9.500132907097944,61.235199999999985,37204,Mano_abierta
268.52,72899.1313131313,268.6450073982392,267,3.3919095661663072,6.343199999999997,26852,Mano_abierta
152.24,23926.10101010101,153.90529555541616,319,5.4633766892357745,15.662400000000002,15224,Mano_abierta
162.11,27685.262626262625,165.55485495750344,344,4.813700984867794,26.222800000000003,16211,Mano_abierta
285.72,91125.93939393939,300.3575868860315,838,10.262218635028749,76.62080000000002,28572,Mano_abierta
156.92,25097.696969696968,157.6284238327593,278,3.9414912831761453,12.714400000000005,15692,Mano_abierta
146.47,22105.222222222223,147.93299158740757,269,4.663418783197017,19.264,14647,Mano_abierta
155.92,24744.68686868687,156.51594168007296,160,2.6514718611184676,11.208800000000002,15592,Mano_abierta
142.1,20504.909090909092,142.47757718321856,167,2.3072131074593702,8.580000000000002,14210,Mano_abierta
128.18,16622.424242424244,128.28172122325145,190,4.1046905910780715,3.608800000000001,12818,Mano_abierta
146.06,21669.030303030304,146.4661735691897,211,3.3105280484532917,9.074399999999999,14606,Mano_abierta
137.61,19233.50505050505,137.9897459958529,255,4.068851871911234,8.439800000000002,13761,Mano_abierta
198.88,43380.121212121216,207.23493913913262,466,6.198729097503973,46.3856,19888,Mano_abierta
172.94,30637.131313131315,174.15728523377942,331,4.930834748106178,14.386800000000003,17294,Mano_abierta
145.55,21526.575757575756,145.98393747258635,268,5.361667161198534,9.289999999999997,14555,Mano_abierta
123.94,15530.68686868687,123.99749997479788,155,2.311586975096188,3.0248000000000004,12394,Mano_abierta
123.9,15520.727272727272,123.95773473244822,137,1.7950549357115013,2.985999999999999,12390,Mano_abierta
132.04,17662.343434343435,132.23358121143056,214,3.22552947654186,6.223999999999998,13204,Mano_abierta
140.45,20126.070707070707,141.15526911879698,259,4.06139748054158,11.782,14045,Mano_abierta
138.24,19421.434343434343,138.66225153227535,203,2.883250130171039,8.296799999999998,13824,Mano_abierta
142.99,20796.353535353537,143.48654989231568,187,2.435013948480158,9.83,14299,Mano_abierta
162.86,27085.878787878788,163.75292363802242,290,3.7009417310962487,13.671199999999994,16286,Mano_abierta
153.69,24325.08080808081,155.18321429845435,255,3.4509550720186013,16.848000000000003,15369,Mano_abierta
229.01,61077.42424242424,245.89967466428254,508,8.411151808609494,86.98939999999999,22901,Mano_abierta
254.0,67713.898989899,258.91458050870756,500,6.528879124801027,45.6,25400,Mano_abierta
172.09,30081.424242424244,172.5705942505849,304,4.206776639776551,10.864599999999996,17209,Mano_abierta
171.64,29824.141414141413,171.83102164626735,329,4.03645008552432,6.86,17164,Mano_abierta
173.29,30369.646464646463,173.39535749263877,360,4.83254957072717,5.073199999999999,17329,Mano_abierta
174.86,30926.343434343435,174.9773699653758,287,3.970853405462958,5.2627999999999995,17486,Mano_abierta
174.87,30936.89898989899,175.00722842214262,333,4.363531143512561,5.6752,17487,Mano_abierta
171.9,29887.47474747475,172.0133715732588,343,5.279080115767033,4.8119999999999985,17190,Mano_abierta
170.97,29597.747474747473,171.17759783336138,311,4.411875617540284,6.453599999999999,17097,Mano_abierta
164.29,27291.989898989897,164.37478517096227,254,3.290635626787449,4.2016,16429,Mano_abierta
161.97,26524.59595959596,162.04736961765224,318,4.426732383593975,4.009399999999999,16197,Mano_abierta
167.99,28553.424242424244,168.1305742570339,265,3.554766326548573,5.588600000000001,16799,Mano_abierta
157.86,25213.11111111111,157.99044274892074,340,4.373935656969948,5.253999999999999,15786,Mano_abierta
158.62,25455.41414141414,158.7477873861554,378,5.5867809346815465,4.8828,15862,Mano_abierta
155.11,24395.40404040404,155.4073679077025,384,5.855153993092606,7.6722,15511,Mano_abierta
163.15,26917.262626262625,163.2424270831575,416,6.0902306270706275,4.279000000000001,16315,Mano_abierta
162.91,26860.959595959597,163.07161003681787,342,4.583677673015524,6.120999999999999,16291,Mano_abierta
168.53,28787.80808080808,168.8192228391068,417,6.444009041369552,8.023,16853,Mano_abierta
172.57,30191.242424242424,172.88530880326414,362,4.8010941513893535,8.309799999999997,17257,Mano_abierta
164.31,27349.78787878788,164.5487465768123,329,4.700096710803842,6.763000000000002,16431,Mano_abierta
167.83,28512.838383838385,168.0110413038381,281,3.526236440504725,6.2828000000000035,16783,Mano_abierta
154.65,24214.616161616163,154.8304556603771,312,5.0070657146383715,6.1480000000000015,15465,Mano_abierta
164.93,27508.333333333332,165.0249981063475,345,5.121750016578633,4.015599999999999,16493,Mano_abierta
163.21,27046.676767676767,163.6343790283692,337,4.875210433168682,10.268999999999998,16321,Mano_abierta
163.89,27361.747474747473,164.58471982538356,347,4.712973712224715,11.134599999999995,16389,Mano_abierta
159.14,25670.62626262626,159.41743944750837,355,6.099345883127157,7.731600000000001,15914,Mano_abierta
154.92,24286.88888888889,155.06134270023588,334,5.253185661668508,5.1896,15492,Mano_abierta
155.58,24495.777777777777,155.72674786304376,300,4.557156653844233,5.5548,15558,Mano_abierta
151.64,23295.333333333332,151.8630303925218,331,5.194208118645034,6.7056,15164,Mano_abierta
183.87,35386.63636363636,187.1704303569343,367,5.042245771899901,28.384000000000004,18387,Mano_abierta
220.22,49748.22222222222,221.92507744732228,412,5.713708484554024,22.58880000000001,22022,Mano_abierta
279.42,79917.79797979798,281.28032280982615,562,7.163318456772065,27.325200000000006,27942,Mano_abierta
194.28,38453.51515151515,195.11273664217825,372,4.777895229939939,14.108000000000002,19428,Mano_abierta
213.0,47293.818181818184,216.381330063386,556,7.261354744623948,32.04,21300,Mano_abierta
304.29,96579.22222222222,309.2142137742054,452,5.736644568830363,50.752599999999994,30429,Mano_abierta
201.32,42181.292929292926,204.35136407668045,528,6.9616554399543835,31.345600000000005,20132,Mano_abierta
220.42,49582.68686868687,221.55554608269233,606,8.701561452818208,19.125199999999996,22042,Mano_abierta
187.6,35936.606060606064,188.61929911862146,349,4.957394232432758,15.991999999999996,18760,Mano_abierta
164.99,27615.646464646463,165.34657541055998,283,3.658392868984738,9.2492,16499,Mano_abierta
163.16,26935.515151515152,163.29776483467248,338,4.937999431332327,5.213599999999999,16316,Mano_abierta
