MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_cerrada
361.58,137479.898989899,368.92424696677233,1705,21.15717993084765,62.3252,36158,Mano cerrada
334.73,127611.0808080808,355.43630934388233,1798,26.17848603936315,96.06899999999997,33473,Mano cerrada
313.41,114314.27272727272,336.4091705052049,1822,27.17544940760043,96.31400000000002,31341,Mano cerrada
328.2,119643.75757575757,344.1617642911542,1538,21.09669896146568,80.616,32820,Mano cerrada
351.04,145227.05050505052,379.1764496906421,2329,34.1640427669475,117.98799999999996,35104,Mano cerrada
385.43,171583.68686868687,412.1502759916582,2103,34.298010661750276,118.65579999999999,38543,Mano cerrada
380.13,156649.24242424243,393.8054722829534,1954,25.09859346535965,82.0734,38013,Mano cerrada
324.01,112857.92929292929,334.25940525286643,1984,25.944774293319902,69.9316,32401,Mano cerrada
455.27,221930.898989899,468.73402906125773,1705,23.410910000909983,95.63219999999997,45527,Mano cerrada
559.45,343492.0707070707,583.1441931460863,2121,28.289449080760292,121.61599999999999,55945,Mano cerrada
652.5,440456.44444444444,660.3422445974511,1667,22.561028345356956,71.46,65250,Mano cerrada
512.55,273809.9090909091,520.6455704219522,1373,18.120528009788657,76.35600000000002,51255,Mano cerrada
391.0,190435.55555555556,434.20179640346953,2173,42.917703723863106,134.18,39100,Mano cerrada
405.9,180360.58585858587,422.56003123816623,1982,27.778707055163057,97.00599999999999,40590,Mano cerrada
325.3,123773.59595959596,350.05122482288215,1633,25.79620988526114,117.25199999999997,32530,Mano cerrada
318.86,112747.87878787878,334.0963932759526,1464,20.707681685985055,86.31440000000002,31886,Mano cerrada
398.71,181571.94949494948,423.97668567976706,2452,33.92296680374045,119.74880000000005,39871,Mano cerrada
419.56,184866.46464646465,427.8057970621716,2031,28.877134360751395,64.86319999999999,41956,Mano cerrada
434.94,222236.32323232322,469.0564571562788,2418,36.21707839786042,142.03840000000002,43494,Mano cerrada
378.14,166185.65656565657,405.61533501582505,2146,34.54699624417367,131.2308,37814,Mano cerrada
575.81,397074.797979798,626.9801033525705,1778,25.27265460348538,225.84799999999996,57581,Mano cerrada
606.91,386367.3434343434,618.4688108546784,1400,18.33360881335729,100.85019999999997,60691,Mano cerrada
688.27,505843.1414141414,707.6614374119873,1581,26.255735304188995,140.58620000000002,68827,Mano cerrada
440.68,234852.38383838383,482.18654066657643,2706,42.40140077731852,149.38480000000004,44068,Mano cerrada
409.78,183197.0707070707,425.8698157888159,1791,27.10193999541641,94.73119999999997,40978,Mano cerrada
349.62,134100.48484848486,364.3617433266012,1808,24.748839376929386,82.5764,34962,Mano cerrada
312.42,113544.62626262626,335.2747828274593,1901,28.286592462354196,98.722,31242,Mano cerrada
387.75,175717.40404040404,417.08539892928405,2125,34.00163394766656,124.68,38775,Mano cerrada
335.88,146851.8383838384,381.29164690562,2347,44.51682237927,145.872,33588,Mano cerrada
379.61,173904.75757575757,414.92856011607586,2300,36.43314064658354,130.0276,37961,Mano cerrada
296.0,97034.52525252526,309.942220421807,1625,22.471755560698814,78.3,29600,Mano cerrada
343.84,134866.9696969697,365.4015599309888,1669,23.341773365329033,98.7784,34384,Mano cerrada
355.14,153404.78787878787,389.70596608212196,2026,32.20891400550694,127.488,35514,Mano cerrada
332.89,121546.35353535354,346.88743130877486,1874,26.24361394181969,87.11899999999997,33289,Mano cerrada
282.8,87848.40404040404,294.9066292913742,1520,21.27169124646295,70.91600000000003,28280,Mano cerrada
284.9,101498.32323232324,316.9910724294929,1444,24.138489320308896,115.31399999999998,28490,Mano cerrada
355.92,135668.0606060606,366.48517023203,1547,19.39566753664125,71.7616,35592,Mano cerrada
341.38,127669.0303030303,355.5170038127572,1915,26.15435919785658,81.51240000000001,34138,Mano cerrada
422.41,222029.80808080808,468.838468984788,3078,53.83007307887263,168.69200000000004,42241,Mano cerrada
394.13,190618.55555555556,434.41037050236264,2323,32.77209332664151,151.849,39413,Mano cerrada
300.74,97264.0202020202,310.30852389194854,1546,19.579932006361446,63.13040000000001,30074,Mano cerrada
318.37,115078.79797979798,337.53223549758917,1642,24.53898156325189,90.54320000000003,31837,Mano cerrada
292.96,97288.62626262626,310.34777266801837,1821,25.568090908929292,81.4312,29296,Mano cerrada
276.19,84596.53535353535,289.3969073780852,1674,23.62929187139205,67.08800000000001,27619,Mano cerrada
341.14,139333.898989899,371.40350025275745,1929,31.019869813271672,117.80200000000002,34114,Mano cerrada
362.31,153823.0404040404,390.23686396853896,2104,29.682154622437757,106.18779999999998,36231,Mano cerrada
321.54,116904.74747474748,340.1995002935777,1566,23.564225581858768,87.86520000000002,32154,Mano cerrada
281.95,89656.29292929293,297.92571221698876,1640,22.079745277406428,71.79700000000001,28195,Mano cerrada
294.64,95998.74747474748,308.2835707591308,1763,23.242898339757957,78.47599999999998,29464,Mano cerrada
249.41,68747.58585858585,260.8833264124022,1207,17.999158229475537,63.1284,24941,Mano cerrada
269.5,77214.12121212122,276.4814279477014,1475,18.144481867009105,53.47,26950,Mano cerrada
370.25,151538.69696969696,387.32842653231637,1982,28.934268941722358,76.105,37025,Mano cerrada
304.76,102302.26262626263,318.2439944445142,1762,24.392828884942826,74.6216,30476,Mano cerrada
276.16,86023.898989899,291.82813435308117,1570,20.165477049811262,77.97840000000001,27616,Mano cerrada
292.13,100636.43434343435,315.64231338652934,1584,26.00854560417488,96.70819999999998,29213,Mano cerrada
323.24,118333.95959595959,342.27272751418565,1848,25.43718744378995,93.00640000000001,32324,Mano cerrada
281.16,82551.29292929293,285.8772114037773,1221,15.32180066955499,42.4864,28116,Mano cerrada
300.54,95820.52525252526,307.99727271519794,1479,19.053089041417984,55.15720000000001,30054,Mano cerrada
269.06,78427.95959595959,278.64615554498505,1391,19.094925022533122,52.1392,26906,Mano cerrada
286.58,91589.47474747474,301.1205406477612,1766,21.44855249289341,74.0192,28658,Mano cerrada
452.02,277160.8888888889,523.821801760866,3429,54.139457035334296,223.0668,45202,Mano cerrada
372.84,160947.77777777778,399.17201805737835,2015,31.277028715217263,107.0952,37284,Mano cerrada
327.13,117819.72727272728,341.52822723751547,1734,21.999540858386066,85.69779999999997,32713,Mano cerrada
365.55,154567.42424242425,391.1799458049965,2259,34.43556418599935,100.29099999999998,36555,Mano cerrada
388.6,159211.91919191918,397.0136017821052,1602,23.666026453141814,65.88000000000002,38860,Mano cerrada
308.43,101214.71717171717,316.5478952702103,1581,23.688423631415706,51.9618,30843,Mano cerrada
346.03,141956.69696969696,374.8828216923256,1882,32.04636792164904,105.30260000000003,34603,Mano cerrada
277.73,80004.75757575757,281.43331359311395,1394,20.938582626917288,32.24360000000001,27773,Mano cerrada
374.07,169567.88888888888,409.72211314499486,2110,32.34161093668338,144.4226,37407,Mano cerrada
388.14,202262.46464646465,447.48166442883445,2519,43.344870259094996,160.00999999999996,38814,Mano cerrada
407.02,221238.60606060605,468.00237178886175,2352,43.38621481949809,185.06560000000002,40702,Mano cerrada
363.36,154319.21212121213,390.8657314219296,2176,30.157164081765803,112.70080000000006,36336,Mano cerrada
351.56,159335.25252525252,397.167345082649,2414,38.59083473122245,137.16559999999998,35156,Mano cerrada
402.17,191423.9898989899,435.3271758114809,2409,35.78231039737006,133.5704,40217,Mano cerrada
373.88,164176.9898989899,403.15657008164953,2401,34.65894436133946,113.44800000000004,37388,Mano cerrada
351.59,147976.67676767678,382.74914761498815,2020,33.81052373376543,110.8542,35159,Mano cerrada
393.48,177919.9595959596,419.6912674812284,2141,31.54650247145978,130.53840000000002,39348,Mano cerrada
447.92,218123.65656565657,464.69605119906066,1949,24.628348616087834,102.31920000000002,44792,Mano cerrada
509.75,290709.8888888889,536.472543565838,1821,24.79349051096218,139.85,50975,Mano cerrada
532.5,299164.22222222225,544.21740141234,1433,19.66974808936276,94.39,53250,Mano cerrada
709.86,531715.898989899,725.5334175625544,1910,26.94663637861342,120.03520000000002,70986,Mano cerrada
586.06,368174.7474747475,603.732556683835,1981,28.814453443935516,109.37919999999997,58606,Mano cerrada
345.56,124438.80808080808,350.9906266554707,1543,21.554956776021648,46.41120000000001,34556,Mano cerrada
302.24,101933.69696969698,317.6702063461413,1651,23.87446122931152,77.71440000000001,30224,Mano cerrada
526.0,296061.9393939394,541.3883264349167,1568,19.255853104650512,111.62,52600,Mano cerrada
396.29,171206.0707070707,411.6965022926476,1591,23.600847442411894,88.0538,39629,Mano cerrada
344.76,122009.79797979798,347.5481261638451,1263,15.809152188820656,35.29120000000001,34476,Mano cerrada
359.12,132462.84848484848,362.1301147377832,1324,18.19201734139166,31.651999999999997,35912,Mano cerrada
324.28,110325.0505050505,330.48721609163647,1442,19.109995269280397,55.23999999999999,32428,Mano cerrada
329.55,112920.85858585859,334.3525833607391,1401,19.826265611072806,46.82,32955,Mano cerrada
293.76,93490.54545454546,304.22958436023276,1456,19.43858497572768,57.40399999999999,29376,Mano cerrada
248.67,65767.9898989899,255.1672196815257,1242,16.049166881048922,44.304199999999994,24867,Mano cerrada
384.84,159293.9595959596,397.11587729528014,1279,18.76031702689203,75.72959999999998,38484,Mano cerrada
