MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
651.13,435746.61616161617,656.8022152825005,1806,23.732941774093774,70.73,65113,Dedo anular
471.16,234207.797979798,481.52437113815955,1596,22.83759084394752,76.06400000000002,47116,Dedo anular
504.31,265812.37373737374,512.9856235802325,2009,30.99511202910823,84.23960000000002,50431,Dedo anular
508.89,271489.3232323232,518.4345956820397,1875,33.18497286788742,74.97919999999998,50889,Dedo anular
845.67,747121.3636363636,860.0291564824997,1375,19.856810652592962,148.5702,84567,Dedo anular
515.51,276800.75757575757,523.4813750268485,1756,24.24871130596428,71.2724,51551,Dedo anular
503.81,268671.1212121212,515.7367642509112,1887,31.741220053820403,83.09119999999999,50381,Dedo anular
573.73,341450.49494949495,581.4086256670088,2000,26.63065750581309,80.24519999999998,57373,Dedo anular
516.25,285545.82828282827,531.6863455083269,1474,22.468384072475768,119.495,51625,Dedo anular
901.73,835316.0505050505,909.3749996563574,1297,18.83554559278222,107.37539999999997,90173,Dedo anular
651.5,431030.0808080808,653.2379199036137,1611,20.62385595235368,39.43,65150,Dedo anular
650.03,434917.1212121212,656.1767673424594,2103,29.984676221043443,76.73780000000001,65003,Dedo anular
567.68,331069.8787878788,572.5025589462462,1445,19.292276153733628,57.725600000000014,56768,Dedo anular
456.84,219020.42424242425,465.6503194458262,1904,30.857443480979075,72.16239999999998,45684,Dedo anular
451.33,215532.87878787878,461.9280788174713,1819,27.378565678023723,75.6822,45133,Dedo anular
621.88,414022.24242424243,640.2202902126736,2287,29.911485581578354,133.1392,62188,Dedo anular
601.42,392966.22222222225,623.7279535181985,1560,22.06372771786492,154.37559999999996,60142,Dedo anular
783.96,625012.8282828283,786.614708736113,1320,17.267941920849115,57.336000000000006,78396,Dedo anular
567.5,329097.6767676768,570.7947967527384,1838,24.786767404884372,48.85,56750,Dedo anular
586.84,350671.41414141416,589.2068397430567,1871,27.341646924895667,39.74,58684,Dedo anular
547.27,315563.4646464646,558.9345489411081,1661,23.34090786147745,105.91379999999998,54727,Dedo anular
857.52,783845.2323232323,880.9124701126668,1565,23.28067651486741,178.8136,85752,Dedo anular
482.02,236963.75757575757,484.3491715694371,1310,17.24452775154302,37.622,48202,Dedo anular
585.48,359757.2525252525,596.7911527494355,1645,28.17101454697826,81.6912,58548,Dedo anular
547.28,313993.35353535356,557.5423033277385,1877,33.43424120342026,87.16079999999997,54728,Dedo anular
444.52,209424.70707070708,455.3355466027224,1630,29.372907189579937,71.9672,44452,Dedo anular
492.6,256360.56565656565,503.78265154727194,1936,35.65661144015145,81.96799999999999,49260,Dedo anular
498.11,259118.9797979798,506.4857253664707,1599,23.66325199437928,60.569599999999994,49811,Dedo anular
616.54,417808.1414141414,643.1407777462101,2092,32.744804507314164,155.54039999999998,61654,Dedo anular
802.43,677420.6161616162,818.9300397469859,1245,17.296873075264738,147.6044,80243,Dedo anular
512.0,277961.8585858586,524.5781543297433,1956,33.62568763143541,85.76,51200,Dedo anular
658.23,451987.9898989899,668.9305718832112,1693,24.55934885459336,105.45780000000002,65823,Dedo anular
654.49,455624.57575757575,671.6162073684643,1867,27.536752300747583,131.93,65449,Dedo anular
527.05,296117.24242424243,541.4388885183627,2089,33.043130675656094,100.74699999999996,52705,Dedo anular
478.01,236860.67676767678,484.24381255726956,2152,30.04710107195506,59.91419999999998,47801,Dedo anular
581.31,360066.6565656566,597.0477284103843,2151,29.5534099623722,127.87760000000002,58131,Dedo anular
860.66,769510.1414141414,872.8201647533127,1458,22.367003113578455,129.6992,86066,Dedo anular
555.04,320313.63636363635,563.1256520528966,2118,30.150129403209913,75.69439999999999,55504,Dedo anular
525.4,283481.2121212121,529.7607006941909,1776,29.52519896185924,45.13999999999998,52540,Dedo anular
561.36,326666.1414141414,568.6822311273669,1842,28.624352138581852,80.3592,56136,Dedo anular
517.75,280387.5252525252,526.8620787264917,1676,24.79532376897065,74.255,51775,Dedo anular
632.18,417322.8080808081,642.7671273486222,1980,25.56315214277667,92.78159999999998,63218,Dedo anular
755.91,584552.3333333334,760.7278159762532,1540,19.251656100872534,64.94859999999998,75591,Dedo anular
489.82,246609.53535353535,494.1087329728144,1703,21.941842321109785,53.614799999999974,48982,Dedo anular
510.05,277829.8686868687,524.4535918458372,2152,35.89181274639416,90.92300000000003,51005,Dedo anular
575.64,348320.404040404,587.228405307509,1779,26.583772676145305,103.32079999999998,57564,Dedo anular
516.98,288691.8181818182,534.6072390082275,2144,36.021598459196056,119.53599999999999,51698,Dedo anular
808.79,694740.3333333334,829.332822213133,1675,23.67861414181091,159.66679999999997,80879,Dedo anular
562.34,334872.30303030304,575.7808437244157,1997,25.228451150927746,94.59440000000002,56234,Dedo anular
521.65,278617.50505050505,525.1964680003094,1698,29.787123514578028,41.172,52165,Dedo anular
560.69,325196.89898989897,567.4019122280079,2024,34.73768948429171,72.01900000000002,56069,Dedo anular
509.69,267140.57575757575,514.2656609185567,1890,27.205540136917225,52.055599999999984,50969,Dedo anular
472.47,229341.88888888888,476.4960335616656,1975,26.1840802894824,49.65460000000001,47247,Dedo anular
486.78,249212.50505050505,496.70955295826553,2240,36.065596802593916,80.21399999999998,48678,Dedo anular
454.29,220357.18181818182,467.0691704662169,2221,38.2037334893496,79.5008,45429,Dedo anular
436.38,199725.49494949495,444.66643678154975,1712,21.616959298035635,57.004400000000004,43638,Dedo anular
481.63,242009.44444444444,489.47865121984637,2152,33.35029871294145,67.7642,48163,Dedo anular
496.86,261156.8686868687,508.4734998011204,2250,34.517160129917166,88.3064,49686,Dedo anular
479.55,240260.25252525252,487.7065203582991,1775,28.502879528464163,65.19200000000001,47955,Dedo anular
518.65,283885.68686868687,530.1385007712607,2126,37.21870931712065,84.958,51865,Dedo anular
513.5,273668.0404040404,520.510672320943,2174,28.448429329457387,59.77,51350,Dedo anular
499.24,262102.60606060605,509.39334506842545,2172,33.61517213967226,81.71279999999999,49924,Dedo anular
466.51,228619.34343434343,475.7448370713023,1853,28.59981634468122,62.7458,46651,Dedo anular
519.75,290692.1111111111,536.4561398660659,2424,39.504251145742,113.585,51975,Dedo anular
458.59,216724.51515151514,463.2032707138411,1589,22.46591132621091,47.29779999999999,45859,Dedo anular
461.93,219799.0606060606,466.4772984830023,2095,29.47229481421767,50.69320000000002,46193,Dedo anular
480.29,244313.50505050505,491.80318217758617,1979,28.13046804308866,82.66860000000001,48029,Dedo anular
484.08,243791.21212121213,491.27721298672094,1888,29.80814070896158,62.78399999999998,48408,Dedo anular
491.39,253554.91919191918,501.01833299790536,1853,26.95506923707965,76.6504,49139,Dedo anular
477.99,239177.68686868687,486.6065248226744,1965,30.345651844351373,73.08680000000001,47799,Dedo anular
483.14,239294.44444444444,486.7252818582573,1884,25.011512500761675,48.60240000000002,48314,Dedo anular
465.41,226234.37373737374,473.25683301987306,2162,31.074365023539286,50.97040000000002,46541,Dedo anular
468.06,231032.18181818182,478.24874281068423,1834,23.391270062814357,70.94879999999999,46806,Dedo anular
621.93,422623.50505050505,646.8363548842938,2256,34.17660609306319,151.0416,62193,Dedo anular
737.48,557941.8383838384,743.2108852808872,1884,25.685353292049026,79.16319999999997,73748,Dedo anular
669.71,460242.9191919192,675.0114739765539,2080,28.312470036998885,63.189400000000006,66971,Dedo anular
499.52,263655.6565656566,510.9002838128004,2343,30.70369964217947,77.27679999999998,49952,Dedo anular
491.27,247863.32323232322,495.3631899929586,1999,28.9250162602645,51.353200000000015,49127,Dedo anular
455.46,214813.81818181818,461.15689304183667,1834,25.74898252378336,47.474799999999995,45546,Dedo anular
486.85,242022.11111111112,489.49146059967177,1912,25.589218057769582,40.56999999999999,48685,Dedo anular
431.96,191871.49494949495,435.83572593352187,1661,24.430689426591833,47.1568,43196,Dedo anular
440.77,197183.46464646465,441.82760212553495,1410,18.346826990138123,23.3116,44077,Dedo anular
466.75,227347.0202020202,474.41917119779214,2267,32.72058012377476,65.395,46675,Dedo anular
469.91,234311.94949494948,481.63142546972574,1885,24.971296653671324,81.63760000000002,46991,Dedo anular
464.13,225584.41414141413,472.57652290396317,2124,28.902133715927157,70.8768,46413,Dedo anular
486.87,243773.50505050505,491.2593714118846,1922,25.237057889324003,53.7562,48687,Dedo anular
506.06,268823.35353535356,515.8828549196029,2105,28.806740232596308,72.9676,50606,Dedo anular
506.09,273107.8686868687,519.9776822133812,2440,35.874641447544796,98.5224,50609,Dedo anular
508.95,274064.0707070707,520.8871566855915,2115,32.66218274730245,92.30999999999996,50895,Dedo anular
462.3,219870.8686868687,466.55349103827314,1682,22.34034263593352,43.774000000000015,46230,Dedo anular
519.95,284484.9191919192,530.697719987565,2384,35.58430024944181,86.29700000000004,51995,Dedo anular
496.27,266190.9393939394,513.3507864998359,2078,29.228808260400086,100.87640000000002,49627,Dedo anular
542.44,322117.2525252525,564.708845335364,2649,49.85767622731608,132.18080000000003,54244,Dedo anular
485.34,249400.18181818182,496.89654858934165,1788,27.768523711045734,77.36319999999998,48534,Dedo anular
492.39,267182.49494949495,514.3060081313458,2478,38.32292348773074,121.61380000000001,49239,Dedo anular
499.21,258873.74747474748,506.2459975150421,1959,28.541127510943916,65.37720000000002,49921,Dedo anular
510.4,276956.1414141414,523.6282841864064,2123,32.00962607741867,98.04,51040,Dedo anular
497.29,262968.77777777775,510.23434811858755,1773,30.50500869620521,82.07440000000001,49729,Dedo anular
530.15,309030.17171717173,553.1183146488643,2345,39.204849215628954,140.00900000000001,53015,Dedo anular
512.27,282134.51515151514,528.5008703871736,2128,31.37392599473697,109.67640000000002,51227,Dedo anular
460.73,225084.57575757575,472.0526771452525,2090,34.666666666666664,74.03120000000001,46073,Dedo anular
489.46,255918.8282828283,503.34842802972975,2271,35.404587958128374,97.49799999999998,48946,Dedo anular
449.18,218117.1313131313,464.6891003671164,1948,31.471969250189105,86.59000000000002,44918,Dedo anular
498.05,271268.49494949495,518.2237065206492,2191,34.77009628919075,118.68799999999996,49805,Dedo anular
479.04,254484.2626262626,501.93567316938135,2552,50.2209260581823,119.43839999999996,47904,Dedo anular
528.93,300422.77777777775,545.3609355280225,2193,34.0491326518523,98.94059999999998,52893,Dedo anular
525.97,301081.76767676766,545.9587438625744,2750,44.791323113552096,123.98039999999997,52597,Dedo anular
442.2,203461.1313131313,448.80565950085787,1874,30.570997016549175,50.907999999999994,44220,Dedo anular
480.1,240764.40404040404,488.21794313605477,2024,32.85782043344269,62.280000000000015,48010,Dedo anular
491.79,262172.0303030303,509.46080320275865,2014,41.66727272286508,101.02920000000003,49179,Dedo anular
473.48,236558.44444444444,483.93476833143535,1903,30.651017087281925,70.01119999999999,47348,Dedo anular
534.96,308941.7373737374,553.0391667865848,2056,33.87916734215851,118.48960000000002,53496,Dedo anular
497.47,258921.32323232322,506.2925142642344,1853,26.6471519504563,74.23100000000002,49747,Dedo anular
451.24,215552.0202020202,461.9485902132401,2085,32.151315225151684,75.0704,45124,Dedo anular
501.55,270721.44444444444,517.7009078608999,1878,28.35738729399121,97.75699999999999,50155,Dedo anular
489.76,260885.8383838384,508.20958275105363,2003,32.97734147115335,97.66560000000001,48976,Dedo anular
477.95,244274.9797979798,491.76440497457725,2252,35.815746212632185,92.49200000000005,47795,Dedo anular
456.11,221666.43434343435,468.4546616269284,2195,31.379559711327495,85.78059999999999,45611,Dedo anular
426.04,189082.50505050505,432.65653814544396,1743,25.021404977952518,52.5976,42604,Dedo anular
478.29,261180.41414141413,508.4964208330281,2626,47.86323107447813,131.80659999999997,47829,Dedo anular
481.91,255352.55555555556,502.791238984929,2067,32.684750714865935,119.77940000000002,48191,Dedo anular
510.52,287284.64646464644,533.3027282885397,1992,37.858054931973506,114.74960000000002,51052,Dedo anular
541.55,327643.64646464644,569.5324485927031,2660,42.774012690138875,146.81900000000002,54155,Dedo anular
489.88,259770.58585858587,507.12215490944584,2195,38.96190835970824,103.84719999999997,48988,Dedo anular
543.57,322581.7474747475,565.1158553783463,2383,41.11612036094059,135.72680000000003,54357,Dedo anular
453.69,218266.39393939395,464.8480719546979,2009,32.34239173330109,75.45700000000002,45369,Dedo anular
478.14,247692.24242424243,495.19220510827915,1970,28.893395141940015,104.90199999999997,47814,Dedo anular
527.85,298490.0101010101,543.6038171315577,2215,34.658361476013546,112.12200000000001,52785,Dedo anular
525.73,301637.22222222225,546.4621212856385,1980,34.131948362053684,116.88199999999999,52573,Dedo anular
545.05,319490.9191919192,562.4020003520613,2248,35.07711562263979,119.10199999999998,54505,Dedo anular
449.68,209750.24242424243,455.68930204691003,1872,24.545566778643522,48.31760000000002,44968,Dedo anular
462.62,231125.35353535353,478.34516826241696,1713,27.307267689881915,95.16399999999997,46262,Dedo anular
530.82,293080.36363636365,538.6553257882075,2068,28.799551062718695,72.3676,53082,Dedo anular
494.32,257528.36363636365,504.9287870581355,1875,37.765491168953744,76.26639999999998,49432,Dedo anular
454.59,216796.8383838384,463.28055214955873,1659,21.06819135257431,65.3778,45459,Dedo anular
456.57,214924.65656565657,461.2758502241365,1583,21.06243724325992,49.378199999999985,45657,Dedo anular
491.04,256713.0303030303,504.1288525764023,2053,32.842292271036165,88.47520000000004,49104,Dedo anular
491.49,261724.9393939394,509.0262173994577,2049,35.36633678765413,100.20600000000002,49149,Dedo anular
482.75,240753.0606060606,488.20644198945183,1687,22.294402975644,55.2,48275,Dedo anular
426.7,189351.15151515152,432.9637860144888,1775,24.53095344187985,62.15,42670,Dedo anular
501.2,269176.58585858584,516.2216771891704,1807,34.262061947420634,90.52400000000003,50120,Dedo anular
459.77,219723.68686868687,466.3973091689102,1925,28.555280429441424,61.193400000000004,45977,Dedo anular
475.68,241101.47474747474,488.55957671506144,2182,31.969998562414858,91.33760000000002,47568,Dedo anular
468.03,235356.69696969696,482.70397760946616,1944,39.27293770987391,84.4656,46803,Dedo anular
611.02,402719.69696969696,631.421016438319,2045,28.703816661013757,128.0848,61102,Dedo anular
570.39,350473.28282828286,589.0403636424247,2257,43.50629816242678,129.67000000000004,57039,Dedo anular
524.38,298204.8888888889,543.3441266821608,1958,32.94378438025797,113.52639999999995,52438,Dedo anular
579.98,355341.2525252525,593.1170542144274,2179,38.365993991417646,106.23519999999999,57998,Dedo anular
494.53,258244.35353535353,505.6302107271677,1835,29.287326179552046,74.27019999999999,49453,Dedo anular
544.93,315850.89898989897,559.189046745374,1905,34.79623223536965,108.87880000000001,54493,Dedo anular
549.09,322396.0101010101,564.9531396496527,1969,32.64176540086103,112.54060000000001,54909,Dedo anular
544.6,311246.82828282827,555.098513779311,1690,29.042984514249728,85.53200000000002,54460,Dedo anular
554.53,329246.0101010101,570.9234186824009,2295,39.100362963000535,116.70780000000002,55453,Dedo anular
499.34,269523.1313131313,516.553869407635,2022,36.594419180409396,102.92319999999997,49934,Dedo anular
613.91,387897.22222222225,619.6920606236617,1591,20.21925275123148,70.3974,61391,Dedo anular
663.9,452237.55555555556,669.1152217667747,1911,28.413789510437258,70.17999999999999,66390,Dedo anular
670.02,461364.3232323232,675.8333226469379,2056,29.021761253628735,74.6196,67002,Dedo anular
637.53,417643.62626262626,643.0141444789531,1792,28.060540611220222,73.0782,63753,Dedo anular
513.1,272725.2121212121,519.6132792760401,2153,33.1883209347,60.55599999999998,51310,Dedo anular
794.45,662579.9292929292,809.9099517847648,1858,26.947386072894272,136.28000000000003,79445,Dedo anular
594.27,368402.29292929295,603.9190922631939,2018,29.579203723719356,82.24239999999998,59427,Dedo anular
783.53,624293.6060606061,786.161987124791,1574,19.161198165864135,52.27699999999999,78353,Dedo anular
769.05,607132.3131313132,775.2812328439275,1536,19.527240750119596,84.476,76905,Dedo anular
883.08,807775.0101010101,894.2579381811491,1784,25.080879271877713,119.22719999999998,88308,Dedo anular
658.94,459824.3232323232,674.7044389953278,2074,26.936513463619555,127.54719999999998,65894,Dedo anular
863.17,754798.5757575758,864.4365737288075,1469,18.814082411047767,39.546600000000005,86317,Dedo anular
664.17,453960.41414141416,670.388551513225,1687,24.51859735306276,79.3794,66417,Dedo anular
536.24,306026.9090909091,550.4240547069141,2316,37.762682664506265,102.55279999999999,53624,Dedo anular
482.28,254078.50505050505,501.5353626614977,2090,35.21736256823652,109.63439999999996,48228,Dedo anular
443.45,203060.29292929292,448.36334595950194,1751,24.388066298453797,51.99100000000001,44345,Dedo anular
