MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_pulgar
205.44,44664.74747474748,210.28100247050375,1225,16.914819275153697,35.8232,20544,Dedo pulgar
203.63,43343.26262626263,207.1468802564982,1168,14.558832232002537,29.426400000000005,20363,Dedo pulgar
227.65,54721.14141414141,232.75293768285718,1260,16.354655223352996,40.639,22765,Dedo pulgar
222.47,51658.0505050505,226.14479874628998,1362,17.645212816895558,33.69579999999999,22247,Dedo pulgar
207.45,45676.393939393936,212.6490771200289,1118,14.775081397509467,34.69,20745,Dedo pulgar
237.51,60230.9595959596,244.1897827510398,1309,17.27876024359258,45.53200000000001,23751,Dedo pulgar
215.96,49561.27272727273,221.5076973831835,1302,17.010394920563584,40.12880000000001,21596,Dedo pulgar
222.81,51678.59595959596,226.18976546254254,1246,16.931830045416493,31.5996,22281,Dedo pulgar
221.2,51703.85858585859,226.24504414461768,1330,17.594190960528863,38.724000000000004,22120,Dedo pulgar
218.84,51426.10101010101,225.63652186647442,1253,16.677875019063883,42.25200000000001,21884,Dedo pulgar
230.58,55181.79797979798,233.7305713850886,1200,15.133079693509217,31.4516,23058,Dedo pulgar
218.03,49543.72727272727,221.4684853427232,1478,18.763278126718852,30.417800000000003,21803,Dedo pulgar
222.79,51582.31313131313,225.97895919753236,1210,15.397100605981214,30.936400000000003,22279,Dedo pulgar
260.58,72330.42424242424,267.59506721911,1382,18.01850900231944,47.1308,26058,Dedo pulgar
256.13,67773.60606060606,259.0287049730203,1490,19.484777793358734,30.528200000000002,25613,Dedo pulgar
272.74,77938.74747474748,277.7757368813914,1314,16.816898667949474,42.494,27274,Dedo pulgar
266.13,74481.56565656565,271.5451159568148,1288,16.341061869728755,46.316,26613,Dedo pulgar
241.05,61035.74747474748,245.81576434394927,1241,16.422760751684557,41.43899999999999,24105,Dedo pulgar
257.76,69789.0303030303,262.85193550742594,1377,17.483903130790583,42.29200000000001,25776,Dedo pulgar
297.57,93937.04040404041,304.9551934301169,1667,21.285694916558587,54.82119999999999,29757,Dedo pulgar
326.15,113772.0101010101,335.61032463260125,1669,22.558789637278633,66.73899999999998,32615,Dedo pulgar
267.29,77058.81818181818,276.2032403864951,1530,20.942923879106772,56.17960000000001,26729,Dedo pulgar
234.19,57414.555555555555,238.41226897959763,1240,15.921524722681227,38.7004,23419,Dedo pulgar
244.69,63009.9898989899,249.75966447767343,1480,19.79490802803549,40.008,24469,Dedo pulgar
244.65,64821.0,253.32348884381014,1459,19.47829665047846,47.170999999999985,24465,Dedo pulgar
221.35,50500.454545454544,223.59662340920983,1374,17.166446012115284,26.059,22135,Dedo pulgar
248.12,64475.818181818184,252.6480951837951,1341,17.287526886706086,39.52719999999999,24812,Dedo pulgar
238.85,59251.14141414141,242.19543761185923,1346,17.23573923772076,26.185,23885,Dedo pulgar
245.24,62373.09090909091,248.49418504262832,1552,20.76272884499793,31.752799999999997,24524,Dedo pulgar
240.96,60317.37373737374,244.36489109526352,1378,17.469164753121916,33.24720000000001,24096,Dedo pulgar
246.99,64310.030303030304,252.32306672201017,1260,16.087513195272937,43.42799999999999,24699,Dedo pulgar
300.96,98447.17171717172,312.19016640502946,1728,22.63902057345354,71.71439999999998,30096,Dedo pulgar
345.4,129372.9494949495,357.8815725907105,1995,24.961586649906852,82.34400000000001,34540,Dedo pulgar
339.49,126626.898989899,354.0630311116935,1837,23.238117415360932,80.0766,33949,Dedo pulgar
310.59,103140.81818181818,319.54563054437153,1662,21.30206041156061,63.164399999999986,31059,Dedo pulgar
359.8,135424.80808080808,366.1564692860144,1629,21.54698882147404,56.56000000000002,35980,Dedo pulgar
319.3,106782.88888888889,325.13852432463307,1550,20.720847843501367,50.824000000000005,31930,Dedo pulgar
276.34,81470.74747474748,284.00007042252645,1542,20.728158761852573,55.6668,27634,Dedo pulgar
367.4,147572.202020202,382.22569249070636,1701,21.63587555684103,86.08400000000002,36740,Dedo pulgar
251.88,68064.14141414141,259.583319957196,1286,18.235274950634896,48.88400000000001,25188,Dedo pulgar
255.68,69219.17171717172,261.77658413234747,1326,16.82110266746788,44.262400000000014,25568,Dedo pulgar
266.41,75551.48484848485,273.4885189546355,1365,17.49718592092783,53.61559999999999,26641,Dedo pulgar
