MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_corazon
417.64,181833.19191919192,424.2815810284486,1652,21.74322139812031,58.31599999999999,41764,Dedo corazon
453.84,215104.66666666666,461.46898053932074,1620,22.605979364546517,63.9912,45384,Dedo corazon
409.07,176402.65656565657,417.8978702984738,1755,26.590231364928062,65.4338,40907,Dedo corazon
463.49,219328.0303030303,465.97719901299894,1332,18.6639608428499,38.1962,46349,Dedo corazon
455.2,214788.30303030304,461.129504586293,2046,28.18015635373963,57.576,45520,Dedo corazon
464.46,221315.85858585857,468.08407364489557,1769,23.45100200310202,44.617999999999995,46446,Dedo corazon
428.57,191760.67676767678,435.7098461132133,1782,23.94395813797567,62.94720000000003,42857,Dedo corazon
407.64,173766.38383838383,414.763450655913,1859,25.727986569673362,56.91680000000001,40764,Dedo corazon
396.44,164216.60606060605,403.20520829969445,1883,26.011458236630247,53.45040000000003,39644,Dedo corazon
428.26,195291.61616161617,439.7029679226648,2319,34.07374652162867,81.96839999999999,42826,Dedo corazon
422.91,184324.51515151514,427.17826489651833,1796,24.84781965111107,42.89940000000001,42291,Dedo corazon
403.95,166706.35353535353,406.2502799999035,1557,19.700023073359816,33.537,40395,Dedo corazon
424.67,184911.9090909091,427.8583761012515,1653,22.822769066850498,40.510799999999996,42467,Dedo corazon
381.96,151740.74747474748,387.58655807445126,1615,21.500528534729728,47.34799999999999,38196,Dedo corazon
391.65,157813.9898989899,395.2668086242507,1944,24.206185034808644,35.221000000000004,39165,Dedo corazon
363.21,135576.7373737374,366.3618020481939,1328,16.51445647689541,41.87520000000001,36321,Dedo corazon
372.97,144827.7676767677,378.6548428318328,1696,22.676913904727517,42.839800000000004,37297,Dedo corazon
373.17,144771.40404040404,378.58115378343916,1628,21.457969252574774,52.56100000000001,37317,Dedo corazon
354.64,129632.76767676767,358.24075703359046,1559,20.06982759761478,38.6136,35464,Dedo corazon
376.85,146216.41414141413,380.4658328943612,1795,23.898987764372283,33.42800000000001,37685,Dedo corazon
371.07,140246.21212121213,372.61743115426043,1534,19.31085422525609,25.279800000000005,37107,Dedo corazon
368.3,142082.52525252526,375.04893014112173,1750,24.232043231884496,52.84,36830,Dedo corazon
429.28,191925.41414141413,435.8969603013997,1735,21.07634031828394,62.81839999999998,42928,Dedo corazon
361.53,134387.52525252526,364.75149074404067,1577,24.19804650267154,31.977199999999993,36153,Dedo corazon
369.78,144977.25252525252,378.85020786585295,1563,25.93757073739898,55.06999999999998,36978,Dedo corazon
404.16,170648.32323232322,411.02535201614995,1977,28.32691549417517,60.81120000000001,40416,Dedo corazon
397.5,164315.77777777778,403.32693934325783,1427,20.791655280254368,52.16,39750,Dedo corazon
399.49,165321.08080808082,404.55885851134195,1619,22.649057330930972,48.978200000000015,39949,Dedo corazon
423.62,183741.45454545456,426.5020984708047,1628,21.93470567687912,40.8344,42362,Dedo corazon
403.14,165959.71717171717,405.33951201431125,1537,19.697972002470227,33.208800000000004,40314,Dedo corazon
422.19,182161.50505050505,424.66444400255597,1508,19.664868947111515,37.8632,42219,Dedo corazon
427.84,187560.78787878787,430.9120327862753,1454,18.59347121215325,36.602399999999996,42784,Dedo corazon
390.87,157864.59595959596,395.33017845846274,1707,22.63165745569509,43.8362,39087,Dedo corazon
416.71,191386.9797979798,435.2850904866832,1949,33.54101966249684,86.42499999999998,41671,Dedo corazon
456.32,217578.0,464.1144470925248,2047,29.05741442959668,66.1144,45632,Dedo corazon
464.8,234322.72727272726,481.6425022773634,2146,30.900295837229176,90.93999999999997,46480,Dedo corazon
454.77,230836.33333333334,478.04599151127707,2218,40.85080022212391,105.93960000000001,45477,Dedo corazon
445.67,218591.88888888888,465.1945506989522,2043,32.755445225476514,101.01140000000004,44567,Dedo corazon
432.01,206746.39393939395,452.4145554687647,2023,31.38664066320593,113.47319999999999,43201,Dedo corazon
398.91,165855.64646464647,405.21240109354994,1675,23.603843207016396,51.2248,39891,Dedo corazon
390.5,156977.41414141413,394.21775708356927,1539,20.00631213523685,38.32,39050,Dedo corazon
366.6,139646.58585858587,371.8200102199988,1467,19.465846807143837,48.412000000000006,36660,Dedo corazon
397.67,165676.797979798,404.99386415105107,1814,24.616656921275847,58.66480000000001,39767,Dedo corazon
399.32,170317.0909090909,410.6262534227445,1744,23.659196430935175,71.19519999999999,39932,Dedo corazon
416.47,182199.52525252526,424.70875903376424,1843,27.006359146383176,57.94040000000002,41647,Dedo corazon
396.11,162669.72727272726,401.30166957041183,1880,25.058315823678015,41.938599999999994,39611,Dedo corazon
403.6,170549.35353535353,410.9061450015076,1664,24.277020768078966,61.47199999999999,40360,Dedo corazon
426.89,191794.9595959596,435.748792310432,1829,25.413151768883033,60.730599999999995,42689,Dedo corazon
413.35,177135.2626262626,418.76474302405165,1629,23.63634421133623,45.30500000000003,41335,Dedo corazon
439.29,201958.2323232323,447.14499885383935,2038,29.42410198761855,69.39380000000001,43929,Dedo corazon
404.86,171265.898989899,411.768430067192,1810,25.849994627121728,51.49839999999999,40486,Dedo corazon
419.0,185397.9797979798,428.4203543250484,1883,24.04016000215666,82.38,41900,Dedo corazon
374.49,144530.65656565657,378.2662422157177,1622,22.144155806072995,40.858599999999996,37449,Dedo corazon
478.79,244499.0404040404,491.98988810746914,2205,34.01499966221082,87.49439999999997,47879,Dedo corazon
500.77,256284.51515151514,503.7079213194885,1803,23.352156909442698,46.37460000000001,50077,Dedo corazon
406.96,173070.0404040404,413.9315643919898,1811,25.244861463336065,56.627199999999995,40696,Dedo corazon
389.61,156101.54545454544,393.1164331340017,1756,21.428763827900088,36.92280000000001,38961,Dedo corazon
440.03,216587.70707070708,463.05704832126247,2631,42.00853689093649,112.94139999999996,44003,Dedo corazon
406.13,175130.21212121213,416.38793210178414,1780,26.237839896307058,68.9272,40613,Dedo corazon
414.18,181077.797979798,423.39936230466856,1459,20.59101500630552,69.0976,41418,Dedo corazon
426.85,192992.77777777778,437.1073666732237,1898,26.948510575210314,75.25600000000003,42685,Dedo corazon
363.44,136305.85858585857,367.34561382981013,1484,22.033491495329276,37.412800000000004,36344,Dedo corazon
410.09,178892.797979798,420.8371062537143,1628,22.28919201783862,68.06599999999999,41009,Dedo corazon
408.83,170743.58585858587,411.14006129298565,1466,20.485027791935348,34.346199999999996,40883,Dedo corazon
376.19,146515.42424242425,380.854657316935,1558,20.728158761852573,40.108799999999995,37619,Dedo corazon
389.63,166898.29292929292,406.4840833292246,2050,33.665316504579835,73.2102,38963,Dedo corazon
362.01,138179.22222222222,369.8613659197186,1789,27.1283890961018,49.772999999999996,36201,Dedo corazon
405.04,175653.87878787878,417.0099998800988,1749,26.040566643433685,77.852,40504,Dedo corazon
355.79,131090.35353535353,360.2491498949026,1682,23.291737816338447,38.116400000000006,35579,Dedo corazon
400.89,170243.0606060606,410.53700198642264,2026,30.35946260553651,61.157199999999975,40089,Dedo corazon
387.14,156676.78787878787,393.8400944545895,1485,19.951203097821068,52.284799999999976,38714,Dedo corazon
386.39,162518.797979798,401.11545719406024,1868,32.00978385784982,77.89579999999998,38639,Dedo corazon
388.55,158972.9797979798,396.7155782169387,1823,27.378196736922916,55.45,38855,Dedo corazon
409.25,176316.43434343435,417.7957275990265,2109,28.88832555783311,68.61,40925,Dedo corazon
375.76,151756.12121212122,387.60619190100664,1980,27.457588967700566,63.23040000000001,37576,Dedo corazon
372.57,145262.41414141413,379.2226127223956,1732,25.3723782046062,52.5524,37257,Dedo corazon
406.06,175726.9898989899,417.0967753411671,1754,25.514107802737232,82.13680000000002,40606,Dedo corazon
361.11,135956.35353535353,366.87435178818373,1581,21.83616682978452,41.405,36111,Dedo corazon
434.63,196596.65656565657,441.1696839085841,1882,26.954507128594553,58.544200000000004,43463,Dedo corazon
412.08,178217.69696969696,420.0422835858314,1585,22.121564961901687,62.292799999999986,41208,Dedo corazon
401.03,166014.25252525252,405.40610503543235,1703,27.71190168410488,41.433,40103,Dedo corazon
431.02,198711.0101010101,443.5356806391116,2270,33.48148893060314,80.60799999999998,43102,Dedo corazon
393.8,160005.71717171717,398.0020854216721,1510,19.454167843026504,41.83200000000001,39380,Dedo corazon
382.05,150479.60606060605,385.97255083749155,1549,20.722066509014983,42.26100000000001,38205,Dedo corazon
400.77,167279.9090909091,406.9485348296514,1592,21.64311073815967,60.34699999999999,40077,Dedo corazon
432.4,193804.74747474748,438.0259124755064,1686,22.484562605386735,48.55999999999998,43240,Dedo corazon
438.32,201015.25252525252,446.09987670924096,1750,24.877883569730983,56.09359999999998,43832,Dedo corazon
418.83,187924.8383838384,431.33002445923006,2013,31.958780270273714,70.05819999999999,41883,Dedo corazon
486.33,253625.0202020202,501.0875871541821,2001,30.660572517008013,99.44319999999999,48633,Dedo corazon
522.77,287964.4747474748,533.9333572647433,1731,26.695628212435192,94.49000000000002,52277,Dedo corazon
393.64,162834.74747474748,401.50516808629,1884,25.46615896685742,61.83119999999999,39364,Dedo corazon
439.56,197893.71717171717,442.6226157800796,1259,17.378437818460583,37.9072,43956,Dedo corazon
453.82,212550.78787878787,458.7213533290117,1836,23.534200344574828,51.63279999999999,45382,Dedo corazon
426.82,189153.45454545456,432.7377034648125,1602,23.41155719086217,58.276799999999994,42682,Dedo corazon
431.76,197133.81818181818,441.7719773819974,1941,30.582724376729917,68.68879999999999,43176,Dedo corazon
402.69,169667.54545454544,409.842494136467,1645,25.718562254613776,58.92460000000002,40269,Dedo corazon
445.73,210486.05050505052,456.4878859290792,1916,30.058528764980355,76.39439999999999,44573,Dedo corazon
406.2,174824.54545454544,416.02439832298296,2129,31.065424607762985,71.18799999999999,40620,Dedo corazon
417.75,178150.9393939394,419.96360556600615,1462,18.423195743793784,31.43,41775,Dedo corazon
425.68,187994.101010101,431.40950383597254,2023,31.495871141943336,51.583999999999996,42568,Dedo corazon
402.66,166620.2626262626,406.1453680641945,1397,17.987930858374362,42.606400000000015,40266,Dedo corazon
381.82,150075.57575757575,385.4540439533616,1384,18.70720705930193,35.6312,38182,Dedo corazon
418.33,180726.69696969696,422.9886877920023,1795,23.816003447304507,48.10259999999998,41833,Dedo corazon
404.73,171436.51515151514,411.97348215631547,1699,23.14752861123798,59.975999999999985,40473,Dedo corazon
402.6,166205.59595959596,405.6396676854965,1395,18.479855262015732,37.944,40260,Dedo corazon
414.02,176489.51515151514,418.00074162613635,1610,21.39054827617926,42.7892,41402,Dedo corazon
382.23,151297.84848484848,387.02050333283375,1583,21.389839936877802,40.376000000000005,38223,Dedo corazon
398.85,164961.36363636365,404.1184851005952,1844,28.370919810769106,44.94499999999999,39885,Dedo corazon
432.79,199618.57575757575,444.5473990476156,2063,30.506002058876245,76.3502,43279,Dedo corazon
406.63,173787.78787878787,414.78899455024117,1690,23.809004323337145,58.3998,40663,Dedo corazon
449.49,212854.797979798,459.04928929255516,1781,25.44572357951034,79.47820000000002,44949,Dedo corazon
387.47,154329.22222222222,390.87840820388124,1416,20.076620907680333,39.871,38747,Dedo corazon
394.34,162680.18181818182,401.3145648989082,1732,24.855135843076333,56.228799999999985,39434,Dedo corazon
417.42,182013.35353535353,424.49171958944027,1755,24.342049082510567,51.19960000000001,41742,Dedo corazon
410.86,176084.78787878787,417.5211850912478,1700,24.13430435012881,49.49879999999999,41086,Dedo corazon
444.25,215714.61616161617,462.1227867136612,2092,35.62883862005807,93.05,44425,Dedo corazon
398.04,163691.797979798,402.56040540520127,1645,23.968624272055113,44.522400000000005,39804,Dedo corazon
400.33,167199.0,406.8501075334748,1557,21.229624812911077,54.5358,40033,Dedo corazon
423.15,187288.27272727274,430.5988736631809,1804,24.261621187098413,55.97199999999998,42315,Dedo corazon
410.92,175072.0,416.31872405646135,1577,23.15669067963562,50.2048,41092,Dedo corazon
446.68,207201.45454545456,452.9121769173357,1661,22.09963663488473,53.48400000000002,44668,Dedo corazon
426.21,188337.32323232322,431.80313801546185,1590,22.14917286459832,54.251000000000005,42621,Dedo corazon
439.75,199119.52525252526,443.99136252859694,1717,22.230427777978523,49.775,43975,Dedo corazon
422.87,186318.2323232323,429.48230464129716,1638,24.416007334153022,49.102399999999996,42287,Dedo corazon
445.36,205377.33333333334,450.9141381682326,1576,20.63095644017416,58.976000000000006,44536,Dedo corazon
470.29,238460.71717171717,485.87664072272497,1813,31.2892985223415,85.32660000000004,47029,Dedo corazon
439.84,199157.7373737374,444.0339626650196,1551,22.493321118711993,50.084799999999994,43984,Dedo corazon
